message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-18T20:40:13.033335+00:00,0,0,417958.000000000,-81.079667973,29.228005016,-1.659800000,28.771800000,0.000000000,0.000000000,0.000000000,0.000000000,316.910000000,242.740000000,-81.079667973,29.228005016,-1.659800000
HPPOSLLH,2025-09-18T20:40:13.034145+00:00,0,0,417959.000000000,-81.079667515,29.228003868,-1.742400000,28.689100000,0.000000000,0.000000000,0.000000000,0.000000000,317.280000000,242.760000000,-81.079667515,29.228003868,-1.742400000
HPPOSLLH,2025-09-18T20:40:13.034940+00:00,0,0,417960.000000000,-81.079667301,29.228003373,-1.785400000,28.646200000,0.000000000,0.000000000,0.000000000,0.000000000,317.410000000,242.670000000,-81.079667301,29.228003373,-1.785400000
HPPOSLLH,2025-09-18T20:40:13.035724+00:00,0,0,417961.000000000,-81.079667116,29.228003126,-1.822700000,28.608900000,0.000000000,0.000000000,0.000000000,0.000000000,317.350000000,242.530000000,-81.079667116,29.228003126,-1.822700000
HPPOSLLH,2025-09-18T20:40:13.036588+00:00,0,0,417962.000000000,-81.079667230,29.228003615,-1.836500000,28.595000000,0.000000000,0.000000000,0.000000000,0.000000000,317.230000000,242.410000000,-81.079667230,29.228003615,-1.836500000
HPPOSLLH,2025-09-18T20:40:13.037419+00:00,0,0,417963.000000000,-81.079666585,29.228002094,-1.939400000,28.492100000,0.000000000,0.000000000,0.000000000,0.000000000,317.200000000,242.260000000,-81.079666585,29.228002094,-1.939400000
HPPOSLLH,2025-09-18T20:40:13.038251+00:00,0,0,417964.000000000,-81.079666332,29.228001561,-1.988000000,28.443600000,0.000000000,0.000000000,0.000000000,0.000000000,316.770000000,242.040000000,-81.079666332,29.228001561,-1.988000000
HPPOSLLH,2025-09-18T20:40:13.039090+00:00,0,0,417965.000000000,-81.079666030,29.228000967,-2.048400000,28.383100000,0.000000000,0.000000000,0.000000000,0.000000000,316.100000000,241.900000000,-81.079666030,29.228000967,-2.048400000
HPPOSLLH,2025-09-18T20:40:13.039916+00:00,0,0,417966.000000000,-81.079665866,29.228000757,-2.094800000,28.336800000,0.000000000,0.000000000,0.000000000,0.000000000,315.350000000,241.770000000,-81.079665866,29.228000757,-2.094800000
HPPOSLLH,2025-09-18T20:40:13.040766+00:00,0,0,417967.000000000,-81.079665372,29.227999372,-2.177400000,28.254100000,0.000000000,0.000000000,0.000000000,0.000000000,315.230000000,241.780000000,-81.079665372,29.227999372,-2.177400000
HPPOSLLH,2025-09-18T20:40:13.040853+00:00,0,0,417968.000000000,-81.079665216,29.227998848,-2.215000000,28.216600000,0.000000000,0.000000000,0.000000000,0.000000000,314.950000000,241.760000000,-81.079665216,29.227998848,-2.215000000
HPPOSLLH,2025-09-18T20:40:13.041682+00:00,0,0,417969.000000000,-81.079664989,29.227998370,-2.260600000,28.171000000,0.000000000,0.000000000,0.000000000,0.000000000,314.730000000,241.750000000,-81.079664989,29.227998370,-2.260600000
HPPOSLLH,2025-09-18T20:40:13.042519+00:00,0,0,417970.000000000,-81.079664626,29.227997552,-2.333200000,28.098400000,0.000000000,0.000000000,0.000000000,0.000000000,314.600000000,241.770000000,-81.079664626,29.227997552,-2.333200000
HPPOSLLH,2025-09-18T20:40:13.042606+00:00,0,0,417971.000000000,-81.079664179,29.227996332,-2.417400000,28.014100000,0.000000000,0.000000000,0.000000000,0.000000000,314.210000000,241.750000000,-81.079664179,29.227996332,-2.417400000
HPPOSLLH,2025-09-18T20:40:13.043432+00:00,0,0,417972.000000000,-81.079663784,29.227995439,-2.486200000,27.945300000,0.000000000,0.000000000,0.000000000,0.000000000,313.890000000,241.720000000,-81.079663784,29.227995439,-2.486200000
HPPOSLLH,2025-09-18T20:40:13.044206+00:00,0,0,417973.000000000,-81.079663484,29.227994675,-2.537800000,27.893800000,0.000000000,0.000000000,0.000000000,0.000000000,313.520000000,241.700000000,-81.079663484,29.227994675,-2.537800000
HPPOSLLH,2025-09-18T20:40:13.044962+00:00,0,0,417974.000000000,-81.079663141,29.227993857,-2.605100000,27.826400000,0.000000000,0.000000000,0.000000000,0.000000000,313.100000000,241.670000000,-81.079663141,29.227993857,-2.605100000
HPPOSLLH,2025-09-18T20:40:13.045692+00:00,0,0,417975.000000000,-81.079662753,29.227992873,-2.671100000,27.760400000,0.000000000,0.000000000,0.000000000,0.000000000,312.470000000,241.600000000,-81.079662753,29.227992873,-2.671100000
HPPOSLLH,2025-09-18T20:40:13.046410+00:00,0,0,417976.000000000,-81.079662417,29.227992022,-2.738200000,27.693300000,0.000000000,0.000000000,0.000000000,0.000000000,312.020000000,241.600000000,-81.079662417,29.227992022,-2.738200000
HPPOSLLH,2025-09-18T20:40:13.047114+00:00,0,0,417977.000000000,-81.079661759,29.227990488,-2.839300000,27.592300000,0.000000000,0.000000000,0.000000000,0.000000000,311.720000000,241.590000000,-81.079661759,29.227990488,-2.839300000
HPPOSLLH,2025-09-18T20:40:13.047817+00:00,0,0,417978.000000000,-81.079660997,29.227988657,-2.951600000,27.480000000,0.000000000,0.000000000,0.000000000,0.000000000,311.490000000,241.590000000,-81.079660997,29.227988657,-2.951600000
HPPOSLLH,2025-09-18T20:40:13.048545+00:00,0,0,417979.000000000,-81.079660142,29.227986747,-3.066400000,27.365100000,0.000000000,0.000000000,0.000000000,0.000000000,311.190000000,241.560000000,-81.079660142,29.227986747,-3.066400000
HPPOSLLH,2025-09-18T20:40:13.049251+00:00,0,0,417980.000000000,-81.079659543,29.227985234,-3.142600000,27.288900000,0.000000000,0.000000000,0.000000000,0.000000000,310.910000000,241.660000000,-81.079659543,29.227985234,-3.142600000
HPPOSLLH,2025-09-18T20:40:13.049962+00:00,0,0,417981.000000000,-81.079658773,29.227983460,-3.254900000,27.176600000,0.000000000,0.000000000,0.000000000,0.000000000,310.750000000,241.810000000,-81.079658773,29.227983460,-3.254900000
HPPOSLLH,2025-09-18T20:40:13.050680+00:00,0,0,417982.000000000,-81.079658122,29.227982232,-3.349700000,27.081800000,0.000000000,0.000000000,0.000000000,0.000000000,310.880000000,241.890000000,-81.079658122,29.227982232,-3.349700000
HPPOSLLH,2025-09-18T20:40:13.051391+00:00,0,0,417983.000000000,-81.079657590,29.227981135,-3.413500000,27.018100000,0.000000000,0.000000000,0.000000000,0.000000000,311.040000000,241.970000000,-81.079657590,29.227981135,-3.413500000
HPPOSLLH,2025-09-18T20:40:13.052100+00:00,0,0,417984.000000000,-81.079656933,29.227979830,-3.497300000,26.934200000,0.000000000,0.000000000,0.000000000,0.000000000,311.150000000,242.030000000,-81.079656933,29.227979830,-3.497300000
HPPOSLLH,2025-09-18T20:40:13.052835+00:00,0,0,417985.000000000,-81.079656189,29.227978398,-3.591300000,26.840300000,0.000000000,0.000000000,0.000000000,0.000000000,311.200000000,242.070000000,-81.079656189,29.227978398,-3.591300000
HPPOSLLH,2025-09-18T20:40:13.053603+00:00,0,0,417986.000000000,-81.079655513,29.227977038,-3.676600000,26.755000000,0.000000000,0.000000000,0.000000000,0.000000000,311.260000000,242.110000000,-81.079655513,29.227977038,-3.676600000
HPPOSLLH,2025-09-18T20:40:13.054353+00:00,0,0,417987.000000000,-81.079654890,29.227975788,-3.756600000,26.674900000,0.000000000,0.000000000,0.000000000,0.000000000,311.160000000,242.090000000,-81.079654890,29.227975788,-3.756600000
HPPOSLLH,2025-09-18T20:40:13.055064+00:00,0,0,417988.000000000,-81.079654155,29.227974360,-3.845100000,26.586400000,0.000000000,0.000000000,0.000000000,0.000000000,311.030000000,242.080000000,-81.079654155,29.227974360,-3.845100000
HPPOSLLH,2025-09-18T20:40:13.055811+00:00,0,0,417989.000000000,-81.079653481,29.227972979,-3.932200000,26.499300000,0.000000000,0.000000000,0.000000000,0.000000000,310.820000000,242.040000000,-81.079653481,29.227972979,-3.932200000
HPPOSLLH,2025-09-18T20:40:13.056593+00:00,0,0,417990.000000000,-81.079652946,29.227971842,-4.008300000,26.423200000,0.000000000,0.000000000,0.000000000,0.000000000,310.970000000,242.170000000,-81.079652946,29.227971842,-4.008300000
HPPOSLLH,2025-09-18T20:40:13.057363+00:00,0,0,417991.000000000,-81.079652391,29.227970774,-4.080500000,26.351000000,0.000000000,0.000000000,0.000000000,0.000000000,311.090000000,242.270000000,-81.079652391,29.227970774,-4.080500000
HPPOSLLH,2025-09-18T20:40:13.058118+00:00,0,0,417992.000000000,-81.079651818,29.227969619,-4.152600000,26.279000000,0.000000000,0.000000000,0.000000000,0.000000000,311.100000000,242.360000000,-81.079651818,29.227969619,-4.152600000
HPPOSLLH,2025-09-18T20:40:13.058831+00:00,0,0,417993.000000000,-81.079651365,29.227968650,-4.204100000,26.227500000,0.000000000,0.000000000,0.000000000,0.000000000,311.150000000,242.450000000,-81.079651365,29.227968650,-4.204100000
HPPOSLLH,2025-09-18T20:40:13.059538+00:00,0,0,417994.000000000,-81.079651230,29.227968710,-4.205600000,26.225900000,0.000000000,0.000000000,0.000000000,0.000000000,310.190000000,242.050000000,-81.079651230,29.227968710,-4.205600000
HPPOSLLH,2025-09-18T20:40:13.060327+00:00,0,0,417995.000000000,-81.079651301,29.227969085,-4.175700000,26.255800000,0.000000000,0.000000000,0.000000000,0.000000000,309.310000000,241.700000000,-81.079651301,29.227969085,-4.175700000
HPPOSLLH,2025-09-18T20:40:13.061115+00:00,0,0,417996.000000000,-81.079651191,29.227969003,-4.169100000,26.262400000,0.000000000,0.000000000,0.000000000,0.000000000,308.870000000,241.600000000,-81.079651191,29.227969003,-4.169100000
HPPOSLLH,2025-09-18T20:40:13.061923+00:00,0,0,417997.000000000,-81.079650689,29.227967803,-4.231800000,26.199700000,0.000000000,0.000000000,0.000000000,0.000000000,308.890000000,241.650000000,-81.079650689,29.227967803,-4.231800000
HPPOSLLH,2025-09-18T20:40:13.062711+00:00,0,0,417998.000000000,-81.079650758,29.227968228,-4.201300000,26.230200000,0.000000000,0.000000000,0.000000000,0.000000000,308.580000000,241.630000000,-81.079650758,29.227968228,-4.201300000
HPPOSLLH,2025-09-18T20:40:13.063500+00:00,0,0,417999.000000000,-81.079650298,29.227967205,-4.255500000,26.176100000,0.000000000,0.000000000,0.000000000,0.000000000,308.620000000,241.740000000,-81.079650298,29.227967205,-4.255500000
HPPOSLLH,2025-09-18T20:40:13.064345+00:00,0,0,418000.000000000,-81.079650446,29.227967458,-4.218700000,26.212800000,0.000000000,0.000000000,0.000000000,0.000000000,308.440000000,241.800000000,-81.079650446,29.227967458,-4.218700000
HPPOSLLH,2025-09-18T20:40:13.065142+00:00,0,0,418001.000000000,-81.079650668,29.227968107,-4.186700000,26.244800000,0.000000000,0.000000000,0.000000000,0.000000000,308.130000000,241.770000000,-81.079650668,29.227968107,-4.186700000
HPPOSLLH,2025-09-18T20:40:13.065948+00:00,0,0,418002.000000000,-81.079650249,29.227967097,-4.258400000,26.173100000,0.000000000,0.000000000,0.000000000,0.000000000,308.270000000,241.940000000,-81.079650249,29.227967097,-4.258400000
HPPOSLLH,2025-09-18T20:40:13.066038+00:00,0,0,418003.000000000,-81.079650434,29.227967392,-4.226900000,26.204600000,0.000000000,0.000000000,0.000000000,0.000000000,307.860000000,241.820000000,-81.079650434,29.227967392,-4.226900000
HPPOSLLH,2025-09-18T20:40:13.066840+00:00,0,0,418004.000000000,-81.079650715,29.227968066,-4.176100000,26.255400000,0.000000000,0.000000000,0.000000000,0.000000000,306.940000000,241.410000000,-81.079650715,29.227968066,-4.176100000
HPPOSLLH,2025-09-18T20:40:13.067642+00:00,0,0,418005.000000000,-81.079650389,29.227967185,-4.219500000,26.212000000,0.000000000,0.000000000,0.000000000,0.000000000,306.610000000,241.270000000,-81.079650389,29.227967185,-4.219500000
HPPOSLLH,2025-09-18T20:40:13.068461+00:00,0,0,418006.000000000,-81.079650479,29.227967282,-4.187200000,26.244400000,0.000000000,0.000000000,0.000000000,0.000000000,305.510000000,240.710000000,-81.079650479,29.227967282,-4.187200000
HPPOSLLH,2025-09-18T20:40:13.068546+00:00,0,0,418007.000000000,-81.079650088,29.227966173,-4.234100000,26.197400000,0.000000000,0.000000000,0.000000000,0.000000000,304.700000000,240.360000000,-81.079650088,29.227966173,-4.234100000
HPPOSLLH,2025-09-18T20:40:13.069344+00:00,0,0,418008.000000000,-81.079650212,29.227966523,-4.192100000,26.239400000,0.000000000,0.000000000,0.000000000,0.000000000,303.630000000,239.950000000,-81.079650212,29.227966523,-4.192100000
HPPOSLLH,2025-09-18T20:40:13.070142+00:00,0,0,418009.000000000,-81.079649726,29.227965490,-4.233900000,26.197600000,0.000000000,0.000000000,0.000000000,0.000000000,302.910000000,239.640000000,-81.079649726,29.227965490,-4.233900000
HPPOSLLH,2025-09-18T20:40:13.070940+00:00,0,0,418010.000000000,-81.079649826,29.227965971,-4.201100000,26.230400000,0.000000000,0.000000000,0.000000000,0.000000000,301.730000000,239.140000000,-81.079649826,29.227965971,-4.201100000
HPPOSLLH,2025-09-18T20:40:13.071023+00:00,0,0,418011.000000000,-81.079649426,29.227965235,-4.230900000,26.200600000,0.000000000,0.000000000,0.000000000,0.000000000,300.980000000,238.810000000,-81.079649426,29.227965235,-4.230900000
HPPOSLLH,2025-09-18T20:40:13.071823+00:00,0,0,418012.000000000,-81.079649524,29.227965642,-4.180800000,26.250700000,0.000000000,0.000000000,0.000000000,0.000000000,300.060000000,238.420000000,-81.079649524,29.227965642,-4.180800000
HPPOSLLH,2025-09-18T20:40:13.072650+00:00,0,0,418013.000000000,-81.079649088,29.227964619,-4.222500000,26.209000000,0.000000000,0.000000000,0.000000000,0.000000000,299.540000000,238.170000000,-81.079649088,29.227964619,-4.222500000
HPPOSLLH,2025-09-18T20:40:13.073449+00:00,0,0,418014.000000000,-81.079649232,29.227964987,-4.174200000,26.257300000,0.000000000,0.000000000,0.000000000,0.000000000,298.550000000,237.750000000,-81.079649232,29.227964987,-4.174200000
HPPOSLLH,2025-09-18T20:40:13.073533+00:00,0,0,418015.000000000,-81.079648840,29.227964081,-4.217700000,26.213900000,0.000000000,0.000000000,0.000000000,0.000000000,297.980000000,237.490000000,-81.079648840,29.227964081,-4.217700000
HPPOSLLH,2025-09-18T20:40:13.074341+00:00,0,0,418016.000000000,-81.079649066,29.227964604,-4.152900000,26.278600000,0.000000000,0.000000000,0.000000000,0.000000000,297.070000000,237.100000000,-81.079649066,29.227964604,-4.152900000
HPPOSLLH,2025-09-18T20:40:13.075143+00:00,0,0,418017.000000000,-81.079648666,29.227963722,-4.194500000,26.237000000,0.000000000,0.000000000,0.000000000,0.000000000,296.540000000,236.860000000,-81.079648666,29.227963722,-4.194500000
HPPOSLLH,2025-09-18T20:40:13.075928+00:00,0,0,418018.000000000,-81.079648726,29.227964038,-4.155600000,26.275900000,0.000000000,0.000000000,0.000000000,0.000000000,295.670000000,236.490000000,-81.079648726,29.227964038,-4.155600000
HPPOSLLH,2025-09-18T20:40:13.076016+00:00,0,0,418019.000000000,-81.079648292,29.227963146,-4.191600000,26.239900000,0.000000000,0.000000000,0.000000000,0.000000000,295.180000000,236.260000000,-81.079648292,29.227963146,-4.191600000
HPPOSLLH,2025-09-18T20:40:13.076833+00:00,0,0,418020.000000000,-81.079648482,29.227963562,-4.134400000,26.297100000,0.000000000,0.000000000,0.000000000,0.000000000,294.310000000,235.910000000,-81.079648482,29.227963562,-4.134400000
HPPOSLLH,2025-09-18T20:40:13.077628+00:00,0,0,418021.000000000,-81.079648116,29.227962755,-4.174000000,26.257500000,0.000000000,0.000000000,0.000000000,0.000000000,293.740000000,235.700000000,-81.079648116,29.227962755,-4.174000000
HPPOSLLH,2025-09-18T20:40:13.078433+00:00,0,0,418022.000000000,-81.079648328,29.227963301,-4.124600000,26.306900000,0.000000000,0.000000000,0.000000000,0.000000000,292.900000000,235.360000000,-81.079648328,29.227963301,-4.124600000
HPPOSLLH,2025-09-18T20:40:13.079223+00:00,0,0,418023.000000000,-81.079648031,29.227962638,-4.153600000,26.277900000,0.000000000,0.000000000,0.000000000,0.000000000,292.460000000,235.190000000,-81.079648031,29.227962638,-4.153600000
HPPOSLLH,2025-09-18T20:40:13.080025+00:00,0,0,418024.000000000,-81.079648211,29.227963158,-4.114800000,26.316700000,0.000000000,0.000000000,0.000000000,0.000000000,291.510000000,234.830000000,-81.079648211,29.227963158,-4.114800000
HPPOSLLH,2025-09-18T20:40:13.080853+00:00,0,0,418025.000000000,-81.079648542,29.227963914,-4.048800000,26.382700000,0.000000000,0.000000000,0.000000000,0.000000000,290.710000000,234.530000000,-81.079648542,29.227963914,-4.048800000
HPPOSLLH,2025-09-18T20:40:13.081644+00:00,0,0,418026.000000000,-81.079648237,29.227963166,-4.081600000,26.349900000,0.000000000,0.000000000,0.000000000,0.000000000,290.580000000,234.500000000,-81.079648237,29.227963166,-4.081600000
HPPOSLLH,2025-09-18T20:40:13.082403+00:00,0,0,418027.000000000,-81.079648419,29.227963655,-4.042200000,26.389300000,0.000000000,0.000000000,0.000000000,0.000000000,289.700000000,234.230000000,-81.079648419,29.227963655,-4.042200000
HPPOSLLH,2025-09-18T20:40:13.083199+00:00,0,0,418028.000000000,-81.079648726,29.227964506,-3.977400000,26.454100000,0.000000000,0.000000000,0.000000000,0.000000000,288.790000000,234.040000000,-81.079648726,29.227964506,-3.977400000
HPPOSLLH,2025-09-18T20:40:13.083998+00:00,0,0,418029.000000000,-81.079648442,29.227963922,-4.001500000,26.430100000,0.000000000,0.000000000,0.000000000,0.000000000,288.240000000,234.000000000,-81.079648442,29.227963922,-4.001500000
HPPOSLLH,2025-09-18T20:40:13.084784+00:00,0,0,418030.000000000,-81.079648562,29.227964328,-3.955800000,26.475800000,0.000000000,0.000000000,0.000000000,0.000000000,287.590000000,233.950000000,-81.079648562,29.227964328,-3.955800000
HPPOSLLH,2025-09-18T20:40:13.084869+00:00,0,0,418031.000000000,-81.079648954,29.227965240,-3.874800000,26.556800000,0.000000000,0.000000000,0.000000000,0.000000000,286.720000000,233.780000000,-81.079648954,29.227965240,-3.874800000
HPPOSLLH,2025-09-18T20:40:13.085682+00:00,0,0,418032.000000000,-81.079648926,29.227964918,-3.884200000,26.547300000,0.000000000,0.000000000,0.000000000,0.000000000,285.760000000,233.570000000,-81.079648926,29.227964918,-3.884200000
HPPOSLLH,2025-09-18T20:40:13.086477+00:00,0,0,418033.000000000,-81.079649168,29.227965301,-3.841400000,26.590100000,0.000000000,0.000000000,0.000000000,0.000000000,285.130000000,233.520000000,-81.079649168,29.227965301,-3.841400000
HPPOSLLH,2025-09-18T20:40:13.087273+00:00,0,0,418034.000000000,-81.079649457,29.227965971,-3.797200000,26.634300000,0.000000000,0.000000000,0.000000000,0.000000000,284.420000000,233.440000000,-81.079649457,29.227965971,-3.797200000
HPPOSLLH,2025-09-18T20:40:13.087362+00:00,0,0,418035.000000000,-81.079649408,29.227965766,-3.804500000,26.627000000,0.000000000,0.000000000,0.000000000,0.000000000,283.930000000,233.490000000,-81.079649408,29.227965766,-3.804500000
HPPOSLLH,2025-09-18T20:40:13.088177+00:00,0,0,418036.000000000,-81.079649569,29.227966153,-3.766100000,26.665400000,0.000000000,0.000000000,0.000000000,0.000000000,283.490000000,233.590000000,-81.079649569,29.227966153,-3.766100000
HPPOSLLH,2025-09-18T20:40:13.089015+00:00,0,0,418037.000000000,-81.079649836,29.227966857,-3.720700000,26.710800000,0.000000000,0.000000000,0.000000000,0.000000000,283.070000000,233.710000000,-81.079649836,29.227966857,-3.720700000
HPPOSLLH,2025-09-18T20:40:13.089859+00:00,0,0,418038.000000000,-81.079649727,29.227966525,-3.741400000,26.690200000,0.000000000,0.000000000,0.000000000,0.000000000,282.820000000,233.910000000,-81.079649727,29.227966525,-3.741400000
HPPOSLLH,2025-09-18T20:40:13.090659+00:00,0,0,418039.000000000,-81.079650069,29.227967313,-3.677500000,26.754100000,0.000000000,0.000000000,0.000000000,0.000000000,282.220000000,233.970000000,-81.079650069,29.227967313,-3.677500000
HPPOSLLH,2025-09-18T20:40:13.091453+00:00,0,0,418040.000000000,-81.079650353,29.227968056,-3.635100000,26.796500000,0.000000000,0.000000000,0.000000000,0.000000000,281.600000000,233.960000000,-81.079650353,29.227968056,-3.635100000
HPPOSLLH,2025-09-18T20:40:13.092256+00:00,0,0,418041.000000000,-81.079650131,29.227967548,-3.668000000,26.763500000,0.000000000,0.000000000,0.000000000,0.000000000,281.260000000,234.060000000,-81.079650131,29.227967548,-3.668000000
HPPOSLLH,2025-09-18T20:40:13.093055+00:00,0,0,418042.000000000,-81.079650254,29.227967936,-3.642700000,26.788800000,0.000000000,0.000000000,0.000000000,0.000000000,280.660000000,234.060000000,-81.079650254,29.227967936,-3.642700000
HPPOSLLH,2025-09-18T20:40:13.093845+00:00,0,0,418043.000000000,-81.079650599,29.227968881,-3.587900000,26.843700000,0.000000000,0.000000000,0.000000000,0.000000000,280.170000000,234.050000000,-81.079650599,29.227968881,-3.587900000
HPPOSLLH,2025-09-18T20:40:13.094646+00:00,0,0,418044.000000000,-81.079651001,29.227970079,-3.520100000,26.911400000,0.000000000,0.000000000,0.000000000,0.000000000,279.530000000,233.980000000,-81.079651001,29.227970079,-3.520100000
HPPOSLLH,2025-09-18T20:40:13.095428+00:00,0,0,418045.000000000,-81.079650760,29.227969720,-3.557900000,26.873600000,0.000000000,0.000000000,0.000000000,0.000000000,279.370000000,234.120000000,-81.079650760,29.227969720,-3.557900000
HPPOSLLH,2025-09-18T20:40:13.096245+00:00,0,0,418046.000000000,-81.079650794,29.227969917,-3.558400000,26.873100000,0.000000000,0.000000000,0.000000000,0.000000000,279.020000000,234.150000000,-81.079650794,29.227969917,-3.558400000
HPPOSLLH,2025-09-18T20:40:13.097042+00:00,0,0,418047.000000000,-81.079650982,29.227970365,-3.530200000,26.901300000,0.000000000,0.000000000,0.000000000,0.000000000,278.700000000,234.210000000,-81.079650982,29.227970365,-3.530200000
HPPOSLLH,2025-09-18T20:40:13.097838+00:00,0,0,418048.000000000,-81.079651079,29.227970754,-3.516800000,26.914700000,0.000000000,0.000000000,0.000000000,0.000000000,278.540000000,234.340000000,-81.079651079,29.227970754,-3.516800000
HPPOSLLH,2025-09-18T20:40:13.098599+00:00,0,0,418049.000000000,-81.079651065,29.227970990,-3.503900000,26.927600000,0.000000000,0.000000000,0.000000000,0.000000000,278.430000000,234.470000000,-81.079651065,29.227970990,-3.503900000
HPPOSLLH,2025-09-18T20:40:13.099353+00:00,0,0,418050.000000000,-81.079651080,29.227971240,-3.496900000,26.934600000,0.000000000,0.000000000,0.000000000,0.000000000,278.200000000,234.600000000,-81.079651080,29.227971240,-3.496900000
HPPOSLLH,2025-09-18T20:40:13.099437+00:00,0,0,418051.000000000,-81.079651070,29.227971569,-3.492800000,26.938800000,0.000000000,0.000000000,0.000000000,0.000000000,277.740000000,234.500000000,-81.079651070,29.227971569,-3.492800000
HPPOSLLH,2025-09-18T20:40:13.100170+00:00,0,0,418052.000000000,-81.079651139,29.227971801,-3.484700000,26.946800000,0.000000000,0.000000000,0.000000000,0.000000000,277.390000000,234.350000000,-81.079651139,29.227971801,-3.484700000
HPPOSLLH,2025-09-18T20:40:13.100882+00:00,0,0,418053.000000000,-81.079651197,29.227971883,-3.483100000,26.948400000,0.000000000,0.000000000,0.000000000,0.000000000,276.940000000,234.130000000,-81.079651197,29.227971883,-3.483100000
