message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,0,21674496.624240719,113900250.503845170,-1119.664306641,0,3,0,0,64500,43,3,2,6,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,1,22325739.445013605,117322563.404345319,2468.409912109,0,4,0,0,64500,50,3,1,4,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,2,20275644.651795324,106549232.721712813,1108.086181641,0,16,0,0,64500,34,5,4,8,15
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,3,21719993.943021875,114139340.111569196,-1774.407836914,0,31,0,0,64500,42,4,2,6,15
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,4,20662919.455200884,108584372.885729611,-1920.975097656,0,26,0,0,64500,41,4,2,7,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,5,25512519.365277760,134069205.538782179,-1840.046142578,0,29,0,0,64500,30,6,5,8,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,6,22325725.437444624,91420112.723798320,1923.387695312,0,4,3,0,64500,47,3,1,5,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,7,20662905.180852972,84611097.802570835,-1496.564453125,0,26,3,0,64500,35,5,4,8,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,8,21719978.636458684,88939669.434811652,-1382.833251953,0,31,3,0,64500,35,5,4,8,15
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,9,21674481.733481318,88753369.680903003,-872.556152344,0,3,3,0,64500,37,4,3,7,7
RAWX,2025-09-18T21:57:34.750381+00:00,0.000000000,2384,18,11,0,0,10,25512510.095722094,104469466.359651610,-1433.949707031,0,29,3,0,44040,26,6,8,8,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,0,21674709.756593335,113901370.724630117,-1120.698242188,0,3,0,0,64500,43,3,1,6,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,1,22325269.842483219,117320095.008529440,2468.141601562,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,2,20275433.866915800,106548124.874840409,1107.384277344,0,16,0,0,64500,34,5,4,8,15
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,3,21720331.549732052,114141114.696510598,-1774.786376953,0,31,0,0,64500,43,3,1,6,15
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,4,20663285.144895475,108586294.065025106,-1921.761352539,0,26,0,0,64500,41,4,2,6,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,5,25512869.435631454,134071045.586741820,-1840.258789062,0,29,0,0,64500,30,6,6,8,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,6,22325255.870093875,91418189.300193161,1923.290527344,0,4,3,0,64500,48,3,1,5,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,7,20663270.766125459,84612594.844113573,-1497.694824219,0,26,3,0,64500,35,5,4,8,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,8,21720316.296077922,88941052.205330759,-1382.542724609,0,31,3,0,64500,35,5,3,8,15
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,9,21674694.883563355,88754242.580245361,-873.417968750,0,3,3,0,64500,37,4,3,7,7
RAWX,2025-09-18T21:57:34.751013+00:00,0.000000000,2384,18,11,0,0,10,25512860.176196914,104470900.144732252,-1433.623535156,0,29,3,0,45040,27,6,8,8,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,0,21674923.021009199,113902491.673995152,-1121.539306641,0,3,0,0,64500,43,3,1,6,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,1,22324800.322317857,117317626.894221112,2467.821044922,0,4,0,0,64500,51,3,1,4,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,2,20275223.251931597,106547017.780499309,1106.489013672,0,16,0,0,64500,34,5,4,8,15
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,3,21720669.312796179,114142889.510434926,-1775.136596680,0,31,0,0,64500,43,3,2,6,15
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,4,20663650.905507747,108588215.816645294,-1922.459594727,0,26,0,0,64500,41,4,2,6,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,5,25513219.572714780,134072886.239000678,-1841.420166016,0,29,0,0,64500,30,7,6,9,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,6,22324786.270634722,91416266.102185190,1922.926757812,0,4,3,0,64500,48,3,1,5,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,7,20663636.414358329,84614092.307758048,-1497.939453125,0,26,3,0,64500,35,5,4,8,7
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,8,21720654.087620802,88942435.185755745,-1383.116577148,0,31,3,0,64500,36,5,3,8,15
RAWX,2025-09-18T21:57:34.751592+00:00,0.000000000,2384,18,11,0,0,9,21674908.233136278,88755116.025607303,-873.748779297,0,3,3,0,64500,37,4,3,7,7
