Name,Value,Category,Description
Vout,3.8 V,System Information,Operational Output Voltage
IC Tolerance,10 mV,IC,IC Feedback Tolerance
Cin IRMS,173.92 mA,Capacitor,Input capacitor RMS ripple current
Cin Pd,127.64 µW,Capacitor,Input capacitor power dissipation
Cout IRMS,477.4 mA,Capacitor,Output capacitor RMS ripple current
Cout Pd,234.52 µW,Capacitor,Output capacitor power dissipation
D1 Tj,93.28 °C,Diode,D1 junction temperature
Diode Pd,351.57 mW,Diode,Diode power dissipation
L Ipp,602.47 mA,Inductor,Peak-to-peak inductor ripple current
Ipp percentage,58.55%,Inductor,Inductor ripple current percentage (with respect to average inductor current)
L Pd,47.85 mW,Inductor,Inductor power dissipation
Duty Cycle,30.34%,System Information,Duty cycle
Efficiency,86.2%,System Information,Steady state efficiency
Frequency,2.15 MHz,System Information,Switching frequency
IC Tj,31.06 °C,IC,IC junction temperature
ICThetaJA,41.3 °C/W,IC,IC junction-to-ambient thermal resistance
IC Pd,25.78 mW,IC,IC power dissipation
Pout,2.66 W,System Information,Total output power
Iin Avg,1.03 A,IC,Average input current
IC Ipk,1.31 A,IC,Peak switch current in IC
Mode,CCM,System Information,Conduction Mode
Vout p-p,15.1 mV,System Information,Peak-to-peak output ripple voltage
Vin p-p,16.46 mV,System Information,Input Source ripple voltage
Phase Marg,56.64 °,System Information,Bode Plot Phase Margin
Cross Freq,41.62 kHz,System Information,Bode plot crossover frequency
Low Freq Gain,91.16 dB,System Information,Gain at 1Hz
Gain Marg,-19.98 dB,System Information,Bode Plot Gain Margin
FootPrint,78 mm²,System Information,Total Foot Print Area of BOM components
Vout Actual,3.8 V,System Information,Vout Actual calculated based on selected voltage divider resistors
Vout Tolerance,2.50%,System Information,Vout Tolerance based on IC Tolerance (no load) and voltage divider resistors if applicable
Vin,3 V,System Information,Vin operating point
Iout,700 mA,System Information,Iout operating point
Cin Pd,127.64 µW,Power,Input capacitor power dissipation
Cout Pd,227.91 µW,Power,Output capacitor power dissipation
Diode Pd,351.57 mW,Power,Diode power dissipation
L Pd,47.85 mW,Power,Inductor power dissipation
IC Pd,25.78 mW,Power,IC power dissipation
Total BOM,$2.16,System Information,Total BOM Cost
Total Pd,427.06 mW,Power,Total Power Dissipation
BOM Count,15 ,System Information,Total Design BOM count
