svId,gpsTOW,rcvTOW,rcvTOW_sat,clkBias_ns,clkDrift_ns,t_tx,WN,geoRange,elevation,azimuth,satClockBias,relBias,rcvClockBias_m,ztd_est_m,ISB_m,pseudorange,carrierPhase,freqLabel,troposphericDelay,pwv,ztd
G18,226984.99569039,226984.996,226984.996,310738,563,226984.927713106,2386,20541228.4961129,64.029045459983,177.577788600573,-162151.290293371,1.6490376914899,-1101454.94457673,-4110.63981547832,107.018854820722,19598998.216117,135873470.356584,L1_L5,-2924.97667485848,-4429.95942926333,-2629979.26482869
G18,226989.995687575,226989.996,226989.996,310738,563,226989.927704821,2386,20542868.1726407,63.9845304295221,177.57148757246,-162151.276660411,1.64646405332443,-1100588.01690184,-4129.78417285698,110.783995970677,19601493.0937046,135890750.118152,L1_L5,-2936.69223060645,-4446.00914601007,-2639514.65732344
G18,226994.995684754,226994.996,226994.996,313556,564,226994.927696521,2386,20544510.7148525,63.9400175269018,177.565219402109,-162151.263027451,1.64388952594473,-1099736.85479727,-4133.40080357792,111.318769298829,19603986.3706161,135908029.78371,L1_L5,-2937.10857702815,-4444.95536795698,-2638888.59098862
G18,226999.995681928,226999.996,226999.996,316379,565,226999.927688207,2386,20546156.1214961,63.8955067696801,177.558983878156,-162151.249394491,1.64131411073603,-1098893.67569398,-4126.4597517497,106.155011119258,19606478.5993921,135925315.533427,L1_L5,-2933.45449039829,-4437.7452527795,-2634604.94665804
G18,227004.99567911,227004.996,227004.996,319200,564,227004.927679891,2386,20547804.3913198,63.8509981752616,177.552780790641,-162151.235761531,1.6387378090779,-1098052.76114647,-4123.05715668757,106.793956633198,19608973.3235317,135942616.076757,L1_L5,-2927.90366538288,-4427.67054258943,-2628619.40077899
G18,227009.995676292,227009.996,227009.996,322018,564,227009.927671565,2386,20549455.5230618,63.8064917611911,177.546609931039,-162151.222128571,1.63616062236118,-1097206.46898008,-4124.15667030074,108.070523509479,19611472.4078876,135959947.509735,L1_L5,-2926.23216207349,-4423.45953607498,-2626117.57470026
G18,227014.995673474,227014.996,227014.996,324836,564,227014.92766323,2386,20551109.5154596,63.7619875448968,177.540471092215,-162151.208495611,1.63358255197314,-1096359.52187524,-4126.38809585956,109.325481888681,19613974.5000496,135977297.261056,L1_L5,-2925.06844779756,-4420.01462377971,-2624070.89740597
G18,227019.995670657,227019.996,227019.996,327653,564,227019.927654886,2386,20552766.3672475,63.7174855437525,177.534364068417,-162151.194862651,1.63100359930105,-1095521.99568593,-4123.76347573977,114.477652899007,19616473.9237967,135994646.433574,L1_L5,-2920.0116239686,-4410.6922486304,-2618532.32576419
G18,227024.995667839,227024.996,227024.996,330471,564,227024.927646532,2386,20554426.0771558,63.6729857751116,177.528288655272,-162151.181229691,1.6284237657341,-1095960.43808312,-3129.45350736323,-470.54483851392,19618983.8331931,136012042.540726,L1_L5,-1631.35868547065,-2464.6653058782,-1462366.70631281
G18,227029.995665022,227029.996,227029.996,333288,564,227029.927638169,2386,20556088.6439123,63.6284882562498,177.522244649765,-162151.167596732,1.62584305266012,-1095118.78428992,-3125.81789873734,-472.746198214193,19621495.6624133,136029454.272349,L1_L5,-1623.73896282981,-2452.22776433436,-1454977.36467135
G18,227034.995662208,227034.996,227034.996,336105,563,227034.9276298,2386,20557754.0662421,63.5839930043948,177.516231850232,-162151.153963772,1.62326146146723,-1094269.15427157,-3130.59183018128,-466.660150595325,19624006.2947232,136046871.405093,L1_L5,-1628.14794962062,-2457.93276921276,-1458366.79898714
G18,227039.995659393,227039.996,227039.996,338920,563,227039.92762142,2386,20559422.3428643,63.5395000367857,177.510250056356,-162151.140330812,1.62067899354729,-1093431.00732236,-3127.21534378102,-463.920397180895,19626520.8546816,136064308.837301,L1_L5,-1620.0005121869,-2444.70777379485,-1450509.61844987
G18,227044.995656576,227044.996,227044.996,341737,563,227044.927613029,2386,20561093.4724962,63.4950093705892,177.504299069148,-162151.126697852,1.61809565029103,-1092593.48892655,-3122.02631332485,-455.062539329104,19629042.1662737,136081774.84155,L1_L5,-1607.3258981884,-2424.67068316439,-1438605.2635862
G18,227049.99565376,227049.996,227049.996,344553,563,227049.927604629,2386,20562767.4538529,63.4505210228931,177.498378690928,-162151.113064893,1.61551143308762,-1091744.69990458,-3125.3269051468,-453.373514653813,19631566.2839859,136099259.821492,L1_L5,-1605.96751593286,-2421.68815623495,-1436833.29680653
G18,227054.995650944,227054.996,227054.996,347369,563,227054.92759622,2386,20564444.2856449,63.4060350107775,177.492488725332,-162151.099431933,1.61292634332884,-1090904.26853593,-3121.64286708267,-456.475832390126,19634094.0947893,136116761.608708,L1_L5,-1595.40882528224,-2404.85635859876,-1426833.25759176
G18,227059.995648128,227059.996,227059.996,350185,563,227059.927587801,2386,20566123.9665796,63.3615513512692,177.486628977287,-162151.085798973,1.61034038240635,-1090066.23412544,-3117.49099048844,-457.172320661342,19636622.0471054,136134275.511318,L1_L5,-1585.16080736462,-2388.50298416846,-1417117.45722797
G18,227064.995645312,227064.996,227064.996,353001,563,227064.927579372,2386,20567806.4953612,63.3170700613531,177.480799253009,-162151.072166014,1.60775355171241,-1089208.97065482,-3127.17545746954,-463.544450399895,19639156.9552475,136151825.322263,L1_L5,-1590.03387140785,-2394.90465657869,-1420920.79282683
G18,227069.995642497,227069.996,227069.996,355816,563,227069.927570936,2386,20569491.870691,63.2725911579618,177.474999359984,-162151.058533054,1.60516585263919,-1088368.48229232,-3124.2331481424,-465.582184317861,19641690.4614139,136169375.22536,L1_L5,-1582.38035197696,-2382.46466082461,-1413529.99309995
G18,227074.995639682,227074.996,227074.996,358631,563,227074.927562489,2386,20571180.091266,63.2281146580036,177.469229106969,-162151.044900094,1.60257728658041,-1087526.87927742,-3123.07738851292,-463.67297633478,19644224.310617,136186944.561884,L1_L5,-1578.34369443799,-2375.46834031291,-1409373.36758743
G18,227079.995636868,227079.996,227079.996,361445,563,227079.927554034,2386,20572871.155781,63.1836405783258,177.463488303969,-162151.031267135,1.59998785492919,-1086680.28375305,-3124.58493664388,-462.710248560037,19646764.0327519,136204544.848177,L1_L5,-1576.27055537491,-2371.42536376317,-1406971.37078854
G18,227084.995634054,227084.996,227084.996,364259,563,227084.92754557,2386,20574565.0629266,63.1391689357531,177.457776762236,-162151.017634175,1.59739755908027,-1085839.62477816,-3121.55067246333,-462.210369842067,19649303.6981219,136222163.860282,L1_L5,-1571.16026309598,-2362.82224733765,-1401860.12221699
G18,227089.99563124,227089.996,227089.996,367073,563,227089.927537096,2386,20576261.8113903,63.0946997470581,177.452094294254,-162151.004001216,1.59480640042827,-1085003.00989167,-3115.49232081561,-465.186810333482,19651847.7050018,136239798.430273,L1_L5,-1560.50569163146,-2345.90064096613,-1391806.72620133
G18,227094.995628426,227094.996,227094.996,369887,563,227094.927528613,2386,20577961.3998565,63.0502330289731,177.44644071373,-162150.990368256,1.59221438036837,-1084164.36893973,-3111.7052753744,-464.988706879372,19654393.1407436,136257448.8904,L1_L5,-1553.28832711978,-2334.14820777486,-1384824.41835033
G18,227099.995625613,227099.996,227099.996,372700,563,227099.927520121,2386,20579663.8270068,63.0057687981796,177.440815835583,-162150.976735297,1.58962150029566,-1083316.31815892,-3115.11299497748,-460.83669570708,19656944.6674787,136275133.888342,L1_L5,-1552.22848294396,-2331.63943076615,-1383333.91394845
G18,227104.9956228,227104.996,227104.996,375513,563,227104.92751162,2386,20581369.0915184,62.961307071336,177.435219475938,-162150.963102337,1.58702776160677,-1082476.38646869,-3113.0367151101,-458.263020792204,19659496.0728846,136292826.253775,L1_L5,-1546.00823967438,-2321.39285924077,-1377246.26251124
G18,227109.995619986,227109.996,227109.996,378327,563,227109.927503108,2386,20583077.1920656,62.9168478650611,177.429651452114,-162150.949469378,1.58443316569886,-1081655.20746561,-3096.74919082786,-465.725433346649,19662048.0953029,136310532.002263,L1_L5,-1523.25433332357,-2286.37092027494,-1356439.17044624
G18,227114.995617173,227114.996,227114.996,381140,563,227114.927494588,2386,20584788.1273203,62.8723911959049,177.424111582609,-162150.935836419,1.58183771396794,-1080815.63746267,-3093.98613093769,-465.339794518441,19664606.6075511,136328269.442144,L1_L5,-1515.23630517256,-2273.45272824746,-1348764.26669258
G18,227119.99561436,227119.996,227119.996,383953,563,227119.927486059,2386,20586501.89595,62.8279370804058,177.418599687098,-162150.922203459,1.57924140781215,-1079974.74181125,-3091.96002052035,-465.14622440058,19667168.0813454,136346021.537745,L1_L5,-1508.41575537133,-2262.33617060522,-1342159.74263886
G18,227124.995611547,227124.996,227124.996,386766,563,227124.92747752,2386,20588218.4966194,62.783485535052,177.413115586421,-162150.9085705,1.57664424862951,-1079133.30682324,-3090.7307331278,-464.459643923138,19669732.7491685,136363789.494421,L1_L5,-1501.77255382738,-2251.49193239664,-1335717.00790048
G18,227129.995608738,227129.996,227129.996,389578,562,227129.927468975,2386,20589937.9279913,62.7390365762565,177.407659102568,-162150.894937541,1.57404623781647,-1078295.18855562,-3087.59814646775,-463.25819291195,19672297.9945807,136381568.934427,L1_L5,-1494.06574627059,-2239.06267257636,-1328332.58656296
G18,227134.995605922,227134.996,227134.996,392391,563,227134.927460414,2386,20591660.1887199,62.6945902205275,177.40223005869,-162150.881304581,1.57144737677779,-1077450.24446045,-3088.29466010099,-462.671503366261,19674871.6145827,136399393.221064,L1_L5,-1487.63953399123,-2228.55692629878,-1322090.95527514
G18,227139.99560311,227139.996,227139.996,395203,563,227139.927451848,2386,20593385.2774641,62.6501464841372,177.396828279053,-162150.867671622,1.56884766690724,-1076611.16947288,-3085.46929859348,-461.804120726206,19677441.9939249,136417221.014371,L1_L5,-1481.41289022961,-2218.3559915892,-1316030.41739749
G18,227144.995600301,227144.996,227144.996,398015,562,227144.927443275,2386,20595113.1928748,62.6057053834267,177.39145358906,-162150.854038663,1.56624710960536,-1075769.3480348,-3084.18541433178,-462.735974839909,19680016.6717378,136435070.378861,L1_L5,-1476.46089379326,-2210.06641261315,-1311105.44642135
G18,227149.995597489,227149.996,227149.996,400827,562,227149.92743469,2386,20596843.9335986,62.5612669347409,177.386105815239,-162150.840405704,1.56364570627564,-1074925.44199379,-3084.41017595701,-463.145955480135,19682592.1490322,136452930.015604,L1_L5,-1475.61933257733,-2207.92276874109,-1309831.87343489
