svId,iTOW,gpsTOW,rcvTOW,t_tx,WN,geoRange,elevation,azimuth,satClockBias,relBias,rcvClockBias_m,ztd_est_m,ISB_m,pseudorange,carrierPhase,freqLabel,raw_residual,troposphericDelay,pwv,ztd
G26,226800,226799.999523677,226799.992,226799.927796693,2394,21588647.1604423,43.1091963639488,182.902075240816,-85438.2465350623,5.50165653458506,-2255495.69692155,-5.67042958477031,2.25601812229723,19418581.8178727,134622652.439764,L1_L5,-2255499.82297551,-4.12605396332219,-7.99592129914054,-2820.27434402787
G26,226801,226800.99952318,226800.992,226800.927798134,2394,21588066.1628417,43.1173509052949,182.900940545916,-85438.1958203592,5.50076816550349,-2255346.63142286,-5.6694221875432,2.25594986790789,19418149.9473246,134619658.097448,L1_L5,-2255350.64609663,-4.01467377133668,-7.86841804765276,-2744.52263036971
G26,226802,226801.999522683,226801.992,226801.927799574,2394,21587485.3031937,43.1255050362666,182.899806597972,-85438.1974563195,5.50004000472337,-2255197.67591987,-5.66836868635486,2.25578473443936,19417718.3087199,134616664.255631,L1_L5,-2255201.42741754,-3.75149767845869,-7.56609657811919,-2564.90862738864
G26,226803,226802.999522186,226802.992,226802.927801014,2394,21586904.5164699,43.1336594854615,182.898672490109,-85438.1990922798,5.49931172436497,-2255048.5651932,-5.6671613914429,2.2556510714936,19417286.5851964,134613671.001747,L1_L5,-2255052.36658138,-3.80138817895204,-7.62420560938464,-2599.43212891515
G26,226804,226803.999521689,226803.992,226803.927802454,2394,21586323.8026902,43.1418142528113,182.897538222022,-85438.20072824,5.49858332444376,-2254899.42660116,-5.66581729615559,2.25546349080953,19416855.1577411,134610678.588864,L1_L5,-2254903.08262139,-3.65602023759857,-7.45744146339001,-2500.35489215116
G26,226805,226804.999521192,226804.992,226804.927803894,2394,21585743.1618749,43.1499693382489,182.896403793407,-85438.2023642003,5.49785480497509,-2254750.39625319,-5.66448295376209,2.25514065751677,19416423.7119485,134607686.718053,L1_L5,-2254753.88996308,-3.49370989156887,-7.27111002113915,-2389.6524128481
G26,226806,226805.999520694,226805.992,226805.927805333,2394,21585162.5940445,43.1581247416975,182.895269203959,-85438.2040001606,5.49712616597514,-2254601.20021012,-5.66337708446168,2.25485321254952,19415992.004837,134604695.532118,L1_L5,-2254605.0316089,-3.83139878185466,-7.66077459831149,-2621.15834801648
G26,226807,226806.999520197,226806.992,226806.927806772,2394,21584582.0992181,43.1662804631063,182.894134453369,-85438.2056361209,5.49639740745784,-2254452.12573897,-5.66210800028419,2.25448715007962,19415560.6778566,134601705.123402,L1_L5,-2254455.86612758,-3.74038861552253,-7.55657488534832,-2559.25163797148
G26,226808,226807.999519699,226807.992,226807.92780821,2394,21584001.6774168,43.1744365023906,182.892999541336,-85438.2072720811,5.49566852944008,-2254303.00617026,-5.66082209716303,2.25409753747514,19415129.639148,134598715.497945,L1_L5,-2254306.48539971,-3.47922945348546,-7.25625412707234,-2380.82628943278
G26,226809,226808.999519202,226808.992,226808.927809649,2394,21583421.3286596,43.1825928594994,182.89186446755,-85438.2089080414,5.49493953193579,-2254153.79762837,-5.65963218965439,2.25369453873072,19414698.5477413,134595726.319205,L1_L5,-2254157.23041422,-3.43278585188091,-7.20332990217789,-2349.38316399869
