svId,iTOW,gpsTOW,rcvTOW,rcvTOW_sat,clkBias_ns,clkDrift_ns,t_tx,WN,geoRange,elevation,azimuth,satClockBias,relBias,rcvClockBias_m,ztd_est_m,ISB_m,pseudorange,carrierPhase,freqLabel,raw_residual,troposphericDelay,pwv,ztd
G26,226800,226799.999523683,226799.992,226799.992,476321,497,226799.927796699,2394,21588647.1604388,43.1091963639977,182.90207524081,-85438.2465350623,5.5016565345807,44.2926015368123,-3.55969325284037,2.50989523347287,19418581.8178727,134622652.439764,L1_L5,45.3256317372434,1.03303020043105,-2.05750466527762,707.833615433598
G26,226801,226800.999523186,226800.992,226800.992,476818,497,226800.92779814,2394,21588066.1628382,43.1173509053435,182.90094054591,-85438.1958203593,5.50076816549915,44.3635678778551,-3.5588293322032,2.51015902604193,19418149.9473246,134619658.097448,L1_L5,45.5056589758024,1.1420910979473,-1.93177097732605,782.534003194338
G26,226802,226801.999522689,226801.992,226801.992,477315,497,226801.92779958,2394,21587485.3031903,43.1255050363152,182.899806597965,-85438.1974563195,5.50004000471902,44.3096214718844,-3.55788986572167,2.51032834779344,19417718.3087199,134616664.255631,L1_L5,45.7274864395149,1.41786496763054,-1.61404439129001,971.300431392399
G26,226803,226802.999522192,226802.992,226802.992,477812,497,226802.92780102,2394,21586904.5164664,43.1336594855101,182.898672490102,-85438.1990922798,5.49931172436063,44.3716790380304,-3.55681009873804,2.51051164274682,19417286.5851964,134613671.001747,L1_L5,45.7914709756151,1.41979193758468,-1.61157923062823,972.765022627476
G26,226804,226803.999521695,226803.992,226803.992,478309,497,226803.92780246,2394,21586323.8026868,43.1418142528602,182.897538222015,-85438.2007282401,5.4985833244394,44.4895965901947,-3.55564906400646,2.51063604082514,19416855.1577411,134610678.588864,L1_L5,46.0785793564282,1.58898276623351,-1.41646588786039,1088.68496898
G26,226805,226804.999521198,226804.992,226804.992,478806,497,226804.9278039,2394,21585743.1618714,43.1499693382978,182.8964037934,-85438.2023642003,5.49785480497072,44.5332276389039,-3.55444887034563,2.51063822350372,19416423.7119485,134607686.718053,L1_L5,46.274386042729,1.74115840382515,-1.24089388802176,1192.99509207864
G26,226806,226805.9995207,226805.992,226805.992,479304,497,226805.927805339,2394,21585162.594041,43.1581247417464,182.895269203952,-85438.2040001606,5.49712616597077,44.4830472999955,-3.55344105419599,2.51066912712429,19415992.004837,134604695.532118,L1_L5,45.8360961270519,1.35304882705639,-1.68773529407275,927.519491677741
G26,226807,226806.999520203,226806.992,226806.992,479801,498,226806.927806778,2394,21584582.0992146,43.1662804631552,182.894134453363,-85438.2056361209,5.49639740745347,44.5297072017567,-3.5523422865125,2.51065060050958,19415560.6778566,134601705.123402,L1_L5,46.007124172058,1.47741697030128,-1.54419347270527,1012.79997529931
G26,226808,226807.999519705,226807.992,226807.992,480299,498,226807.927808216,2394,21584001.6774133,43.1744365024395,182.89299954133,-85438.2072720811,5.49566852943571,44.3576697582547,-3.55114730379239,2.51057659378585,19415129.639148,134598715.497945,L1_L5,46.0912079513073,1.73353819305261,-1.24876865982721,1188.31656465311
G26,226809,226808.999519208,226808.992,226808.992,480796,498,226808.927809655,2394,21583421.3286562,43.1825928595481,182.891864467544,-85438.2089080414,5.49493953193144,44.5866805272037,-3.55002669586118,2.51050719820077,19414698.5477413,134595726.319205,L1_L5,46.3493417976424,1.76266127043875,-1.21489950429281,1208.43876971023
G26,226810,226809.99951871,226809.992,226809.992,481294,497,226809.927811093,2394,21582841.0529644,43.190749534396,182.890729231701,-85438.2105440017,5.49421041495758,44.5609232626929,-3.54901030755749,2.51057684628183,19414267.5604833,134592737.347438,L1_L5,46.3363680532202,1.77544479052729,-1.19985653960953,1217.37603476002
G26,226811,226810.999518213,226810.992,226810.992,481791,497,226810.927812531,2394,21582260.850357,43.1989065269319,182.889593833494,-85438.2121799619,5.49348117852809,44.5544431949593,-3.54788028561064,2.51062093196433,19413836.3900075,134589748.51122,L1_L5,46.3692828728817,1.81483967792243,-1.15412679314005,1244.54480590739
G26,226812,226811.999517716,226811.992,226811.992,482288,497,226811.927813969,2394,21581680.7208546,43.2070638370798,182.888458272616,-85438.2138159222,5.4927518226591,44.6569723259527,-3.54693175343507,2.51054952579037,19413405.6424692,134586760.226196,L1_L5,46.7520300662145,2.09505774026177,-0.83067724793607,1436.71133535078
G26,226813,226812.999517218,226812.992,226812.992,482786,497,226812.927815406,2394,21581100.6644778,43.2152214647632,182.887322548761,-85438.2154518825,5.4920223473668,44.4284292718959,-3.54596855260703,2.51048767100189,19412974.4605878,134583772.720254,L1_L5,46.3275158558972,1.89908658400134,-1.05633231562091,1302.64606349837
G26,226814,226813.999516721,226813.992,226813.992,483283,497,226813.927816844,2394,21580520.6812457,43.2233794099307,182.886186661621,-85438.2170878427,5.49129275266513,44.6065056139046,-3.54496556535274,2.51048961894367,19412543.595206,134580785.826577,L1_L5,46.4461490823887,1.83964346848408,-1.12457034862258,1262.10476062004
G26,226815,226814.999516224,226814.992,226814.992,483780,497,226814.927818281,2394,21579940.7711788,43.2315376725057,182.885050610889,-85438.218723803,5.49056303857031,44.7791837149181,-3.5440745304408,2.51055449126957,19412112.6546785,134577799.145333,L1_L5,46.4164710929617,1.63728737804365,-1.35770446885249,1123.59606446105
G26,226816,226815.999515727,226815.992,226815.992,484277,497,226815.927819718,2394,21579360.9342973,43.2396962524202,182.883914396257,-85438.2203597633,5.48983320509775,44.7030938872699,-3.54308440942817,2.51058374245842,19411681.7041355,134574812.55406,L1_L5,46.3035922427662,1.60049835549628,-1.39986946875775,1098.5451660569
G26,226817,226816.999515229,226816.992,226816.992,484775,497,226816.927821154,2394,21578781.1706218,43.2478551495975,182.88277801742,-85438.2219957235,5.48910325226366,44.6205025628501,-3.54214986755726,2.51082898873287,19411250.9194069,134571826.586536,L1_L5,45.9835291062482,1.36302654339808,-1.67364027482614,935.893567236727
G26,226818,226817.999514732,226817.992,226817.992,485272,497,226817.927822591,2394,21578201.4801713,43.2560143639864,182.881641474067,-85438.2236316838,5.48837318008198,44.6779780215167,-3.54142891755166,2.5110411844187,19410820.4583091,134568841.193695,L1_L5,46.2136641829275,1.53568616141079,-1.47412047332262,1054.43146094744
G26,226819,226818.999514235,226818.992,226818.992,485769,497,226818.927824027,2394,21577621.8629663,43.2641738955103,182.88050476589,-85438.225267644,5.4876429885689,44.7939418722696,-3.54047402273944,2.51131938992399,19410390.0433801,134565856.501606,L1_L5,46.4167223596014,1.62278048733182,-1.37331483250137,1114.32169864346
G26,226820,226819.999513738,226819.992,226819.992,486266,497,226819.927825463,2394,21577042.3190272,43.2723337441004,182.879367892583,-85438.2269036043,5.48691267773992,44.8872772983154,-3.53967592510877,2.5116104093237,19409959.682426,134562872.437086,L1_L5,46.6004894850776,1.71321218676214,-1.26862571290431,1176.51917296906
G26,226821,226820.99951324,226820.992,226820.992,486764,497,226820.927826898,2394,21576462.8483743,43.2804939096812,182.878230853836,-85438.2285395646,5.48618224761115,44.6252880829035,-3.5388060725734,2.51188156706682,19409529.2482389,134559889.019877,L1_L5,46.3379448419437,1.71265675904015,-1.26896994191287,1176.31466102928
G26,226822,226821.999512743,226821.992,226821.992,487261,498,226821.927828334,2394,21575883.4510267,43.2886543921998,182.87709364934,-85438.2301755248,5.48545169819667,44.8289472986774,-3.53787515271303,2.51206130143222,19409099.1328578,134556906.519044,L1_L5,46.6230914373882,1.79414413871083,-1.17456347464059,1232.40304773976
G26,226823,226822.999512245,226822.992,226822.992,487759,498,226822.927829768,2394,21575304.1270056,43.2968151915724,182.875956278788,-85438.2318114851,5.48472102951333,44.8104169669556,-3.53698831494391,2.51225795098588,19408669.1968093,134553924.395561,L1_L5,46.7120533590205,1.90163639206489,-1.0500911941173,1306.35401324499
G26,226824,226823.999511748,226823.992,226823.992,488256,498,226823.927831203,2394,21574724.87633,43.3049763077464,182.874818741868,-85438.2334474453,5.48399024157518,44.9313086050875,-3.53606546532474,2.51241255914012,19408239.0356529,134550943.001504,L1_L5,46.8023541616276,1.8710455565401,-1.08510121894992,1285.5539995564
G26,226825,226824.99951125,226824.992,226824.992,488754,498,226824.927832637,2394,21574145.699021,43.3131377406374,182.873681038273,-85438.2350834056,5.48325933439911,44.8808830684839,-3.53526013176565,2.51266444403987,19407808.9475886,134547962.36779,L1_L5,46.5925879147835,1.71170484629966,-1.2688819205267,1176.36695593756
