epoch,constellation,prn,sat_id,C1,C2,C5,C7,C8,D1,D2,D5,D7# /,D8,L1,L1_LLI,L1_SSI,L2,L2_LLI,L2_SSI,L5,L7,L8,P2,S1,S2# /,S5,S7,S8
2025-09-30 00:00:00,R,06,R06,23481601.980,,,,,-4277.428,,,,,125302322.928,,5,,,,,,,,34.750,,,,
2025-09-30 00:00:00,R,07,R07,20739260.240,20739261.960,,,,-2797.296,-2175.676,,,,111018968.118,,8,86348106.293,,8,,,,20739262.100,51.200,50.950,,,
2025-09-30 00:00:00,R,08,R08,21203903.900,21203904.820,,,,891.771,693.603,,,,113545985.007,,7,88313584.734,,8,,,,21203904.960,45.050,48.100,,,
2025-09-30 00:00:00,R,09,R09,20785986.120,20785987.260,,,,-792.233,-616.181,,,,110996299.301,,8,86330593.184,,8,,,,20785987.080,52.300,49.150,,,
2025-09-30 00:00:00,R,10,R10,21163871.940,,,,,849.765,,,,,112815534.295,,7,,,,,,,,44.950,,,,
2025-09-30 00:00:00,R,16,R16,24089157.820,24089170.120,,,,-2078.409,-1616.535,,,,128679966.994,,4,,,,,,,24089171.840,29.250,30.050,,,
2025-09-30 00:00:00,R,18,R18,23721298.300,23721303.680,,,,-2600.324,-2022.474,,,,126626054.486,,6,98486991.073,,7,,,,23721303.220,38.900,44.700,,,
2025-09-30 00:00:00,R,19,R19,21461361.720,21461362.300,,,,561.868,437.010,,,,114804010.670,,8,89292083.762,,8,,,,21461362.540,48.900,48.250,,,
2025-09-30 00:00:00,R,20,R20,22168436.080,22168441.640,,,,3654.249,2842.198,,,,118544591.203,,6,92201365.793,,7,,,,22168441.860,37.100,45.950,,,
2025-09-30 00:00:30,R,06,R06,23505644.360,,,,,-4275.965,,,,,125430616.909,,5,,,,,,,,34.150,,,,
2025-09-30 00:00:30,R,07,R07,20754987.420,20754989.180,,,,-2815.313,-2189.689,,,,111103156.955,,8,86413586.479,,8,,,,20754989.320,50.100,50.600,,,
2025-09-30 00:00:30,R,08,R08,21198979.880,21198980.720,,,,865.948,673.518,,,,113519616.911,,7,88293076.242,,7,,,,21198980.860,43.850,47.550,,,
2025-09-30 00:00:30,R,09,R09,20790442.860,20790443.960,,,,-794.310,-617.795,,,,111020098.033,,8,86349103.332,,8,,,,20790443.800,51.650,49.050,,,
2025-09-30 00:00:30,R,10,R10,21159096.440,,,,,847.430,,,,,112790078.310,,7,,,,,,,,44.650,,,,
2025-09-30 00:00:30,R,16,R16,24100832.340,24100844.080,,,,-2077.496,-1615.831,,,,,,,,,,,,,24100849.080,27.350,27.800,,,
2025-09-30 00:00:30,R,18,R18,23735964.340,23735969.800,,,,-2618.777,-2036.826,,,,126704342.977,,6,98547882.177,,7,,,,23735969.360,39.100,44.200,,,
2025-09-30 00:00:30,R,19,R19,21458278.580,21458279.200,,,,537.746,418.248,,,,114787518.202,,8,89279256.311,,8,,,,21458279.440,48.550,48.250,,,
2025-09-30 00:00:30,R,20,R20,22147956.820,22147962.420,,,,3646.526,2836.193,,,,118435079.971,,6,92116190.547,,7,,,,22147962.460,36.200,45.550,,,
2025-09-30 00:01:00,R,06,R06,23529679.340,,,,,-4274.167,,,,,125558871.367,,5,,,,,,,,32.450,,,,
