rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
226800.0,1.93022954639882,-36366428292366.1,-36366428292364.17,-61210996139283.086,66514516244710.914,15,78127627940007.7
226810.0,1.93022954639882,-36361883434144.37,-36361883434142.44,-61203346355894.195,66525177015741.1,15,78137266531683.84
226820.0,1.93022954639882,-36356488001919.24,-36356488001917.31,-61194264909169.58,66534480730739.67,15,78148668804603.42
226830.0,1.93022954639882,-36350244237588.484,-36350244237586.555,-61183755572611.36,66542426864980.27,15,78161817041291.31
226840.0,1.93022954639882,-36343153478158.03,-36343153478156.1,-61171820596632.07,66549017178626.47,15,78176692320605.5
226850.0,1.93022954639882,-36335217181218.08,-36335217181216.15,-61158462434608.4,66554253616381.9,15,78193276195239.95
226860.0,1.93022954639882,-36326436923342.39,-36326436923340.46,-61143683740187.0,66558138305160.086,15,78211550680845.33
226870.0,1.93022954639882,-36316814398500.22,-36316814398498.29,-61127487364611.45,66560673551775.72,15,78231498245631.61
226880.0,1.93022954639882,-36306351416483.22,-36306351416481.29,-61109876354074.5,66561861840652.32,15,78253101800429.98
226890.0,1.93022954639882,-36295049901336.734,-36295049901334.805,-61090853947077.64,66561705831530.805,15,78276344689203.61
226900.0,1.93022954639882,-36282911889805.61,-36282911889803.68,-61070423571815.13,66560208357201.34,15,78301210679987.39
226910.0,1.93022954639882,-36269939529788.664,-36269939529786.734,-61048588843572.62,66557372421242.71,15,78327683956242.94
226920.0,1.93022954639882,-36256135078801.35,-36256135078799.42,-61025353562139.53,66553201195771.086,15,78355749108615.31
226930.0,1.93022954639882,-36241500902446.555,-36241500902444.625,-61000721709235.164,66547698019197.17,15,78385391127075.25
226940.0,1.93022954639882,-36226039472895.57,-36226039472893.64,-60974697445951.875,66540866393996.96,15,78416595393434.28
226950.0,1.93022954639882,-36209753367375.18,-36209753367373.25,-60947285110208.64,66532709984488.74,15,78449347674224.14
226960.0,1.93022954639882,-36192645266662.32,-36192645266660.39,-60918489214217.26,66523232614617.59,15,78483634113918.08
226970.0,1.93022954639882,-36174717953586.49,-36174717953584.56,-60888314441961.64,66512438265748.34,15,78519441228496.64
226980.0,1.93022954639882,-36155974311538.62,-36155974311536.69,-60856765646688.016,66500331074469.164,15,78556755899332.55
226990.0,1.93022954639882,-36136417322987.23,-36136417322985.3,-60823847848407.39,66486915330397.19,15,78595565367394.67
227000.0,1.93022954639882,-36116050068000.24,-36116050067998.31,-60789566231407.41,66472195473994.69,15,78635857227755.3
227010.0,1.93022954639882,-36094875722773.26,-36094875722771.33,-60753926141775.266,66456176094391.086,15,78677619424391.73
227020.0,1.93022954639882,-36072897558165.01,-36072897558163.08,-60716933084932.61,66438861927212.38,15,78720840245273.94
227030.0,1.93022954639882,-36050118938237.414,-36050118938235.484,-60678592723178.17,66420257852415.34,15,78765508317728.97
