rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
226800.000000,1.930198,-2.918520,-0.988323,1.169767,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-13.497765
226810.000000,1.930198,-2.929414,-0.999216,1.172779,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-13.548146
226820.000000,1.930198,-3.112279,-1.182082,1.178620,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.393875
226830.000000,1.930198,-3.075299,-1.145101,1.180176,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.222844
226840.000000,1.930198,-3.258976,-1.328778,1.189926,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.072327
226850.000000,1.930198,-3.059958,-1.129760,1.182389,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.151895
226860.000000,1.930198,-3.200696,-1.270498,1.188936,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.802789
226870.000000,1.930198,-3.513083,-1.582885,1.203917,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-16.247538
226880.000000,1.930198,-3.467382,-1.537185,1.201982,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-16.036179
226890.000000,1.930198,-3.412567,-1.482369,1.199556,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.782663
226900.000000,1.930198,-3.373444,-1.443246,1.199472,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.601725
226910.000000,1.930198,-3.445982,-1.515784,1.201803,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.937203
226920.000000,1.930198,-3.328573,-1.398376,1.197709,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.394206
226930.000000,1.930198,-3.121628,-1.191430,1.190722,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.437110
226940.000000,1.930198,-3.088627,-1.158429,1.189117,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.284485
226950.000000,1.930198,-2.948404,-1.018207,1.184468,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-13.635975
226960.000000,1.930198,-2.793532,-0.863334,1.178935,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-12.919711
226970.000000,1.930198,-3.048804,-1.118606,1.185909,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.100309
226980.000000,1.930198,-3.156573,-1.226375,1.196128,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.598728
226990.000000,1.930198,-3.220312,-1.290114,1.199273,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.893511
227000.000000,1.930198,-3.349566,-1.419368,1.204047,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.491293
227010.000000,1.930198,-3.389114,-1.458917,1.209826,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.674200
227020.000000,1.930198,-3.361247,-1.431049,1.208403,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.545318
227030.000000,1.930198,-3.382302,-1.452104,1.208784,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-15.642692
227040.000000,1.930198,-3.191115,-1.260917,1.203633,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.758477
227050.000000,1.930198,-3.172877,-1.242679,1.200240,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.674131
227060.000000,1.930198,-3.208734,-1.278536,1.201682,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.839965
227070.000000,1.930198,-3.228092,-1.297894,1.289344,14,"E06,E09,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.929491
227080.000000,1.930198,-3.072988,-1.142790,1.188650,15,"E06,E09,E10,E11,E23,E31,E36,G01,G03,G10,G25,G26,G28,G31,G32",-14.212158
