Message Type,Interface,Output Rate,Layer
UBX_MON_COMMS,I2C,10,RAM
UBX_MON_COMMS,I2C,10,Flash
UBX_MON_HW3,I2C,10,RAM
UBX_MON_HW3,I2C,10,Flash
UBX_MON_RF,I2C,10,RAM
UBX_MON_RF,I2C,10,Flash
UBX_MON_SPAN,I2C,10,RAM
UBX_MON_SPAN,I2C,10,Flash
UBX_MON_SYS,I2C,10,RAM
UBX_MON_SYS,I2C,10,Flash
UBX_NAV_CLOCK,I2C,10,RAM
UBX_NAV_CLOCK,I2C,10,Flash
UBX_NAV_DOP,I2C,10,RAM
UBX_NAV_DOP,I2C,10,Flash
UBX_NAV_PVT,I2C,10,RAM
UBX_NAV_PVT,I2C,10,Flash
UBX_NAV_SAT,I2C,10,RAM
UBX_NAV_SAT,I2C,10,Flash
UBX_NAV_SIG,I2C,10,RAM
UBX_NAV_SIG,I2C,10,Flash
UBX_NAV_STATUS,I2C,10,RAM
UBX_NAV_STATUS,I2C,10,Flash
UBX_NAV_TIMEGAL,I2C,10,RAM
UBX_NAV_TIMEGAL,I2C,10,Flash
UBX_NAV_TIMEGPS,I2C,10,RAM
UBX_NAV_TIMEGPS,I2C,10,Flash
UBX_NAV_TIMEUTC,I2C,10,RAM
UBX_NAV_TIMEUTC,I2C,10,Flash
UBX_RXM_MEASX,I2C,10,RAM
UBX_RXM_MEASX,I2C,10,Flash
UBX_RXM_RAWX,I2C,10,RAM
UBX_RXM_RAWX,I2C,10,Flash
UBX_RXM_SFRBX,I2C,10,RAM
UBX_RXM_SFRBX,I2C,10,Flash
UBX_MON_COMMS,UART1,10,RAM
UBX_MON_COMMS,UART1,10,Flash
UBX_MON_HW3,UART1,10,RAM
UBX_MON_HW3,UART1,10,Flash
UBX_MON_RF,UART1,10,RAM
UBX_MON_RF,UART1,10,Flash
UBX_MON_SPAN,UART1,10,RAM
UBX_MON_SPAN,UART1,10,Flash
UBX_MON_SYS,UART1,10,RAM
UBX_MON_SYS,UART1,10,Flash
UBX_NAV_CLOCK,UART1,10,RAM
UBX_NAV_CLOCK,UART1,10,Flash
UBX_NAV_DOP,UART1,10,RAM
UBX_NAV_DOP,UART1,10,Flash
UBX_NAV_PVT,UART1,10,RAM
UBX_NAV_PVT,UART1,10,Flash
UBX_NAV_SAT,UART1,10,RAM
UBX_NAV_SAT,UART1,10,Flash
UBX_NAV_SIG,UART1,10,RAM
UBX_NAV_SIG,UART1,10,Flash
UBX_NAV_STATUS,UART1,10,RAM
UBX_NAV_STATUS,UART1,10,Flash
UBX_NAV_TIMEGAL,UART1,10,RAM
UBX_NAV_TIMEGAL,UART1,10,Flash
UBX_NAV_TIMEGPS,UART1,10,RAM
UBX_NAV_TIMEGPS,UART1,10,Flash
UBX_NAV_TIMEUTC,UART1,10,RAM
UBX_NAV_TIMEUTC,UART1,10,Flash
UBX_RXM_MEASX,UART1,10,RAM
UBX_RXM_MEASX,UART1,10,Flash
UBX_RXM_RAWX,UART1,10,RAM
UBX_RXM_RAWX,UART1,10,Flash
UBX_RXM_SFRBX,UART1,10,RAM
UBX_RXM_SFRBX,UART1,10,Flash
UBX_MON_COMMS,USB,10,RAM
UBX_MON_COMMS,USB,10,Flash
UBX_MON_HW3,USB,10,RAM
UBX_MON_HW3,USB,10,Flash
UBX_MON_RF,USB,10,RAM
UBX_MON_RF,USB,10,Flash
UBX_MON_SPAN,USB,10,RAM
UBX_MON_SPAN,USB,10,Flash
UBX_MON_SYS,USB,10,RAM
UBX_MON_SYS,USB,10,Flash
UBX_NAV_CLOCK,USB,10,RAM
UBX_NAV_CLOCK,USB,10,Flash
UBX_NAV_DOP,USB,10,RAM
UBX_NAV_DOP,USB,10,Flash
UBX_NAV_PVT,USB,10,RAM
UBX_NAV_PVT,USB,10,Flash
UBX_NAV_SAT,USB,10,RAM
UBX_NAV_SAT,USB,10,Flash
UBX_NAV_SIG,USB,10,RAM
UBX_NAV_SIG,USB,10,Flash
UBX_NAV_STATUS,USB,10,RAM
UBX_NAV_STATUS,USB,10,Flash
UBX_NAV_TIMEGAL,USB,10,RAM
UBX_NAV_TIMEGAL,USB,10,Flash
UBX_NAV_TIMEGPS,USB,10,RAM
UBX_NAV_TIMEGPS,USB,10,Flash
UBX_NAV_TIMEUTC,USB,10,RAM
UBX_NAV_TIMEUTC,USB,10,Flash
UBX_RXM_MEASX,USB,10,RAM
UBX_RXM_MEASX,USB,10,Flash
UBX_RXM_RAWX,USB,10,RAM
UBX_RXM_RAWX,USB,10,Flash
UBX_RXM_SFRBX,USB,10,RAM
UBX_RXM_SFRBX,USB,10,Flash
