Parameter,Value,Layer,Key ID,Value Type,Action
CFG-BDS-D1D2_NAVDATA,0,RAM,0x20340009,E1,Set
CFG-GAL-USE_OSNMA,false,RAM,0x10350005,L,Set
CFG-GAL-OSNMA_MINTAGLENGTH,80,RAM,0x20350007,U1,Set
CFG-GAL-OSNMA_TIMESYNC,true,RAM,0x10350009,L,Set
CFG-GEOFENCE-CONFLVL,0,RAM,0x20240011,E1,Set
CFG-GEOFENCE-USE_PIO,false,RAM,0x10240012,L,Set
CFG-GEOFENCE-PINPOL,0,RAM,0x20240013,E1,Set
CFG-GEOFENCE-PIN,19,RAM,0x20240014,U1,Set
CFG-GEOFENCE-USE_FENCE1,false,RAM,0x10240020,L,Set
CFG-GEOFENCE-FENCE1_LAT,0,RAM,0x40240021,I4,Set
CFG-GEOFENCE-FENCE1_LON,0,RAM,0x40240022,I4,Set
CFG-GEOFENCE-FENCE1_RAD,0,RAM,0x40240023,U4,Set
CFG-GEOFENCE-USE_FENCE2,false,RAM,0x10240030,L,Set
CFG-GEOFENCE-FENCE2_LAT,0,RAM,0x40240031,I4,Set
CFG-GEOFENCE-FENCE2_LON,0,RAM,0x40240032,I4,Set
CFG-GEOFENCE-FENCE2_RAD,0,RAM,0x40240033,U4,Set
CFG-GEOFENCE-USE_FENCE3,false,RAM,0x10240040,L,Set
CFG-GEOFENCE-FENCE3_LAT,0,RAM,0x40240041,I4,Set
CFG-GEOFENCE-FENCE3_LON,0,RAM,0x40240042,I4,Set
CFG-GEOFENCE-FENCE3_RAD,0,RAM,0x40240043,U4,Set
CFG-GEOFENCE-USE_FENCE4,false,RAM,0x10240050,L,Set
CFG-GEOFENCE-FENCE4_LAT,0,RAM,0x40240051,I4,Set
CFG-GEOFENCE-FENCE4_LON,0,RAM,0x40240052,I4,Set
CFG-GEOFENCE-FENCE4_RAD,0,RAM,0x40240053,U4,Set
CFG-HW-ANT_CFG_VOLTCTRL,true,RAM,0x10a3002e,L,Set
CFG-HW-ANT_CFG_SHORTDET,true,RAM,0x10a3002f,L,Set
CFG-HW-ANT_CFG_SHORTDET_POL,true,RAM,0x10a30030,L,Set
CFG-HW-ANT_CFG_OPENDET,true,RAM,0x10a30031,L,Set
CFG-HW-ANT_CFG_OPENDET_POL,true,RAM,0x10a30032,L,Set
CFG-HW-ANT_CFG_PWRDOWN,true,RAM,0x10a30033,L,Set
CFG-HW-ANT_CFG_PWRDOWN_POL,true,RAM,0x10a30034,L,Set
CFG-HW-ANT_CFG_RECOVER,true,RAM,0x10a30035,L,Set
UNKNOWN_0x20a30036,12,RAM,0x20a30036,U1,Set
UNKNOWN_0x20a30037,13,RAM,0x20a30037,U1,Set
UNKNOWN_0x20a30038,11,RAM,0x20a30038,U1,Set
CFG-HW-ANT_ON_SHORT_US,500,RAM,0x30a3003c,U2,Set
UNKNOWN_0x20a30054,0,RAM,0x20a30054,E1,Set
CFG-HW-RF1_LNA_MODE_LOWGAIN,false,RAM,0x10a3006a,L,Set
CFG-HW-RF2_LNA_MODE_LOWGAIN,false,RAM,0x10a3006b,L,Set
CFG-HW-RF3_LNA_MODE_LOWGAIN,false,RAM,0x10a3006c,L,Set
CFG-I2C-ADDRESS,132,RAM,0x20510001,U1,Set
CFG-I2C-EXTENDEDTIMEOUT,false,RAM,0x10510002,L,Set
CFG-I2C-ENABLED,true,RAM,0x10510003,L,Set
CFG-I2CINPROT-UBX,true,RAM,0x10710001,L,Set
