message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,,0.000000000,2384,18,13,0,0,0,23043210.903230127,121092889.702960551,-2814.763183594,0,3,0,0,0,24,9,15,11,1
RAWX,,0.000000000,2384,18,13,0,0,1,21028440.978761178,110505235.095442533,1279.052734375,0,4,0,0,64500,49,3,1,5,7
RAWX,,0.000000000,2384,18,13,0,0,2,20285841.331524275,106602900.589722723,-1081.124511719,0,16,0,0,64500,40,5,3,7,15
RAWX,,0.000000000,2384,18,13,0,0,3,23024255.617751770,120993319.993609816,-2160.889648438,0,31,0,0,18060,28,8,5,8,15
RAWX,,0.000000000,2384,18,13,0,0,4,22368829.401765667,117548983.382279694,-3052.554687500,0,26,0,0,64500,41,4,2,7,7
RAWX,,0.000000000,2384,18,13,0,0,5,21909690.340923347,115136206.891211927,2343.323242188,0,27,0,0,1880,27,9,6,9,3
RAWX,,0.000000000,2384,18,13,0,0,6,25289749.715647895,132898400.059982404,-2475.546386719,0,28,0,0,15700,23,9,11,9,7
RAWX,,0.000000000,2384,18,13,0,0,7,26403824.246075504,138753043.035219610,1650.377685547,0,7,0,0,64500,37,5,3,7,7
RAWX,,0.000000000,2384,18,13,0,0,8,23428219.925622009,123116087.204801500,2924.230468750,0,9,0,0,64500,50,3,1,4,7
RAWX,,0.000000000,2384,18,13,0,0,9,21028422.917855617,86107916.433968857,996.441711426,0,4,3,0,64500,48,3,1,5,7
RAWX,,0.000000000,2384,18,13,0,0,10,22368815.955674890,91596505.890553892,-2378.380859375,0,26,3,0,64500,33,6,5,8,7
RAWX,,0.000000000,2384,18,13,0,0,11,26403814.216109149,108119195.592609957,1285.564453125,0,7,3,0,21800,31,6,5,8,7
RAWX,,0.000000000,2384,18,13,0,0,12,23428205.699646100,95934674.666985244,2278.475830078,0,9,3,0,64500,42,4,2,6,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,0,23043745.956222389,121095702.047675252,-2817.734863281,0,3,0,0,0,23,9,15,11,1
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,1,21028197.586334985,110503956.211663961,1278.802490234,0,4,0,0,64500,49,3,1,5,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,2,20286047.097860780,106603981.839442313,-1081.462402344,0,16,0,0,64500,40,5,3,7,15
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,3,23024669.163342293,120995480.748113886,-2160.448486328,0,31,0,0,19060,28,8,5,7,15
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,4,22369410.231704727,117552035.932633638,-3052.433349609,0,26,0,0,64500,41,4,2,7,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,5,21909242.196367305,115133863.584818318,2343.510986328,0,27,0,0,2880,28,9,6,8,3
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,6,25290222.789096393,132900876.702101812,-2476.238525391,0,28,0,0,16700,23,9,12,9,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,7,26403510.026705548,138751392.300017297,1650.594970703,0,7,0,0,64500,37,4,2,7,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,8,23427663.323286057,123113162.961551681,2924.366699219,0,9,0,0,64500,50,3,1,5,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,9,21028179.468053110,86106919.900451496,996.289123535,0,4,3,0,64500,48,3,1,5,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,10,22369397.103766318,91598884.542074502,-2378.367187500,0,26,3,0,64500,33,6,4,8,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,11,26403500.021448705,108117909.284659043,1285.804931641,0,7,3,0,22800,31,6,5,8,7
RAWX,2025-09-18T22:53:00+00:00,0.000000000,2384,18,13,0,0,12,23427649.202151056,95932396.033562377,2278.780761719,0,9,3,0,64500,42,4,2,6,7
RAWX,2025-09-18T22:53:01+00:00,0.000000000,2384,18,13,0,0,0,23044279.205560148,121098503.683937982,-2816.774902344,0,3,0,0,0,23,9,15,10,1
RAWX,2025-09-18T22:53:01+00:00,0.000000000,2384,18,13,0,0,1,21027954.422157642,110502677.922991991,1277.807617188,0,4,0,0,64500,49,3,1,5,7
RAWX,2025-09-18T22:53:01+00:00,0.000000000,2384,18,13,0,0,2,20286252.856239982,106605063.702391669,-1081.907470703,0,16,0,0,64500,40,5,3,7,15
