message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-28T15:18:10+00:00,0,0,55090.000000000,-81.079655500,29.227850500,12.173000000,42.604000000,0.000000002,-0.000000021,-0.100000000,0.200000000,10916.500000000,15416.500000000,-81.079655498,29.227850479,12.172900000
HPPOSLLH,2025-09-28T15:18:15+00:00,0,0,55095.000000000,-81.079610400,29.227825200,2.541000000,32.972000000,0.000000012,-0.000000047,-0.100000000,0.200000000,7970.500000000,11162.300000000,-81.079610388,29.227825153,2.540900000
HPPOSLLH,2025-09-28T15:18:20+00:00,0,0,55100.000000000,-81.079599100,29.227818700,0.166000000,30.597000000,0.000000044,-0.000000001,-0.300000000,0.100000000,6260.300000000,8679.300000000,-81.079599056,29.227818699,0.165700000
HPPOSLLH,2025-09-28T15:18:25+00:00,0,0,55105.000000000,-81.079596100,29.227816700,-0.674000000,29.758000000,-0.000000007,0.000000037,0.400000000,-0.300000000,5384.300000000,7445.300000000,-81.079596107,29.227816737,-0.673600000
HPPOSLLH,2025-09-28T15:18:30+00:00,0,0,55110.000000000,-81.079592200,29.227814800,-1.578000000,28.854000000,-0.000000037,0.000000036,0.400000000,-0.300000000,4750.800000000,6541.100000000,-81.079592237,29.227814836,-1.577600000
HPPOSLLH,2025-09-28T15:18:35+00:00,0,0,55115.000000000,-81.079590200,29.227813600,-2.111000000,28.321000000,-0.000000029,-0.000000011,0.200000000,-0.500000000,4294.800000000,5842.200000000,-81.079590229,29.227813589,-2.110800000
HPPOSLLH,2025-09-28T15:18:40+00:00,0,0,55120.000000000,-81.079590400,29.227813000,-2.245000000,28.186000000,-0.000000025,-0.000000010,-0.300000000,0.100000000,4009.400000000,5421.700000000,-81.079590425,29.227812990,-2.245300000
HPPOSLLH,2025-09-28T15:18:45+00:00,0,0,55125.000000000,-81.079588200,29.227810200,-2.824000000,27.607000000,-0.000000041,-0.000000012,-0.300000000,0.000000000,3810.600000000,5123.000000000,-81.079588241,29.227810188,-2.824300000
HPPOSLLH,2025-09-28T15:18:50+00:00,0,0,55130.000000000,-81.079585000,29.227807100,-3.563000000,26.868000000,0.000000048,0.000000015,0.000000000,0.300000000,3647.600000000,4865.800000000,-81.079584952,29.227807115,-3.563000000
HPPOSLLH,2025-09-28T15:18:55+00:00,0,0,55135.000000000,-81.079582100,29.227804100,-4.130000000,26.301000000,-0.000000024,0.000000037,-0.300000000,0.000000000,3506.900000000,4651.000000000,-81.079582124,29.227804137,-4.130300000
HPPOSLLH,2025-09-28T15:19:00+00:00,0,0,55140.000000000,-81.079580200,29.227800200,-4.555000000,25.877000000,-0.000000006,0.000000047,0.200000000,-0.500000000,3436.200000000,4561.100000000,-81.079580206,29.227800247,-4.554800000
HPPOSLLH,2025-09-28T15:19:05+00:00,0,0,55145.000000000,-81.079579500,29.227798700,-4.717000000,25.715000000,-0.000000012,0.000000018,0.400000000,-0.300000000,3400.700000000,4517.900000000,-81.079579512,29.227798718,-4.716600000
HPPOSLLH,2025-09-28T15:19:10+00:00,0,0,55150.000000000,-81.079577300,29.227796200,-5.228000000,25.204000000,-0.000000011,-0.000000021,0.300000000,-0.400000000,3385.900000000,4503.700000000,-81.079577311,29.227796179,-5.227700000
HPPOSLLH,2025-09-28T15:19:15+00:00,0,0,55155.000000000,-81.079577100,29.227795400,-5.328000000,25.104000000,0.000000035,0.000000021,0.300000000,-0.300000000,3372.400000000,4489.400000000,-81.079577065,29.227795421,-5.327700000
HPPOSLLH,2025-09-28T15:19:20+00:00,0,0,55160.000000000,-81.079576100,29.227793700,-5.510000000,24.922000000,0.000000024,0.000000005,0.400000000,-0.300000000,3367.900000000,4489.700000000,-81.079576076,29.227793705,-5.509600000
HPPOSLLH,2025-09-28T15:19:25+00:00,0,0,55165.000000000,-81.079575500,29.227792800,-5.613000000,24.818000000,0.000000043,0.000000048,-0.300000000,0.000000000,3349.900000000,4463.400000000,-81.079575457,29.227792848,-5.613300000
HPPOSLLH,2025-09-28T15:19:30+00:00,0,0,55170.000000000,-81.079574800,29.227792000,-5.707000000,24.725000000,0.000000040,-0.000000034,0.300000000,-0.300000000,3310.600000000,4398.900000000,-81.079574760,29.227791966,-5.706700000
HPPOSLLH,2025-09-28T15:19:35+00:00,0,0,55175.000000000,-81.079574300,29.227790700,-5.737000000,24.695000000,-0.000000002,0.000000038,0.300000000,-0.400000000,3294.500000000,4372.600000000,-81.079574302,29.227790738,-5.736700000
HPPOSLLH,2025-09-28T15:19:40+00:00,0,0,55180.000000000,-81.079574700,29.227790600,-5.659000000,24.773000000,0.000000009,-0.000000031,0.400000000,-0.300000000,3286.400000000,4360.200000000,-81.079574691,29.227790569,-5.658600000
HPPOSLLH,2025-09-28T15:19:45+00:00,0,0,55185.000000000,-81.079575300,29.227790300,-5.616000000,24.815000000,-0.000000009,0.000000040,-0.400000000,-0.100000000,3269.900000000,4344.000000000,-81.079575309,29.227790340,-5.616400000
HPPOSLLH,2025-09-28T15:19:50+00:00,0,0,55190.000000000,-81.079576400,29.227791000,-5.451000000,24.980000000,0.000000020,0.000000016,0.100000000,0.400000000,3220.300000000,4288.500000000,-81.079576380,29.227791016,-5.450900000
HPPOSLLH,2025-09-28T15:19:55+00:00,0,0,55195.000000000,-81.079577400,29.227792400,-5.213000000,25.218000000,0.000000026,-0.000000017,0.100000000,0.400000000,3161.700000000,4211.200000000,-81.079577374,29.227792383,-5.212900000
HPPOSLLH,2025-09-28T15:20:00+00:00,0,0,55200.000000000,-81.079577600,29.227792500,-5.127000000,25.305000000,0.000000016,0.000000012,0.500000000,-0.200000000,3096.100000000,4136.500000000,-81.079577584,29.227792512,-5.126500000
HPPOSLLH,2025-09-28T15:20:05+00:00,0,0,55205.000000000,-81.079577000,29.227790900,-5.185000000,25.246000000,-0.000000034,0.000000037,-0.300000000,0.000000000,3067.500000000,4064.700000000,-81.079577034,29.227790937,-5.185300000
HPPOSLLH,2025-09-28T15:20:10+00:00,0,0,55210.000000000,-81.079576500,29.227789500,-5.246000000,25.186000000,-0.000000026,0.000000029,0.300000000,-0.300000000,3069.200000000,4039.800000000,-81.079576526,29.227789529,-5.245700000
HPPOSLLH,2025-09-28T15:20:15+00:00,0,0,55215.000000000,-81.079575300,29.227788000,-5.434000000,24.997000000,0.000000023,0.000000034,0.000000000,0.400000000,3060.800000000,4012.700000000,-81.079575277,29.227788034,-5.434000000
HPPOSLLH,2025-09-28T15:20:20+00:00,0,0,55220.000000000,-81.079574600,29.227786900,-5.477000000,24.954000000,-0.000000046,-0.000000039,-0.400000000,-0.100000000,3058.000000000,4009.100000000,-81.079574646,29.227786861,-5.477400000
HPPOSLLH,2025-09-28T15:20:25+00:00,0,0,55225.000000000,-81.079573600,29.227785600,-5.691000000,24.741000000,-0.000000015,-0.000000009,0.400000000,-0.300000000,3051.200000000,3975.900000000,-81.079573615,29.227785591,-5.690600000
