message_type,timestamp,iTOW,year,month,day,hour,min,sec,nano,valid,tAcc,fixType,flags,numSV,lon,lat,height,hMSL,hAcc,vAcc
PVT,2025-09-28T15:18:10+00:00,55090.000000000,2025,9,28,15,17,0,-347680,0,1047,3,0,17,-0.000008108,0.000002923,12.173000000,42.604000000,10.917000000,15.416000000
PVT,2025-09-28T15:18:15+00:00,55095.000000000,2025,9,28,15,17,0,-348448,0,1028,3,0,17,-0.000008108,0.000002923,2.541000000,32.972000000,7.970000000,11.162000000
PVT,2025-09-28T15:18:20+00:00,55100.000000000,2025,9,28,15,18,0,-349241,0,1022,3,0,17,-0.000008108,0.000002923,0.166000000,30.597000000,6.260000000,8.679000000
PVT,2025-09-28T15:18:25+00:00,55105.000000000,2025,9,28,15,18,0,-350043,0,1019,3,0,17,-0.000008108,0.000002923,-0.674000000,29.758000000,5.384000000,7.445000000
PVT,2025-09-28T15:18:30+00:00,55110.000000000,2025,9,28,15,18,0,-350849,0,1017,3,0,17,-0.000008108,0.000002923,-1.578000000,28.854000000,4.751000000,6.541000000
PVT,2025-09-28T15:18:35+00:00,55115.000000000,2025,9,28,15,18,0,-351658,0,1015,3,0,17,-0.000008108,0.000002923,-2.111000000,28.321000000,4.295000000,5.842000000
PVT,2025-09-28T15:18:40+00:00,55120.000000000,2025,9,28,15,18,0,-352474,0,1014,3,0,17,-0.000008108,0.000002923,-2.245000000,28.186000000,4.009000000,5.422000000
PVT,2025-09-28T15:18:45+00:00,55125.000000000,2025,9,28,15,18,0,-353293,0,1014,3,0,17,-0.000008108,0.000002923,-2.824000000,27.607000000,3.811000000,5.123000000
PVT,2025-09-28T15:18:50+00:00,55130.000000000,2025,9,28,15,18,0,-354117,0,1013,3,0,17,-0.000008108,0.000002923,-3.563000000,26.868000000,3.648000000,4.866000000
PVT,2025-09-28T15:18:55+00:00,55135.000000000,2025,9,28,15,18,0,-354946,0,1012,3,0,17,-0.000008108,0.000002923,-4.130000000,26.301000000,3.507000000,4.651000000
PVT,2025-09-28T15:19:00+00:00,55140.000000000,2025,9,28,15,18,0,-355782,0,1012,3,0,16,-0.000008108,0.000002923,-4.555000000,25.877000000,3.436000000,4.561000000
PVT,2025-09-28T15:19:05+00:00,55145.000000000,2025,9,28,15,18,0,-356624,0,1012,3,0,17,-0.000008108,0.000002923,-4.717000000,25.715000000,3.401000000,4.518000000
PVT,2025-09-28T15:19:10+00:00,55150.000000000,2025,9,28,15,18,0,-357471,0,1012,3,0,16,-0.000008108,0.000002923,-5.228000000,25.204000000,3.386000000,4.504000000
PVT,2025-09-28T15:19:15+00:00,55155.000000000,2025,9,28,15,18,0,-358324,0,1012,3,0,17,-0.000008108,0.000002923,-5.328000000,25.104000000,3.372000000,4.489000000
PVT,2025-09-28T15:19:20+00:00,55160.000000000,2025,9,28,15,19,0,-359181,0,1012,3,0,16,-0.000008108,0.000002923,-5.510000000,24.922000000,3.368000000,4.490000000
PVT,2025-09-28T15:19:25+00:00,55165.000000000,2025,9,28,15,19,0,-360043,0,1012,3,0,17,-0.000008108,0.000002923,-5.613000000,24.818000000,3.350000000,4.463000000
PVT,2025-09-28T15:19:30+00:00,55170.000000000,2025,9,28,15,19,0,-360908,0,1012,3,0,17,-0.000008108,0.000002923,-5.707000000,24.725000000,3.311000000,4.399000000
PVT,2025-09-28T15:19:35+00:00,55175.000000000,2025,9,28,15,19,0,-361778,0,1012,3,0,16,-0.000008108,0.000002923,-5.737000000,24.695000000,3.294000000,4.373000000
PVT,2025-09-28T15:19:40+00:00,55180.000000000,2025,9,28,15,19,0,-362653,0,1012,3,0,16,-0.000008108,0.000002923,-5.659000000,24.773000000,3.286000000,4.360000000
PVT,2025-09-28T15:19:45+00:00,55185.000000000,2025,9,28,15,19,0,-363531,0,1012,3,0,18,-0.000008108,0.000002923,-5.616000000,24.815000000,3.270000000,4.344000000
PVT,2025-09-28T15:19:50+00:00,55190.000000000,2025,9,28,15,19,0,-364415,0,1011,3,0,18,-0.000008108,0.000002923,-5.451000000,24.980000000,3.220000000,4.288000000
PVT,2025-09-28T15:19:55+00:00,55195.000000000,2025,9,28,15,19,0,-365302,0,1011,3,0,18,-0.000008108,0.000002923,-5.213000000,25.218000000,3.162000000,4.211000000
PVT,2025-09-28T15:20:00+00:00,55200.000000000,2025,9,28,15,19,0,-366193,0,1011,3,0,18,-0.000008108,0.000002923,-5.127000000,25.305000000,3.096000000,4.137000000
PVT,2025-09-28T15:20:05+00:00,55205.000000000,2025,9,28,15,19,0,-367087,0,1011,3,0,18,-0.000008108,0.000002923,-5.185000000,25.246000000,3.067000000,4.065000000
PVT,2025-09-28T15:20:10+00:00,55210.000000000,2025,9,28,15,19,0,-367985,0,1011,3,0,18,-0.000008108,0.000002923,-5.246000000,25.186000000,3.069000000,4.040000000
PVT,2025-09-28T15:20:15+00:00,55215.000000000,2025,9,28,15,19,0,-368885,0,1011,3,0,17,-0.000008108,0.000002923,-5.434000000,24.997000000,3.061000000,4.013000000
PVT,2025-09-28T15:20:20+00:00,55220.000000000,2025,9,28,15,20,0,-369788,0,1011,3,0,17,-0.000008108,0.000002923,-5.477000000,24.954000000,3.058000000,4.009000000
PVT,2025-09-28T15:20:25+00:00,55225.000000000,2025,9,28,15,20,0,-370693,0,1011,3,0,18,-0.000008108,0.000002923,-5.691000000,24.741000000,3.051000000,3.976000000
PVT,2025-09-28T15:20:30+00:00,55230.000000000,2025,9,28,15,20,0,-371601,0,1010,3,0,17,-0.000008108,0.000002923,-5.927000000,24.505000000,3.032000000,3.936000000
PVT,2025-09-28T15:20:35+00:00,55235.000000000,2025,9,28,15,20,0,-372512,0,1010,3,0,18,-0.000008108,0.000002923,-6.040000000,24.391000000,3.003000000,3.897000000
PVT,2025-09-28T15:20:40+00:00,55240.000000000,2025,9,28,15,20,0,-373426,0,1010,3,0,17,-0.000008108,0.000002923,-6.097000000,24.335000000,2.972000000,3.867000000
PVT,2025-09-28T15:20:45+00:00,55245.000000000,2025,9,28,15,20,0,-374343,0,1010,3,0,18,-0.000008108,0.000002923,-6.041000000,24.390000000,2.951000000,3.846000000
PVT,2025-09-28T15:20:50+00:00,55250.000000000,2025,9,28,15,20,0,-375262,0,1010,3,0,17,-0.000008108,0.000002923,-5.992000000,24.440000000,2.929000000,3.813000000
