nPorts,mem,alloc,outputPort,protIds,portId,txPending,txBytes,txUsage,txPeakUsage,rxPending,rxBytes,rxUsage,rxPeakUsage,overrunErrs,msgs,skipped
4,True,True,0,100991232,256,30036,645036,99,102,0,3994,0,0,0,9.5e-322,866
4,True,True,0,100991232,512,0,5732147,0,0,0,4905880,4,37,0,8.397e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,4894551,8,8,0,5178141,3,5,0,7.58e-320,0
4,True,True,0,100991232,256,30948,656496,100,102,0,3994,0,0,0,9.5e-322,866
4,True,True,0,100991232,512,0,5750979,0,0,0,4927046,4,37,0,8.4337e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,4915703,8,8,9,5196610,2,5,0,7.6066e-320,0
4,True,True,0,100991232,256,31116,660316,100,102,0,3994,0,0,0,9.5e-322,866
4,True,True,0,100991232,512,0,5757091,0,0,0,4934765,4,37,0,8.4485e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,4923387,8,8,0,5203085,2,5,0,7.616e-320,0
4,True,True,0,100991232,256,31244,694670,99,102,0,4058,0,0,0,9.7e-322,866
4,True,True,0,100991232,512,0,5813063,0,0,0,4999474,4,37,0,8.564e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,4988079,8,8,0,5259057,4,5,0,7.697e-320,0
4,True,True,0,100991232,256,31236,717678,100,102,0,4058,0,0,0,9.7e-322,866
4,True,True,0,100991232,512,0,5850799,0,0,0,5043003,4,37,0,8.6427e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,5031579,8,8,0,5296793,3,5,0,7.7514e-320,0
4,True,True,0,100991232,256,30244,736792,99,102,0,4058,0,0,0,9.7e-322,866
4,True,True,0,100991232,512,0,5882283,0,0,0,5078864,4,37,0,8.707e-320,106
4,True,True,0,100991232,768,0,0,0,14,0,0,0,0,0,0.0,0
4,True,True,0,100991232,257,0,5067519,8,8,0,5328277,3,5,0,7.798e-320,0
