iTOW,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,invalidEcef,pAcc,ecefX_full_m,ecefY_full_m,ecefZ_full_m,timestamp_utc
225521000,86378077,-550316487,309596131,19,-40,28,False,97945,863780.7719,-5503164.874,3095961.3128,
225522000,86378078,-550316488,309596126,9,-1,-28,False,97978,863780.7809,-5503164.8801,3095961.2572,
225523000,86378080,-550316487,309596121,25,-26,-27,False,98023,863780.8025,-5503164.8726,3095961.2073,
225524000,86378081,-550316486,309596119,27,-3,-41,False,98066,863780.8127,-5503164.860300001,3095961.1859,
225525000,86378084,-550316482,309596115,7,30,4,False,98146,863780.8407,-5503164.817000001,3095961.1503999997,
225526000,86378087,-550316476,309596111,26,-41,-23,False,98213,863780.8726,-5503164.764099999,3095961.1077,
225527000,86378088,-550316477,309596109,-50,43,0,False,98205,863780.875,-5503164.765699999,3095961.09,
225528000,86378091,-550316472,309596104,-49,-23,31,False,98189,863780.9051,-5503164.7223,3095961.0431,
225532000,86378102,-550316455,309596084,37,-38,-16,False,97975,863781.0237,-5503164.5538,3095960.8384,
225533000,86378104,-550316453,309596080,22,0,26,False,97896,863781.0422,-5503164.53,3095960.8025999996,
225534000,86378105,-550316452,309596077,46,19,-13,False,97815,863781.0546,-5503164.5181,3095960.7687,
225535000,86378108,-550316449,309596072,13,35,-1,False,97702,863781.0813,-5503164.486500001,3095960.7199000004,
225537000,86378111,-550316444,309596068,-46,-28,10,False,97477,863781.1054,-5503164.4428,3095960.6810000003,
225538000,86378111,-550316444,309596069,-22,-38,-43,False,97396,863781.1078,-5503164.4438000005,3095960.6857,
225540000,86378115,-550316440,309596064,38,5,15,False,97191,863781.1538,-5503164.3995,3095960.6415,
225541000,86378117,-550316438,309596061,-49,-16,6,False,97082,863781.1651,-5503164.3816,3095960.6106,
225542000,86378118,-550316435,309596059,33,23,-8,False,96960,863781.1833,-5503164.3477,3095960.5892,
225543000,86378120,-550316431,309596056,21,6,-17,False,96859,863781.2021,-5503164.3094,3095960.5583,
225544000,86378121,-550316428,309596053,40,41,37,False,96764,863781.2139999999,-5503164.275900001,3095960.5336999996,
225545000,86378122,-550316426,309596050,27,42,10,False,96669,863781.2226999999,-5503164.255799999,3095960.501,
225547000,86378127,-550316419,309596042,-19,-49,-30,False,96505,863781.2681,-5503164.1949000005,3095960.417,
225549000,86378132,-550316406,309596035,21,18,1,False,96345,863781.3221,-5503164.0582,3095960.3501,
225550000,86378134,-550316401,309596032,-23,20,38,False,96263,863781.3376999999,-5503164.007999999,3095960.3238,
