iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,invalidLlh,lon_full_deg,lat_full_deg,height_full_m,hMSL_full_m,timestamp_utc
225521000,-810795939,292278604,-9115,21316,32,10,-3,1,69700,68812,False,-81.07959386799999,29.227860409999998,-9.1153,21.3161,
225522000,-810795938,292278599,-9136,21295,14,39,-1,4,69734,68824,False,-81.079593786,29.227859939,-9.136099999999999,21.2954,
225523000,-810795936,292278596,-9164,21267,45,-36,1,5,69780,68843,False,-81.079593555,29.227859564,-9.1639,21.2675,
225524000,-810795934,292278594,-9184,21248,-31,42,4,-2,69831,68852,False,-81.07959343099999,29.227859442,-9.183599999999998,21.2478,
225526000,-810795927,292278592,-9297,21135,31,4,4,-2,69954,68937,False,-81.079592669,29.227859203999998,-9.2966,21.134800000000002,
225527000,-810795926,292278591,-9304,21128,-48,-44,5,-1,69961,68918,False,-81.079592648,29.227859056,-9.3035,21.1279,
225532000,-810795908,292278579,-9589,20842,1,-4,1,5,69908,68644,False,-81.07959079899999,29.227857896,-9.5889,20.842499999999998,
225534000,-810795904,292278575,-9650,20782,-27,-18,4,-2,69831,68493,False,-81.079590427,29.227857481999997,-9.6496,20.7818,
225535000,-810795901,292278572,-9697,20734,-6,16,-1,3,69755,68410,False,-81.07959010599998,29.227857216,-9.697099999999999,20.7343,
225537000,-810795898,292278571,-9750,20681,9,-16,-5,-1,69605,68242,False,-81.07958979099999,29.227857083999996,-9.7505,20.6809,
225538000,-810795898,292278571,-9747,20684,31,15,0,4,69530,68203,False,-81.079589769,29.227857115,-9.747,20.6844,
225540000,-810795892,292278569,-9801,20631,-31,28,5,-1,69348,68095,False,-81.079589231,29.227856927999998,-9.8005,20.6309,
225541000,-810795891,292278568,-9829,20602,13,-45,-5,-1,69251,68038,False,-81.07958908699999,29.227856754999998,-9.829500000000001,20.6019,
225542000,-810795888,292278567,-9867,20565,-48,22,3,-3,69137,67980,False,-81.079588848,29.227856722,-9.866700000000002,20.564700000000002,
225543000,-810795886,292278566,-9912,20519,4,32,-3,1,69060,67915,False,-81.079588596,29.227856631999998,-9.9123,20.519099999999998,
225544000,-810795884,292278566,-9952,20480,-22,-23,5,-1,68988,67852,False,-81.07958842199999,29.227856577,-9.9515,20.4799,
225545000,-810795883,292278564,-9984,20448,-1,1,3,-3,68900,67807,False,-81.079588301,29.227856401,-9.9837,20.4477,
225547000,-810795877,292278560,-10071,20360,-43,-27,0,4,68765,67710,False,-81.07958774299999,29.227855973,-10.071,20.3604,
225549000,-810795870,292278560,-10214,20217,24,4,-3,1,68666,67581,False,-81.07958697599999,29.227856004,-10.2143,20.2171,
225550000,-810795867,292278560,-10268,20163,-38,5,-3,1,68614,67519,False,-81.07958673799999,29.227856005,-10.2683,20.1631,
