iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
225524000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225524000,14,0,10,47,30,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,15,23,27,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,18,24,77,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,23,46,57,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,24,24,56,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,27,42,12,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,0,29,0,5,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225524000,14,0,32,34,29,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,2,7,29,45,3585,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,2,13,11,23,3585,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225524000,14,2,19,0,26,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225524000,14,2,26,33,76,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225524000,14,2,33,46,49,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225527000,14,0,10,47,30,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,15,20,27,3585,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,18,25,77,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,23,46,57,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,24,23,56,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,27,42,12,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,0,29,0,5,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225527000,14,0,32,35,29,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,2,7,28,45,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,2,13,12,23,3585,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225527000,14,2,19,0,26,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225527000,14,2,26,33,76,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225527000,14,2,33,46,49,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225534000,14,0,10,47,30,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,15,0,27,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225534000,14,0,18,27,77,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,23,46,57,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,24,27,56,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,27,42,12,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,0,29,0,5,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225534000,14,0,32,35,29,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,2,7,28,45,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,2,13,12,23,3585,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225534000,14,2,19,0,26,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225534000,14,2,26,32,76,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225534000,14,2,33,46,49,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225535000,14,0,10,47,30,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,15,0,27,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225535000,14,0,18,27,77,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,23,46,57,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,24,27,56,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,27,43,12,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,0,29,0,5,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225535000,14,0,32,36,29,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,2,7,28,45,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,2,13,11,23,3585,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225535000,14,2,19,0,26,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225535000,14,2,26,33,76,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225535000,14,2,33,46,49,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225537000,14,0,10,47,30,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,15,0,27,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225537000,14,0,18,27,77,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,23,46,57,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,24,27,56,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,27,43,12,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,0,29,0,5,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225537000,14,0,32,36,29,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,2,7,28,45,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,2,13,9,23,3585,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
225537000,14,2,19,0,26,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
225537000,14,2,26,32,76,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225537000,14,2,33,46,49,3585,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
225540000,14,0,5,0,2,3585,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
