iTOW,numSigs,gnssId,svId,freqId,prRes,cno,qualityInd,corrSource,ionoModel,health,prSmoothed,prUsed,crUsed,doUsed,prCorrUsed,crCorrUsed,doCorrUsed,authStatus,sigId
225527000,28,0,5,0,7168,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225527000,28,0,5,0,7168,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225527000,28,0,10,0,7168,47,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,10,0,7168,43,7,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,0,15,0,7168,20,4,0,0,0,True,False,True,False,True,False,True,False,0
225527000,28,0,15,0,7168,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225527000,28,0,18,0,7168,25,4,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,18,0,7168,37,7,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,0,23,0,7168,46,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,23,0,7168,47,7,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,0,24,0,7168,23,4,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,24,0,7168,26,4,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,0,27,0,7168,42,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,27,0,7168,39,7,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,0,29,0,7168,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225527000,28,0,29,0,7168,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225527000,28,0,32,0,7168,35,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,0,32,0,7168,31,7,0,0,0,True,False,False,True,True,False,False,True,7
225527000,28,2,7,0,7168,28,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,2,7,0,7168,25,7,0,1,0,True,False,True,False,True,True,True,True,4
225527000,28,2,13,0,7168,12,3,0,0,0,True,False,True,False,True,False,True,False,0
225527000,28,2,13,0,7168,22,4,0,0,0,True,False,True,False,True,False,True,False,4
225527000,28,2,19,0,7168,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225527000,28,2,19,0,7168,0,1,0,0,0,True,False,False,True,True,False,False,True,4
225527000,28,2,26,0,7168,33,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,2,26,0,7168,26,7,0,1,0,True,False,True,False,True,True,True,True,4
225527000,28,2,33,0,7168,46,7,0,1,0,True,False,True,False,True,True,True,True,0
225527000,28,2,33,0,7168,47,7,0,1,0,True,False,True,False,True,True,True,True,4
225549000,27,0,5,0,6912,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225549000,27,0,5,0,6912,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225549000,27,0,10,0,6912,46,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,10,0,6912,42,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,0,15,0,6912,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225549000,27,0,15,0,6912,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225549000,27,0,18,0,6912,25,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,18,0,6912,36,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,0,23,0,6912,45,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,23,0,6912,47,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,0,24,0,6912,26,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,24,0,6912,27,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,0,27,0,6912,43,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,27,0,6912,41,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,0,29,0,6912,0,1,0,0,0,False,False,False,False,False,False,False,False,7
225549000,27,0,32,0,6912,35,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,0,32,0,6912,31,7,0,0,0,True,False,False,True,True,False,False,True,7
225549000,27,2,7,0,6912,29,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,2,7,0,6912,26,7,0,1,0,True,False,True,False,True,True,True,True,4
225549000,27,2,13,0,6912,18,3,0,0,0,True,False,True,False,True,False,True,False,0
225549000,27,2,13,0,6912,24,4,0,0,0,True,False,True,False,True,False,True,False,4
225549000,27,2,19,0,6912,0,1,0,0,0,True,False,True,False,True,False,True,False,0
225549000,27,2,19,0,6912,0,1,0,0,0,True,False,False,True,True,False,False,True,4
225549000,27,2,26,0,6912,33,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,2,26,0,6912,26,4,0,1,0,True,False,True,False,True,True,True,True,4
225549000,27,2,33,0,6912,45,7,0,1,0,True,False,True,False,True,True,True,True,0
225549000,27,2,33,0,6912,48,7,0,1,0,True,False,True,False,True,True,True,True,4
