iTOW,tAcc,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,invalidLlh,lon_full_deg,lat_full_deg,height_full_m,hMSL_full_m,timestamp_utc,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,pAcc,invalidEcef,ecefX_full_m,ecefY_full_m,ecefZ_full_m,clkB,clkD,fAcc
225521000,,-810795939.0,292278604.0,-9115.0,21316.0,32.0,10.0,-3.0,1.0,69700.0,68812.0,False,-81.07959386799999,29.227860409999998,-9.1153,21.3161,,,,,,,,,,,,,,,
225522000,,-810795938.0,292278599.0,-9136.0,21295.0,14.0,39.0,-1.0,4.0,69734.0,68824.0,False,-81.079593786,29.227859939,-9.136099999999999,21.2954,,,,,,,,,,,,,,,
225524000,,-810795934.0,292278594.0,-9184.0,21248.0,-31.0,42.0,4.0,-2.0,69831.0,68852.0,False,-81.07959343099999,29.227859442,-9.183599999999998,21.2478,,,,,,,,,,,,,,,
225533000,,,,,,,,,,,,,,,,,,86378104.0,-550316453.0,309596080.0,22.0,0.0,26.0,97896.0,False,863781.0422,-5503164.53,3095960.8025999996,,,
225535000,,-810795901.0,292278572.0,-9697.0,20734.0,-6.0,16.0,-1.0,3.0,69755.0,68410.0,False,-81.07959010599998,29.227857216,-9.697099999999999,20.7343,,,,,,,,,,,,,,,
225535000,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82574.0,575.0,915.0
225537000,,-810795898.0,292278571.0,-9750.0,20681.0,9.0,-16.0,-5.0,-1.0,69605.0,68242.0,False,-81.07958979099999,29.227857083999996,-9.7505,20.6809,,,,,,,,,,,,,,,
225540000,,-810795892.0,292278569.0,-9801.0,20631.0,-31.0,28.0,5.0,-1.0,69348.0,68095.0,False,-81.079589231,29.227856927999998,-9.8005,20.6309,,,,,,,,,,,,,,,
225542000,,-810795888.0,292278567.0,-9867.0,20565.0,-48.0,22.0,3.0,-3.0,69137.0,67980.0,False,-81.079588848,29.227856722,-9.866700000000002,20.564700000000002,,,,,,,,,,,,,,,
225543000,,-810795886.0,292278566.0,-9912.0,20519.0,4.0,32.0,-3.0,1.0,69060.0,67915.0,False,-81.079588596,29.227856631999998,-9.9123,20.519099999999998,,,,,,,,,,,,,,,
225544000,,-810795884.0,292278566.0,-9952.0,20480.0,-22.0,-23.0,5.0,-1.0,68988.0,67852.0,False,-81.07958842199999,29.227856577,-9.9515,20.4799,,,,,,,,,,,,,,,
225545000,,-810795883.0,292278564.0,-9984.0,20448.0,-1.0,1.0,3.0,-3.0,68900.0,67807.0,False,-81.079588301,29.227856401,-9.9837,20.4477,,,,,,,,,,,,,,,
225547000,,-810795877.0,292278560.0,-10071.0,20360.0,-43.0,-27.0,0.0,4.0,68765.0,67710.0,False,-81.07958774299999,29.227855973,-10.071,20.3604,,,,,,,,,,,,,,,
225549000,,-810795870.0,292278560.0,-10214.0,20217.0,24.0,4.0,-3.0,1.0,68666.0,67581.0,False,-81.07958697599999,29.227856004,-10.2143,20.2171,,,,,,,,,,,,,,,
