rcvTow,week,leapS,numMeas,leapSec,clkReset,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,prValid,cpValid,halfCyc,subHalfCyc
225520.994,2386,18,19,True,False,21427921.17844698,112604492.81072342,1154.3583984375,0,10,0,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,20712869.428986613,108846863.42633612,-3761.81494140625,0,15,0,0,0,25,9,0,15,True,True,True,False
225520.994,2386,18,19,True,False,18525802.078790046,97353746.11813417,-1709.8720703125,0,18,0,0,0,25,10,0,15,False,False,False,True
225520.994,2386,18,19,True,False,19036910.186603814,100039658.97947556,-67.620849609375,0,23,0,0,64500,46,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,22654976.793997575,119052652.90711448,-999.9267578125,0,27,0,0,64500,41,4,0,2,True,True,True,True
225520.994,2386,18,19,True,False,23028663.120322295,121016358.86447373,-2851.130859375,2,7,0,0,64500,28,6,0,6,False,False,False,False
225520.994,2386,18,19,True,False,21229892.162880484,111563802.35980915,1157.649658203125,0,32,0,0,64500,35,5,0,4,False,False,False,False
225520.994,2386,18,19,True,False,22650413.985963695,119028709.46262039,943.183349609375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,21516378.645095427,113069343.22956043,-1587.513671875,2,26,0,0,64500,32,6,0,5,False,False,False,False
225520.994,2386,18,19,True,False,21427912.701619808,84087736.88655835,862.0320434570312,0,10,7,0,64500,44,3,0,1,False,True,True,True
225520.994,2386,18,19,True,False,18525782.440524403,72699124.97912687,-1275.4307861328125,0,18,7,0,64500,37,5,0,3,False,False,False,False
225520.994,2386,18,19,True,False,19036903.92762951,74704897.58145916,-50.329593658447266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,18864022.668919962,74026476.17906897,-839.8201293945312,0,24,7,0,0,25,9,0,15,False,False,False,True
225520.994,2386,18,19,True,False,22654972.186093077,88902965.57648703,-746.9873657226562,0,27,7,0,64500,38,4,0,3,True,True,True,True
225520.994,2386,18,19,True,False,23028646.953393567,90369361.6138324,-2128.989990234375,2,7,4,0,64500,25,7,0,10,False,False,False,False
225520.994,2386,18,19,True,False,22650403.34859016,88885048.81539764,704.4727172851562,2,33,4,0,64500,47,3,0,1,True,False,True,True
225520.994,2386,18,19,True,False,21229888.06591836,83310639.49143654,864.5613403320312,0,32,7,0,15860,31,6,0,6,False,False,False,False
225520.994,2386,18,19,True,False,24755826.883598763,97147181.42971902,-2638.163818359375,2,13,4,0,0,21,10,0,15,True,False,True,True
225520.994,2386,18,19,True,False,21516374.50527557,84434857.0531472,-1185.9373779296875,2,26,4,0,64500,26,6,0,9,False,False,False,False
225521.994,2386,18,20,True,False,21427701.503239926,112603338.56951392,1154.4453125,0,10,0,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,20713584.068730917,108850618.46808633,-3758.863037109375,0,15,0,0,0,24,9,0,15,True,True,True,False
225521.994,2386,18,20,True,False,18526124.17909714,97355438.82279871,-1705.355712890625,0,18,0,0,0,25,10,0,15,False,False,False,True
225521.994,2386,18,20,True,False,19036922.90013445,100039726.58707309,-67.4560546875,0,23,0,0,64500,46,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,18864234.72410554,99132222.24462722,-1126.099365234375,0,24,0,0,0,25,9,0,15,False,True,True,False
225521.994,2386,18,20,True,False,22655167.23464545,119053653.11209728,-1000.3075561523438,0,27,0,0,64500,41,4,0,2,True,True,True,True
225521.994,2386,18,20,True,False,23029204.803699292,121019209.57677469,-2851.058349609375,2,7,0,0,64500,28,6,0,7,False,False,False,False
225521.994,2386,18,20,True,False,21229671.790851332,111562645.04294927,1157.97119140625,0,32,0,0,64500,35,5,0,4,False,False,False,False
225521.994,2386,18,20,True,False,22650234.58516117,119027766.33086106,943.103515625,2,33,0,0,64500,46,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,21516681.21707325,113070931.05109905,-1587.967041015625,2,26,0,0,64500,32,6,0,5,False,False,False,False
225521.994,2386,18,20,True,False,21427692.995560765,84086874.94816038,862.0984497070312,0,10,7,0,64500,44,3,0,1,False,True,True,True
225521.994,2386,18,20,True,False,18526107.644317817,72700400.73259345,-1275.7305908203125,0,18,7,0,64500,37,4,0,3,True,True,True,True
225521.994,2386,18,20,True,False,19036916.71668469,74704948.07398927,-50.427249908447266,0,23,7,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,18864236.446162824,74027315.23503408,-839.7273559570312,0,24,7,0,0,25,9,0,15,False,False,False,True
225521.994,2386,18,20,True,False,22655162.449307136,88903712.46957508,-746.8225708007812,0,27,7,0,64500,38,4,0,2,True,True,True,True
225521.994,2386,18,20,True,False,23029189.867290117,90371490.38364697,-2128.859375,2,7,4,0,64500,25,7,0,10,False,False,False,False
225521.994,2386,18,20,True,False,22650223.91009517,88884344.53071941,704.40185546875,2,33,4,0,64500,47,3,0,1,True,False,True,True
225521.994,2386,18,20,True,False,21229667.937284846,83309775.2801225,863.9802856445312,0,32,7,0,16860,31,6,0,6,True,False,True,False
225521.994,2386,18,20,True,False,24756499.611689303,97149821.6282631,-2627.857421875,2,13,4,0,0,21,9,0,15,False,False,False,True
225521.994,2386,18,20,True,False,21516676.5811088,84436042.73567858,-1185.5469970703125,2,26,4,0,64500,26,6,0,9,False,False,False,False
225524.994,2386,18,19,True,False,21427042.487390883,112599875.6532667,1154.12890625,0,10,0,0,64500,47,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,18527096.494340654,97360548.2090872,-1706.466796875,0,18,0,0,0,24,10,0,15,False,False,False,True
225524.994,2386,18,19,True,False,19036961.684429992,100039930.422252,-68.524169921875,0,23,0,0,64500,46,3,0,1,False,True,True,True
225524.994,2386,18,19,True,False,18864874.249596987,99135582.70925862,-1131.549072265625,0,24,0,0,0,24,9,0,15,False,True,True,False
225524.994,2386,18,19,True,False,22655738.971904248,119056657.0159337,-1002.3486328125,0,27,0,0,64500,42,4,0,2,False,True,True,True
225524.994,2386,18,19,True,False,23030830.664707,121027762.50123408,-2851.52197265625,2,7,0,0,64500,28,6,0,7,False,False,False,False
225524.994,2386,18,19,True,False,21229011.329705454,111559175.0643037,1156.223388671875,0,32,0,0,64500,34,5,0,4,False,False,False,False
225524.994,2386,18,19,True,False,22649696.68806262,119024938.60615176,942.003662109375,2,33,0,0,64500,46,3,0,1,True,False,True,True
225524.994,2386,18,19,True,False,21517588.609409876,113075697.0941161,-1589.68798828125,2,26,0,0,64500,33,6,0,4,False,False,False,False
225524.994,2386,18,19,True,False,21427034.029689144,84084289.00885515,861.8494262695312,0,10,7,0,64500,43,3,0,1,False,True,True,True
225524.994,2386,18,19,True,False,18527083.616289362,72704230.96008928,-1277.51171875,0,18,7,0,64500,37,4,0,3,True,True,True,True
225524.994,2386,18,19,True,False,19036955.445837546,74705100.28270268,-51.068119049072266,0,23,7,0,64500,47,3,0,1,True,False,True,True
