iTOW,clkB,clkD,tAcc,fAcc
226987000,310738,563,15,749
226992000,313556,564,15,747
226997000,316379,565,14,752
227002000,319200,564,14,760
227007000,322018,564,14,752
227012000,324836,564,14,755
227017000,327653,564,14,745
227022000,330471,564,14,723
227027000,333288,564,14,751
227032000,336105,563,14,755
227037000,338920,563,13,757
227042000,341737,563,13,758
227047000,344553,563,13,766
227052000,347369,563,13,769
227057000,350185,563,13,724
227062000,353001,563,13,725
227067000,355816,563,13,735
227072000,358631,563,13,737
227077000,361445,563,13,749
227082000,364259,563,13,761
227087000,367073,563,13,769
227092000,369887,563,13,774
227097000,372700,563,13,776
227102000,375513,563,13,789
227107000,378327,563,13,795
227112000,381140,563,13,804
227117000,383953,563,13,783
227122000,386766,563,13,783
227127000,389578,562,13,782
227132000,392391,563,13,782
227137000,395203,563,13,781
227142000,398015,562,14,795
227147000,400827,562,14,795
227152000,403638,562,14,799
227157000,406449,562,14,795
227162000,409260,562,14,794
227167000,412070,562,14,792
227172000,414881,562,14,794
227177000,417692,562,14,795
227182000,420504,562,14,802
227187000,423315,562,14,800
227192000,426125,562,14,783
227197000,428935,562,14,801
227202000,431745,562,14,826
227207000,434554,562,14,796
227212000,437363,562,14,796
227217000,440173,562,14,796
227222000,442982,562,14,804
227227000,445791,562,14,812
227232000,448599,562,14,804
227237000,451407,562,14,823
227242000,454215,562,14,823
227247000,457024,562,14,837
227252000,459833,562,14,834
227257000,462642,562,14,843
227262000,465450,562,14,837
227267000,468258,562,14,847
227272000,471066,562,14,820
227277000,473874,562,14,825
227282000,476681,561,14,829
227287000,479489,561,14,824
227292000,482296,561,14,823
227297000,485102,561,14,825
227302000,487909,561,14,855
227307000,490715,561,14,862
227312000,493522,561,14,866
227317000,496328,561,14,865
227322000,499134,561,14,877
227327000,501941,561,14,868
227332000,504747,561,15,871
227337000,507552,561,15,860
227342000,510357,561,15,830
227347000,513163,561,15,757
227352000,515968,561,14,756
227357000,518773,561,14,820
227362000,521578,561,14,838
227367000,524384,561,14,832
227372000,527190,561,14,824
227377000,529995,561,14,838
227382000,532799,561,14,836
227387000,535604,561,15,854
227392000,538408,561,15,854
227397000,541213,561,15,857
227402000,544017,561,15,858
227407000,546822,561,15,865
227412000,549626,561,15,862
227417000,552431,561,15,867
227422000,555236,561,15,849
227427000,558041,561,15,860
227432000,560846,561,15,876
227437000,563650,561,15,876
227442000,566454,561,15,883
227447000,569258,561,15,878
227452000,572061,561,16,886
227457000,574864,560,16,901
227462000,577667,560,16,888
227467000,580469,560,16,893
227472000,583272,561,16,895
227477000,586074,560,16,898
227482000,588875,560,16,901
227487000,591677,560,16,892
227492000,594479,560,16,897
227497000,597280,560,16,894
227502000,600081,560,16,891
227507000,602882,560,16,901
227512000,605682,560,16,905
227517000,608482,560,16,910
227522000,611282,560,16,906
227527000,614082,560,16,910
227532000,616881,560,17,902
227537000,619680,560,17,909
