timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-10-02T13:36:50.000297+00:00,394628000,297456,159,7,585
2025-10-02T13:36:51.000297+00:00,394629000,297616,159,7,572
2025-10-02T13:36:52.000297+00:00,394630000,297775,159,7,580
2025-10-02T13:36:53.000297+00:00,394631000,297935,159,7,590
2025-10-02T13:36:54.000298+00:00,394632000,298095,159,7,593
2025-10-02T13:36:55.000298+00:00,394633000,298254,159,7,594
2025-10-02T13:36:56.000298+00:00,394634000,298414,159,7,595
2025-10-02T13:36:57.000298+00:00,394635000,298573,159,7,598
2025-10-02T13:36:58.000298+00:00,394636000,298733,159,7,597
2025-10-02T13:36:59.000298+00:00,394637000,298892,159,7,599
2025-10-02T13:37:00.000299+00:00,394638000,299052,159,7,618
2025-10-02T13:37:01.000299+00:00,394639000,299211,159,7,621
2025-10-02T13:37:02.000299+00:00,394640000,299371,160,7,625
2025-10-02T13:37:03.000299+00:00,394641000,299531,160,7,626
2025-10-02T13:37:04.000299+00:00,394642000,299690,160,7,628
2025-10-02T13:37:05.000299+00:00,394643000,299850,159,7,629
2025-10-02T13:37:06.000300+00:00,394644000,300009,159,7,628
2025-10-02T13:37:07.000300+00:00,394645000,300169,159,7,643
2025-10-02T13:37:08.000300+00:00,394646000,300328,159,7,646
2025-10-02T13:37:09.000300+00:00,394647000,300487,159,7,648
2025-10-02T13:37:10.000300+00:00,394648000,300647,159,7,649
2025-10-02T13:37:11.000300+00:00,394649000,300806,159,7,633
2025-10-02T13:37:12.000300+00:00,394650000,300965,159,7,629
2025-10-02T13:37:13.000301+00:00,394651000,301124,159,7,636
2025-10-02T13:37:14.000301+00:00,394652000,301284,159,7,628
2025-10-02T13:37:15.000301+00:00,394653000,301443,159,7,605
2025-10-02T13:37:16.000301+00:00,394654000,301603,159,7,605
2025-10-02T13:37:17.000301+00:00,394655000,301762,159,7,606
2025-10-02T13:37:18.000301+00:00,394656000,301922,159,7,605
2025-10-02T13:37:19.000302+00:00,394657000,302081,159,7,631
2025-10-02T13:37:20.000302+00:00,394658000,302240,159,7,640
2025-10-02T13:37:21.000302+00:00,394659000,302399,159,7,592
2025-10-02T13:37:22.000302+00:00,394660000,302558,159,7,589
2025-10-02T13:37:23.000302+00:00,394661000,302718,159,7,593
2025-10-02T13:37:24.000302+00:00,394662000,302877,159,7,597
2025-10-02T13:37:25.000303+00:00,394663000,303036,159,7,599
2025-10-02T13:37:26.000303+00:00,394664000,303195,159,7,600
2025-10-02T13:37:27.000303+00:00,394665000,303354,159,7,597
2025-10-02T13:37:28.000303+00:00,394666000,303513,159,7,611
2025-10-02T13:37:29.000303+00:00,394667000,303672,159,7,617
2025-10-02T13:37:30.000303+00:00,394668000,303832,159,7,620
2025-10-02T13:37:31.000303+00:00,394669000,303991,159,7,615
2025-10-02T13:37:32.000304+00:00,394670000,304150,159,7,619
2025-10-02T13:37:33.000304+00:00,394671000,304309,159,7,622
2025-10-02T13:37:34.000304+00:00,394672000,304468,159,7,623
2025-10-02T13:37:35.000304+00:00,394673000,304627,159,7,638
2025-10-02T13:37:36.000304+00:00,394674000,304786,159,7,636
2025-10-02T13:37:37.000304+00:00,394675000,304945,159,7,643
2025-10-02T13:37:38.000305+00:00,394676000,305104,159,7,640
2025-10-02T13:37:39.000305+00:00,394677000,305263,159,7,643
2025-10-02T13:37:40.000305+00:00,394678000,305422,159,7,644
2025-10-02T13:37:41.000305+00:00,394679000,305581,159,7,644
2025-10-02T13:37:42.000305+00:00,394680000,305740,159,7,649
2025-10-02T13:37:43.000305+00:00,394681000,305899,159,7,649
2025-10-02T13:37:44.000306+00:00,394682000,306058,159,7,649
2025-10-02T13:37:45.000306+00:00,394683000,306217,159,7,648
2025-10-02T13:37:46.000306+00:00,394684000,306375,159,7,634
2025-10-02T13:37:47.000306+00:00,394685000,306534,159,7,630
2025-10-02T13:37:48.000306+00:00,394686000,306693,159,7,628
2025-10-02T13:37:49.000306+00:00,394687000,306852,159,7,629
2025-10-02T13:37:50.000307+00:00,394688000,307012,159,7,631
2025-10-02T13:37:51.000307+00:00,394689000,307171,159,7,630
2025-10-02T13:37:52.000307+00:00,394690000,307330,159,7,635
2025-10-02T13:37:53.000307+00:00,394691000,307489,159,7,624
2025-10-02T13:37:54.000307+00:00,394692000,307648,159,7,619
2025-10-02T13:37:55.000307+00:00,394693000,307807,159,7,620
2025-10-02T13:37:56.000307+00:00,394694000,307966,159,7,622
2025-10-02T13:37:57.000308+00:00,394695000,308125,159,7,619
2025-10-02T13:37:58.000308+00:00,394696000,308284,159,7,665
2025-10-02T13:37:59.000308+00:00,394697000,308443,159,7,672
2025-10-02T13:38:00.000308+00:00,394698000,308602,159,7,671
2025-10-02T13:38:01.000308+00:00,394699000,308761,159,7,675
2025-10-02T13:38:02.000308+00:00,394700000,308920,159,7,680
2025-10-02T13:38:03.000309+00:00,394701000,309079,159,7,678
2025-10-02T13:38:04.000309+00:00,394702000,309238,159,7,679
2025-10-02T13:38:05.000309+00:00,394703000,309397,159,7,682
2025-10-02T13:38:06.000309+00:00,394704000,309556,159,7,682
2025-10-02T13:38:07.000309+00:00,394705000,309715,159,7,683
2025-10-02T13:38:08.000309+00:00,394706000,309874,159,7,687
2025-10-02T13:38:09.000310+00:00,394707000,310033,159,7,690
2025-10-02T13:38:10.000310+00:00,394708000,310192,159,7,693
2025-10-02T13:38:11.000310+00:00,394709000,310350,159,7,687
2025-10-02T13:38:12.000310+00:00,394710000,310509,159,7,695
