timestamp_utc,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,invalidLlh,lon_full_deg,lat_full_deg,height_full_m,hMSL_full_m
,511145000,-810795889,292277890,-20706,9726,20,-29,4,-3,61305,56204,False,-81.07958887999999,29.227788971,-20.7056,9.725700000000002
2025-10-03T21:58:50.000104+00:00,511150000,-810795898,292277898,-20616,9815,10,-17,-2,1,61042,56065,False,-81.07958979,29.227789783,-20.6162,9.8151
2025-10-03T21:58:55.000107+00:00,511155000,-810795905,292277899,-20565,9866,20,-36,1,4,60992,56097,False,-81.07959048,29.227789864,-20.5649,9.8664
2025-10-03T21:59:00.000109+00:00,511160000,-810795909,292277901,-20509,9923,27,-14,3,-4,60851,56009,False,-81.079590873,29.227790086,-20.5087,9.9226
2025-10-03T21:59:05.000112+00:00,511165000,-810795909,292277897,-20486,9945,-24,23,-1,2,60777,56005,False,-81.079590924,29.227789722999997,-20.4861,9.9452
2025-10-03T21:59:10.000115+00:00,511170000,-810795907,292277899,-20459,9972,-3,-45,1,5,60539,55954,False,-81.079590703,29.227789854999997,-20.4589,9.9725
2025-10-03T21:59:15.000118+00:00,511175000,-810795907,292277905,-20356,10075,-25,-36,-3,0,60126,55711,False,-81.079590725,29.227790463999998,-20.3563,10.075
2025-10-03T21:59:20.000120+00:00,511180000,-810795907,292277904,-20271,10160,16,19,-1,3,59889,55620,False,-81.079590684,29.227790419,-20.2711,10.1603
2025-10-03T21:59:25.000123+00:00,511185000,-810795908,292277895,-20256,10175,25,42,-5,-1,59680,55526,False,-81.07959077499999,29.227789542,-20.2565,10.174900000000001
2025-10-03T21:59:30.000126+00:00,511190000,-810795905,292277888,-20237,10194,-16,-29,-4,-1,59516,55490,False,-81.079590516,29.227788771,-20.237399999999997,10.193900000000001
2025-10-03T21:59:35.000129+00:00,511195000,-810795903,292277884,-20178,10254,5,-40,3,-4,59486,55567,False,-81.07959029499999,29.227788359999998,-20.1777,10.253599999999999
