timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-11-25T14:31:57.000370+00:00,225135000,-370088,514,3,412
2025-11-25T14:31:58.000369+00:00,225136000,-369574,514,3,415
2025-11-25T14:31:59.000369+00:00,225137000,-369060,514,3,412
2025-11-25T14:32:00.000368+00:00,225138000,-368546,514,3,415
2025-11-25T14:32:01.000368+00:00,225139000,-368032,514,3,412
2025-11-25T14:32:02.000367+00:00,225140000,-367517,514,3,410
2025-11-25T14:32:03.000367+00:00,225141000,-367003,514,3,408
2025-11-25T14:32:04.000366+00:00,225142000,-366489,514,3,408
2025-11-25T14:32:05.000365+00:00,225143000,-365975,514,3,408
2025-11-25T14:32:06.000365+00:00,225144000,-365461,514,3,408
2025-11-25T14:32:07.000364+00:00,225145000,-364948,514,3,409
2025-11-25T14:32:08.000364+00:00,225146000,-364434,514,3,408
2025-11-25T14:32:09.000363+00:00,225147000,-363921,514,3,409
2025-11-25T14:32:10.000363+00:00,225148000,-363407,514,3,408
2025-11-25T14:32:11.000362+00:00,225149000,-362893,514,3,405
2025-11-25T14:32:12.000362+00:00,225150000,-362379,514,3,412
2025-11-25T14:32:13.000361+00:00,225151000,-361866,514,3,410
2025-11-25T14:32:14.000361+00:00,225152000,-361352,514,3,407
2025-11-25T14:32:15.000360+00:00,225153000,-360838,514,3,410
2025-11-25T14:32:16.000360+00:00,225154000,-360325,514,3,407
2025-11-25T14:32:17.000359+00:00,225155000,-359811,514,3,409
2025-11-25T14:32:18.000359+00:00,225156000,-359297,514,3,407
2025-11-25T14:32:19.000358+00:00,225157000,-358783,514,3,407
2025-11-25T14:32:20.000358+00:00,225158000,-358270,514,3,407
2025-11-25T14:32:21.000357+00:00,225159000,-357756,514,3,408
2025-11-25T14:32:22.000357+00:00,225160000,-357243,514,3,405
2025-11-25T14:32:23.000356+00:00,225161000,-356729,514,3,412
2025-11-25T14:32:24.000356+00:00,225162000,-356216,513,3,416
2025-11-25T14:32:25.000355+00:00,225163000,-355702,514,3,419
2025-11-25T14:32:26.000355+00:00,225164000,-355189,514,3,413
2025-11-25T14:32:27.000354+00:00,225165000,-354675,513,3,420
2025-11-25T14:32:28.000354+00:00,225166000,-354162,513,3,416
2025-11-25T14:32:29.000353+00:00,225167000,-353648,514,3,418
2025-11-25T14:32:30.000353+00:00,225168000,-353135,513,3,416
2025-11-25T14:32:31.000352+00:00,225169000,-352621,514,3,416
2025-11-25T14:32:32.000352+00:00,225170000,-352108,514,3,420
2025-11-25T14:32:33.000351+00:00,225171000,-351594,513,3,418
2025-11-25T14:32:34.000351+00:00,225172000,-351081,513,3,422
2025-11-25T14:32:35.000350+00:00,225173000,-350567,513,3,424
2025-11-25T14:32:36.000350+00:00,225174000,-350054,513,3,425
2025-11-25T14:32:37.000349+00:00,225175000,-349541,513,3,428
2025-11-25T14:32:38.000349+00:00,225176000,-349028,513,3,424
2025-11-25T14:32:39.000348+00:00,225177000,-348515,513,3,422
2025-11-25T14:32:40.000347+00:00,225178000,-348002,513,3,423
2025-11-25T14:32:41.000347+00:00,225179000,-347489,513,3,422
2025-11-25T14:32:42.000346+00:00,225180000,-346976,513,3,423
2025-11-25T14:32:43.000346+00:00,225181000,-346463,513,3,425
2025-11-25T14:32:44.000345+00:00,225182000,-345949,513,3,424
2025-11-25T14:32:45.000345+00:00,225183000,-345436,513,3,425
2025-11-25T14:32:46.000344+00:00,225184000,-344923,513,3,425
2025-11-25T14:32:47.000344+00:00,225185000,-344410,513,3,425
2025-11-25T14:32:48.000343+00:00,225186000,-343897,513,3,427
2025-11-25T14:32:49.000343+00:00,225187000,-343384,513,3,427
2025-11-25T14:32:50.000342+00:00,225188000,-342871,513,3,429
2025-11-25T14:32:51.000342+00:00,225189000,-342358,513,3,429
2025-11-25T14:32:52.000341+00:00,225190000,-341845,513,3,428
2025-11-25T14:32:53.000341+00:00,225191000,-341332,513,3,428
2025-11-25T14:32:54.000340+00:00,225192000,-340819,513,3,426
2025-11-25T14:32:55.000340+00:00,225193000,-340307,513,3,426
2025-11-25T14:32:56.000339+00:00,225194000,-339794,513,3,427
2025-11-25T14:32:57.000339+00:00,225195000,-339281,513,3,424
2025-11-25T14:32:58.000338+00:00,225196000,-338769,513,3,425
2025-11-25T14:32:59.000338+00:00,225197000,-338256,513,3,424
2025-11-25T14:33:00.000337+00:00,225198000,-337743,513,3,423
2025-11-25T14:33:01.000337+00:00,225199000,-337231,513,3,421
2025-11-25T14:33:02.000336+00:00,225200000,-336718,513,3,423
2025-11-25T14:33:03.000336+00:00,225201000,-336205,513,3,421
2025-11-25T14:33:04.000335+00:00,225202000,-335692,513,3,421
2025-11-25T14:33:05.000335+00:00,225203000,-335180,513,3,424
