rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225134.992,1.93022954639882,-5.004491793104238,-3.074262246705418,-8.423426281075862,44.71501881454329,16,9.247520544478423
225135.992,1.93022954639882,-5.028549146247243,-3.0983195998484225,-8.463918972261236,44.88191339625398,16,9.102785559444195
225136.992,1.93022954639882,-5.0165402048797905,-3.0863106584809703,-8.443705844434374,44.80260905645336,16,8.813039613510476
225137.992,1.93022954639882,-4.953290144458159,-3.023060598059339,-8.337245040168627,44.77881971797018,16,8.979699946138583
225138.992,1.93022954639882,-5.137807840138185,-3.207578293739365,-8.647820273653142,44.90739063649893,16,8.806242927526927
225139.992,1.93022954639882,-5.001773236684201,-3.071543690285381,-8.418850479867299,44.40919686931378,16,8.75224360644591
225140.992,1.93022954639882,-5.076860141966256,-3.1466305955674354,-8.545234743737815,44.572500395659546,16,8.799420585297536
225141.992,1.93022954639882,-5.112600513682099,-3.182370967283279,-8.605391978248916,44.579075106977456,16,8.598828225305091
225142.992,1.93022954639882,-5.149822402824717,-3.219592856425897,-8.668042863133422,44.68555292269398,16,8.566243492768793
225143.992,1.93022954639882,-5.1722421980081075,-3.2420126516092873,-8.705779260708162,44.64619472269171,16,8.348799147517623
225144.992,1.93022954639882,-5.215021326910949,-3.284791780512129,-8.777783942417951,44.99621949009894,16,8.206627275145706
225145.992,1.93022954639882,-5.124239757322784,-3.194010210923964,-8.624982840783627,44.84477362280496,16,8.49210888945422
225146.992,1.93022954639882,-5.331989310245389,-3.4017597638465684,-8.974661312907674,45.38593633517098,16,8.267373104298462
225147.992,1.93022954639882,-5.172154048967196,-3.2419245025683763,-8.705630890608147,44.952903622498816,16,8.331149146345046
225148.992,1.93022954639882,-5.075682991475251,-3.1454534450764307,-8.543253395622433,44.67078128905254,16,8.291055205099045
225149.992,1.93022954639882,-5.164254082732683,-3.2340245363338624,-8.692333879452866,44.72220158453523,16,8.105794141434803
225150.992,1.93022954639882,-5.112696612050718,-3.182467065651898,-8.605553728443994,44.83806432687115,16,8.122347896393213
225151.992,1.93022954639882,-5.036899987277454,-3.1066704408786334,-8.47797488377255,44.694051966896446,16,8.235957918098247
225152.992,1.93022954639882,-5.028833936004471,-3.0986043896056508,-8.464398322737727,44.46796746299109,16,8.143169466197385
225153.992,1.93022954639882,-5.100172553371737,-3.1699430069729164,-8.584473568982519,44.791001896755866,16,8.070818205411587
225154.992,1.93022954639882,-5.129907175673129,-3.1996776292743085,-8.634522087254952,44.858384335010705,16,8.085342192174778
225155.992,1.93022954639882,-5.273188150780649,-3.3429586043818285,-8.87568877933783,44.85916095152254,16,7.7253389316535985
225156.992,1.93022954639882,-5.2860792008265935,-3.3558496544277734,-8.897386648819262,44.673281136382926,16,7.516133234153327
225157.992,1.93022954639882,-5.529145057293174,-3.5989155108943542,-9.306508575288204,45.306936088740784,16,7.117791859607445
225158.992,1.93022954639882,-5.487524488849276,-3.557294942450456,-9.236453951450727,44.97709362267069,16,7.0585350124557875
225159.992,1.93022954639882,-5.755598546901459,-3.825369000502639,-9.687669011685792,45.65375695509423,16,6.852403714745511
225160.992,1.93022954639882,-5.767048465787843,-3.8368189193890228,-9.706941207874953,45.5166518533776,16,6.829967201380789
225161.992,1.93022954639882,-5.5479951498136195,-3.6177656034147994,-9.33823654514045,45.403260506185404,16,7.340159015905232
225162.992,1.93022954639882,-3.563880348819302,-1.633650802420482,-5.998627759609763,42.53977219325931,16,11.191486363405623
