rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225134.992000,1.930230,21.625155,23.555385,3.224950,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.013442
225135.992000,1.930230,21.700049,23.630279,3.232788,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.359817
225136.992000,1.930230,21.664389,23.594619,3.222460,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.194894
225137.992000,1.930230,21.713031,23.643261,3.227012,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.419858
225138.992000,1.930230,21.604636,23.534866,3.228582,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.918548
225139.992000,1.930230,21.443558,23.373788,3.194007,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.173581
225140.992000,1.930230,21.465277,23.395507,3.206906,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.274030
225141.992000,1.930230,21.433012,23.363242,3.201119,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.124807
225142.992000,1.930230,21.458753,23.388983,3.207978,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.243857
225143.992000,1.930230,21.412456,23.342685,3.202294,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.029737
225144.992000,1.930230,21.577654,23.507884,3.224093,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.793760
225145.992000,1.930230,21.577815,23.508045,3.219543,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.794501
225146.992000,1.930230,21.691842,23.622071,3.254262,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.321860
225147.992000,1.930230,21.593393,23.523623,3.225992,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.866550
225148.992000,1.930230,21.521442,23.451672,3.208202,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.533784
225149.992000,1.930230,21.463043,23.393273,3.212638,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.263695
225150.992000,1.930230,21.583139,23.513368,3.222441,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.819123
225151.992000,1.930230,21.572748,23.502978,3.216556,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.771069
225152.992000,1.930230,21.445767,23.375997,3.199059,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.183798
225153.992000,1.930230,21.566305,23.496535,3.217237,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.741272
225154.992000,1.930230,21.576240,23.506470,3.227860,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.787219
225155.992000,1.930230,21.432974,23.363204,3.220741,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.124633
225156.992000,1.930230,21.308977,23.239207,3.203058,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.551162
225157.992000,1.930230,21.442689,23.372918,3.237195,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.169560
