svId,freqId,gpsTOW,rcvTOW,iTOW,clkBias,clkDrift,t_tx,WN,geoRange,satClockBias,rcvClockBias,relBias,biases,pseudorange,rangeDiff,troposphericDelay
G01,L1 C,225134.983629908,225134.992,225135.0,-370088,514,225134.903092854,2394,24144401.338684,106066.063610941,-2509290.4884315,-0.540169811416963,-2615356.01187263,21529091.4740891,-2615309.86459491,46.1472777165473
G01,L1 C,225135.983630422,225135.992,225136.0,-369574,514,225135.903093881,2394,24144247.441117,106066.063351062,-2509136.39510809,-0.540095016518442,-2615201.91836413,21529091.7083409,-2615155.73277612,46.1855880068615
G01,L1 C,225136.983630936,225136.992,225137.0,-369060,514,225136.903094908,2394,24144093.6490359,106066.063091183,-2508982.30178467,-0.54002021015565,-2615047.82485565,21529092.0499463,-2615001.59908962,46.2257660306059
G01,L1 C,225137.98363145,225137.992,225138.0,-368546,514,225137.903095935,2394,24143939.9624422,106066.062831304,-2508828.20846126,-0.539945392330177,-2614893.73134717,21529092.4006259,-2614847.56181625,46.169530919753
G01,L1 C,225138.983631964,225138.992,225139.0,-368032,514,225138.903096961,2394,24143786.3813368,106066.062571425,-2508674.11513785,-0.539870563043615,-2614739.63783871,21529092.9682466,-2614693.41309026,46.224748456385
G01,L1 C,225139.983632479,225139.992,225140.0,-367517,514,225139.903097988,2394,24143632.905721,106066.062311546,-2508519.72202198,-0.539795722297481,-2614585.2445378,21529093.6581584,-2614539.24756265,45.9969751485623
G01,L1 C,225140.983632993,225140.992,225141.0,-367003,514,225140.903099014,2394,24143479.5355963,106066.062051667,-2508365.62869857,-0.539720870093519,-2614431.15102936,21529094.3877171,-2614385.14787921,46.0031501506455
G01,L1 C,225141.983633507,225141.992,225142.0,-366489,514,225141.903100039,2394,24143326.2709637,106066.061791788,-2508211.53537516,-0.539646006433245,-2614277.05752094,21529095.3872656,-2614230.8836981,46.1738228378817
G01,L1 C,225142.983634021,225142.992,225143.0,-365975,514,225142.903101064,2394,24143173.1118243,106066.061531909,-2508057.44205174,-0.539571131318258,-2614122.96401252,21529096.2977481,-2614076.8140762,46.1499363211915
G01,L1 C,225143.983634535,225143.992,225144.0,-365461,514,225143.903102088,2394,24143020.0581795,106066.06127203,-2507903.34872833,-0.539496244750142,-2613968.87050412,21529097.3700291,-2613922.68815036,46.1823537512682
