rcvTow,week,leapS,numMeas,recStat,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat,prValid,cpValid,halfCyc,subHalfCyc
228560.004,2394,18,24,1,25351975.9088884,133225540.138719,-932.745849609375,0,1,0,0,1300,39,7,0,2,7,True,True,True,False
228560.004,2394,18,24,1,27865351.7845336,112202223.770534,-1177.4326171875,2,36,6,0,0,27,8,0,15,10,False,True,False,True
228560.004,2394,18,24,1,29353927.2307776,118196097.170016,360.504119873047,2,34,6,0,1260,28,7,0,6,8,False,False,False,True
228560.004,2394,18,24,1,25224034.7235486,101566735.166715,854.56201171875,2,31,6,0,1400,33,6,0,4,8,False,False,False,True
228560.004,2394,18,24,1,26945936.4910009,108500117.3123,-1118.88256835938,2,23,6,0,1380,30,6,0,6,8,False,False,False,True
228560.004,2394,18,24,1,25462848.4463698,102528335.460151,685.224853515625,2,9,6,0,1400,32,6,0,5,8,False,False,False,True
228560.004,2394,18,24,1,25212432.929951,101520019.690948,72.123046875,2,6,6,0,1400,33,6,0,5,8,False,False,False,True
228560.004,2394,18,24,1,27865362.8428761,146433468.407678,-1536.71362304688,2,36,0,0,1380,40,7,0,2,7,True,True,True,False
228560.004,2394,18,24,1,25224049.7757574,132553278.066893,1115.603515625,2,31,0,0,1380,44,7,0,1,6,False,True,True,False
228560.004,2394,18,24,1,26945950.6075291,141601915.76193,-1460.44885253906,2,23,0,0,1400,36,7,0,3,7,True,True,True,False
228560.004,2394,18,24,1,25462862.9086915,133808262.057253,894.634765625,2,9,0,0,1380,41,7,0,2,6,False,True,True,False
228560.004,2394,18,24,1,25212450.1569455,132492314.011654,94.074951171875,2,6,0,0,1400,41,6,0,2,6,False,True,True,False
228560.004,2394,18,24,1,26001739.8607023,136640064.512698,-718.455749511719,2,4,0,0,1380,40,7,0,2,7,True,True,True,False
