iTOW,clkB,clkD,tAcc,fAcc
422479000,-698898,-432,12,809
422489000,-703214,-432,12,742
422499000,-707531,-432,12,784
422509000,-711847,-432,12,798
422519000,-716163,-432,12,802
422529000,-720479,-432,12,805
422539000,-724795,-431,12,852
422549000,-729112,-432,12,845
422559000,-733431,-432,12,664
422569000,-737747,-431,11,622
422579000,-742062,-431,10,622
422589000,-746377,-431,10,651
422599000,-750691,-431,10,661
422609000,-755005,-431,10,655
422619000,-759319,-431,10,648
422629000,-763632,-431,10,617
422639000,-767945,-431,10,587
422649000,-772257,-431,10,594
422659000,-776569,-431,10,614
422669000,-780880,-431,10,544
422679000,-785190,-431,10,557
422689000,-789499,-431,10,562
422699000,-793808,-431,10,557
422709000,-798117,-431,10,561
422719000,-802425,-431,10,559
422729000,-806732,-431,10,557
422739000,-811040,-431,10,570
422749000,-815349,-431,10,574
422759000,-819658,-431,10,652
422769000,-823967,-431,10,644
422779000,-828275,-431,10,661
422789000,-832582,-431,10,667
422799000,-836888,-431,10,666
422809000,-841196,-431,10,700
422819000,-845504,-431,11,661
422829000,-849811,-431,11,654
422839000,-854119,-431,11,666
422849000,-858426,-431,11,670
422859000,-862731,-430,11,666
422869000,-867037,-430,11,645
422879000,-871342,-430,11,654
422889000,-875646,-430,11,625
422899000,-879950,-430,11,628
422909000,-884253,-430,11,632
422919000,-888555,-430,11,609
422929000,-892858,-430,11,621
422939000,-897161,-430,11,639
422949000,-901463,-430,11,610
422959000,-905765,-430,11,643
422969000,-910068,-430,11,643
422979000,-914371,-430,11,654
422989000,-918672,-430,11,645
422999000,-922972,-430,11,672
423009000,-927273,-430,11,694
423019000,-931575,-430,12,699
423029000,-935878,-430,12,693
423039000,-940181,-430,12,698
423049000,-944482,-430,12,717
423059000,-948783,-430,12,717
423069000,-953084,-430,12,711
423079000,-957384,-430,12,699
423089000,-961685,-430,12,674
423099000,-965987,-430,12,665
423109000,-970287,-430,12,656
423119000,-974587,-430,12,665
423129000,-978887,-430,12,666
423139000,-983186,-430,12,660
423149000,-987487,-430,12,655
423159000,-991787,-430,12,666
423169000,-996086,-430,12,669
423179000,-1000383,-430,12,665
423189000,-4682,-430,12,670
423199000,-8980,-430,12,665
423209000,-13279,-430,12,658
423219000,-17577,-430,12,654
423229000,-21877,-430,12,641
423239000,-26176,-430,12,648
423249000,-30474,-430,12,653
423259000,-34772,-430,12,654
423269000,-39069,-430,12,662
423279000,-43366,-430,12,663
423289000,-47662,-430,11,656
423299000,-51958,-430,11,665
423309000,-56253,-430,11,655
423319000,-60549,-429,11,656
423329000,-64843,-429,11,658
423339000,-69138,-429,11,665
423349000,-73433,-429,11,689
423359000,-77727,-429,11,691
423369000,-82021,-430,11,679
423379000,-86314,-429,12,677
423389000,-90608,-429,12,677
423399000,-94901,-429,12,692
423409000,-99193,-429,12,693
423419000,-103485,-429,12,691
423429000,-107776,-429,12,693
423439000,-112066,-429,12,688
423449000,-116356,-429,12,684
423459000,-120646,-429,12,673
423469000,-124936,-429,12,657
423479000,-129226,-429,12,656
423489000,-133515,-429,12,636
423499000,-137804,-429,12,653
423509000,-142092,-429,12,655
423519000,-146381,-429,11,633
423529000,-150670,-429,11,619
423539000,-154958,-429,11,613
423549000,-159246,-429,11,615
423559000,-163534,-429,11,612
423569000,-167822,-429,10,629
423579000,-172110,-429,10,635
423589000,-176398,-429,10,635
423599000,-180686,-429,10,636
423609000,-184975,-429,10,655
423619000,-189264,-429,10,660
423629000,-193553,-429,9,663
423639000,-197841,-429,9,677
423649000,-202129,-429,9,685
423659000,-206415,-429,9,699
423669000,-210702,-429,10,695
423679000,-214989,-428,10,680
423689000,-219275,-429,10,666
423699000,-223561,-428,10,672
423709000,-227846,-429,10,674
423719000,-232131,-428,10,676
423729000,-236415,-428,10,671
423739000,-240699,-428,10,662
423749000,-244983,-428,10,628
423759000,-249266,-428,10,629
423769000,-253550,-428,10,662
423779000,-257831,-428,10,663
423789000,-262112,-428,10,676
423799000,-266394,-428,10,665
423809000,-270675,-428,10,668
423819000,-274956,-428,10,627
423829000,-279238,-428,10,616
423839000,-283520,-428,10,605
423849000,-287801,-428,9,598
423859000,-292084,-428,9,599
423869000,-296366,-428,9,597
423879000,-300648,-428,8,603
423889000,-304931,-428,8,601
