gpsTOW,gloTOW,bdsTOW,qzssTOW,gpsTOWacc,gloTOWacc,bdsTOWacc,qzssTOWacc,towSet,gnssId,svId,cNo,mpathIndic,dopplerMS,dopplerHz,wholeChips,fracChips,codePhase,intCodePhase,pseuRangeRMS
422480000,433262000,422466000,422480000,0,0,0,0,0,2,12,32,1,6063,6372,2196,85,307672,2,2
422480000,433262000,422466000,422480000,0,0,0,0,0,2,33,35,1,-6830,-7179,1033,700,21903,1,0
422480000,433262000,422466000,422480000,0,0,0,0,0,2,25,44,2,14026,14742,1227,705,419613,1,0
422480000,433262000,422466000,422480000,0,0,0,0,0,2,5,27,2,-5159,-5423,2771,898,1488049,2,5
422480000,433262000,422466000,422480000,0,0,0,0,0,2,31,31,1,113,119,897,513,1839879,0,3
422480000,433262000,422466000,422480000,0,0,0,0,0,0,13,27,1,-6519,-6851,753,376,1544405,0,11
422480000,433262000,422466000,422480000,0,0,0,0,0,0,17,49,1,2131,2239,6,96,12494,0,0
422480000,433262000,422466000,422480000,0,0,0,0,0,0,14,22,1,4681,4920,233,490,478633,0,28
422480000,433262000,422466000,422480000,0,0,0,0,0,0,22,48,1,8498,8931,157,181,322214,0,0
422480000,433262000,422466000,422480000,0,0,0,0,0,0,30,20,1,-11092,-11658,413,813,848279,0,27
422480000,433262000,422466000,422480000,0,0,0,0,0,0,1,33,1,-10880,-11435,975,540,1999833,0,1
422480000,433262000,422466000,422480000,0,0,0,0,0,0,19,49,1,8755,9202,11,579,23709,0,0
422480000,433262000,422466000,422480000,0,0,0,0,0,0,7,29,1,-13845,-14551,217,987,446827,0,11
422480000,433262000,422466000,422480000,0,0,0,0,0,0,24,27,1,14536,15277,427,158,875668,0,0
422490000,433272000,422476000,422490000,0,0,0,0,0,2,12,32,1,6041,6349,2187,830,290713,2,1
422490000,433272000,422476000,422490000,0,0,0,0,0,2,33,35,1,-6842,-7191,1043,9,41020,1,0
422490000,433272000,422476000,422490000,0,0,0,0,0,2,25,44,2,14031,14747,1208,550,380353,1,0
422490000,433272000,422476000,422490000,0,0,0,0,0,2,5,27,1,-5167,-5430,2778,942,1502489,2,5
