nPorts,mem,alloc,outputPort,protIds,portId,txPending,txBytes,txUsage,txPeakUsage,rxPending,rxBytes,rxUsage,rxPeakUsage,overrunErrs,msgs,skipped
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,108,194985,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,219160,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,46636,0,0,0,7.3e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,132,199577,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,223776,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,47604,0,0,0,7.46e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,84,204041,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,228192,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,48572,0,0,0,7.6e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,132,208577,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,232776,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,49540,0,0,0,7.76e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,132,213097,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,237296,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,50508,0,0,0,7.9e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,84,217705,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,241856,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,51476,0,0,0,8.05e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,156,222309,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,246532,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,52444,0,0,0,8.2e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,188,226985,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,251240,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,53412,0,0,0,8.35e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,188,231541,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,255796,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,54380,0,0,0,8.5e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,132,236093,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,260292,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,55348,0,0,0,8.65e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,132,240677,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,264876,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,56316,0,0,0,8.8e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,84,245229,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,269380,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,57284,0,0,0,8.94e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,136,249825,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,274028,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,58252,0,0,0,9.1e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,140,254405,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,278612,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,59220,0,0,0,9.24e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,206,258935,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,283208,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,60188,0,0,0,9.4e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
4,False,False,0,100991232,256,158,263675,3,19,0,0,0,0,0,0.0,0
4,False,False,0,100991232,768,0,287900,3,25,0,1168,0,0,0,4.05e-322,0
4,False,False,0,100991232,1280,0,24,0,0,0,61156,0,0,0,9.54e-322,0
4,False,False,0,100991232,0,0,0,0,25,0,0,0,0,0,0.0,0
