bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue
1,36,37,4,16,3,25,490,18,0,0,0
1,38,38,5,16,3,25,500,18,0,0,0
1,36,38,4,16,3,25,510,18,0,0,0
1,36,38,4,16,3,25,520,18,0,0,0
1,36,38,4,16,3,25,530,18,0,0,0
1,36,38,4,16,3,25,540,18,0,0,0
1,37,38,5,16,3,25,550,18,0,0,0
1,36,38,5,16,3,25,560,18,0,0,0
1,36,38,5,16,3,25,570,18,0,0,0
1,35,38,4,16,3,25,580,18,0,0,0
1,36,38,4,16,3,25,590,18,0,0,0
1,36,38,4,16,3,25,600,18,0,0,0
1,37,38,5,16,3,25,610,18,0,0,0
1,35,38,4,16,3,25,620,18,0,0,0
1,37,38,5,16,3,25,630,18,0,0,0
1,36,38,4,16,3,25,640,18,0,0,0
1,36,38,5,16,3,25,650,18,0,0,0
1,37,38,4,16,3,25,660,18,0,0,0
1,37,38,5,16,3,25,670,18,0,0,0
1,37,38,5,16,3,25,680,18,0,0,0
1,37,38,5,16,3,25,690,18,0,0,0
1,36,38,4,16,3,25,700,18,0,0,0
1,36,38,5,16,3,25,710,18,0,0,0
1,36,38,5,16,3,25,720,18,0,0,0
1,37,38,5,16,3,25,730,18,0,0,0
1,37,38,5,16,3,25,740,18,0,0,0
1,37,38,5,16,3,25,750,18,0,0,0
1,37,38,5,16,3,25,760,18,0,0,0
1,36,38,5,16,3,25,770,18,0,0,0
1,36,38,5,16,3,25,780,18,0,0,0
1,37,38,5,16,3,25,790,18,0,0,0
1,37,38,5,16,3,25,800,18,0,0,0
1,36,38,5,16,3,25,810,18,0,0,0
1,36,38,6,16,3,25,820,18,0,0,0
1,37,38,5,16,3,25,830,18,0,0,0
1,36,38,6,16,3,25,840,18,0,0,0
1,37,38,4,16,3,25,850,18,0,0,0
1,38,38,6,16,3,25,860,18,0,0,0
1,36,38,5,16,3,25,870,18,0,0,0
1,36,38,5,16,3,25,880,18,0,0,0
1,37,38,5,16,3,25,890,18,0,0,0
1,36,38,5,16,3,25,900,18,0,0,0
1,38,38,5,16,3,25,910,18,0,0,0
1,37,38,5,16,3,25,920,18,0,0,0
1,37,38,5,16,3,25,930,18,0,0,0
1,36,38,4,16,3,25,940,18,0,0,0
1,37,38,5,16,3,25,950,18,0,0,0
1,37,38,5,16,3,25,960,18,0,0,0
1,38,38,5,16,3,25,970,18,0,0,0
1,37,38,5,16,3,25,980,18,0,0,0
1,37,38,5,16,3,25,990,18,0,0,0
1,37,38,5,16,3,25,1000,18,0,0,0
1,36,38,5,16,3,25,1010,18,0,0,0
1,36,38,6,16,3,25,1020,18,0,0,0
1,37,38,5,16,3,25,1030,18,0,0,0
1,37,38,5,16,3,25,1040,18,0,0,0
1,37,38,5,16,3,25,1050,18,0,0,0
1,37,38,5,16,3,25,1060,18,0,0,0
1,37,38,5,16,3,25,1070,18,0,0,0
1,38,38,5,16,3,25,1080,18,0,0,0
1,39,39,5,16,3,25,1090,18,0,0,0
1,38,39,6,16,3,25,1100,18,0,0,0
1,37,39,5,16,3,25,1110,18,0,0,0
1,38,39,5,16,3,25,1120,18,0,0,0
1,38,39,5,16,3,25,1130,18,0,0,0
1,38,39,5,16,3,25,1140,18,0,0,0
1,38,39,5,16,3,25,1150,18,0,0,0
1,39,39,5,16,3,25,1160,18,0,0,0
1,39,39,5,16,3,25,1170,18,0,0,0
1,38,39,6,16,3,25,1180,18,0,0,0
1,37,39,5,16,3,25,1190,18,0,0,0
1,38,39,5,16,3,25,1200,18,0,0,0
1,40,40,5,16,3,25,1210,18,0,0,0
1,38,40,5,16,3,25,1220,18,0,0,0
1,39,40,5,16,3,25,1230,18,0,0,0
1,37,40,5,16,3,25,1240,18,0,0,0
1,39,40,5,16,3,25,1250,18,0,0,0
1,40,40,5,16,3,25,1260,18,0,0,0
1,41,41,5,16,3,25,1270,18,0,0,0
1,38,41,5,16,3,25,1280,18,0,0,0
1,38,41,5,16,3,25,1290,18,0,0,0
1,39,41,5,16,3,25,1300,18,0,0,0
1,39,41,5,16,3,25,1310,18,0,0,0
1,38,41,5,16,3,25,1320,18,0,0,0
1,40,41,5,16,3,25,1330,18,0,0,0
1,38,41,5,16,3,25,1340,18,0,0,0
1,39,41,5,16,3,25,1350,18,0,0,0
1,39,41,5,16,3,25,1360,18,0,0,0
1,39,41,5,16,3,25,1370,18,0,0,0
1,40,41,5,16,3,25,1380,18,0,0,0
1,39,41,5,16,3,25,1390,18,0,0,0
1,39,41,5,16,3,25,1400,18,0,0,0
1,41,41,5,16,3,25,1410,18,0,0,0
1,40,41,5,16,3,25,1420,18,0,0,0
1,39,41,5,16,3,25,1430,18,0,0,0
1,39,41,5,16,3,25,1440,18,0,0,0
1,40,41,5,16,3,25,1450,18,0,0,0
1,40,41,5,16,3,25,1460,18,0,0,0
1,39,41,5,16,3,25,1470,18,0,0,0
1,39,41,5,16,3,25,1480,18,0,0,0
1,39,41,5,16,3,25,1490,18,0,0,0
1,39,41,5,16,3,25,1500,18,0,0,0
1,41,41,5,16,3,25,1510,18,0,0,0
1,40,41,5,16,3,25,1520,18,0,0,0
1,39,41,5,16,3,25,1530,18,0,0,0
1,40,41,5,16,3,25,1540,18,0,0,0
1,40,41,5,16,3,25,1550,18,0,0,0
1,40,41,5,16,3,25,1560,18,0,0,0
1,41,41,5,16,3,25,1570,18,0,0,0
1,39,41,5,16,3,25,1580,18,0,0,0
1,40,41,5,16,3,25,1590,18,0,0,0
1,39,41,5,16,3,25,1600,18,0,0,0
1,40,41,5,16,3,25,1610,18,0,0,0
1,41,41,5,16,3,25,1620,18,0,0,0
1,41,41,5,16,3,25,1630,18,0,0,0
1,40,41,5,16,3,25,1640,18,0,0,0
1,39,41,5,16,3,25,1650,18,0,0,0
1,38,41,5,16,3,25,1660,18,0,0,0
1,38,41,5,16,3,25,1670,18,0,0,0
1,37,41,5,16,3,25,1680,18,0,0,0
1,38,41,5,16,3,25,1690,18,0,0,0
1,38,41,5,16,3,25,1700,18,0,0,0
1,38,41,5,16,3,25,1710,18,0,0,0
1,38,41,5,16,3,25,1720,18,0,0,0
1,39,41,5,16,3,25,1730,18,0,0,0
1,38,41,5,16,3,25,1740,18,0,0,0
1,40,41,5,16,3,25,1750,18,0,0,0
1,38,41,5,16,3,25,1760,18,0,0,0
1,38,41,5,16,3,25,1770,18,0,0,0
1,38,41,5,16,3,25,1780,18,0,0,0
1,38,41,5,16,3,25,1790,18,0,0,0
