iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
384699000,18,0,1,39,15,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,2,42,22,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,10,30,58,4609,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,12,34,10,4609,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,23,25,16,4609,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,25,21,38,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,28,43,74,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,31,35,47,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,0,32,41,55,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,7,19,30,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,10,0,2,4609,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384699000,18,2,12,36,17,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,19,39,29,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,21,0,23,4609,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384699000,18,2,26,19,25,4609,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384699000,18,2,27,29,42,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,29,49,57,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384699000,18,2,33,40,41,4609,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,1,39,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,2,43,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,10,20,58,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,12,34,10,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,23,24,16,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384709000,19,0,25,21,38,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
