iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
384699000,3,True,False,True,True,False,True,0,0,0,0,18571,489562
384709000,3,True,False,True,True,False,True,0,0,0,0,18571,499562
384719000,3,True,False,True,True,False,True,0,0,0,0,18571,509562
384729000,3,True,False,True,True,False,True,0,0,0,0,18571,519562
384739000,3,True,False,True,True,False,True,0,0,0,0,18571,529562
384749000,3,True,False,True,True,False,True,0,0,0,0,18571,539562
384759000,3,True,False,True,True,False,True,0,0,0,0,18571,549562
384769000,3,True,False,True,True,False,True,0,0,0,0,18571,559562
384779000,3,True,False,True,True,False,True,0,0,0,0,18571,569562
384789000,3,True,False,True,True,False,True,0,0,0,0,18571,579562
384799000,3,True,False,True,True,False,True,0,0,0,0,18571,589562
384809000,3,True,False,True,True,False,True,0,0,0,0,18571,599562
384819000,3,True,False,True,True,False,True,0,0,0,0,18571,609562
384829000,3,True,False,True,True,False,True,0,0,0,0,18571,619562
384839000,3,True,False,True,True,False,True,0,0,0,0,18571,629562
384849000,3,True,False,True,True,False,True,0,0,0,0,18571,639562
384859000,3,True,False,True,True,False,True,0,0,0,0,18571,649562
384869000,3,True,False,True,True,False,True,0,0,0,0,18571,659562
384879000,3,True,False,True,True,False,True,0,0,0,0,18571,669562
384889000,3,True,False,True,True,False,True,0,0,0,0,18571,679562
384899000,3,True,False,True,True,False,True,0,0,0,0,18571,689562
384909000,3,True,False,True,True,False,True,0,0,0,0,18571,699562
384919000,3,True,False,True,True,False,True,0,0,0,0,18571,709562
384929000,3,True,False,True,True,False,True,0,0,0,0,18571,719562
384939000,3,True,False,True,True,False,True,0,0,0,0,18571,729562
384949000,3,True,False,True,True,False,True,0,0,0,0,18571,739562
384959000,3,True,False,True,True,False,True,0,0,0,0,18571,749562
384969000,3,True,False,True,True,False,True,0,0,0,0,18571,759562
384979000,3,True,False,True,True,False,True,0,0,0,0,18571,769562
384989000,3,True,False,True,True,False,True,0,0,0,0,18571,779562
384999000,3,True,False,True,True,False,True,0,0,0,0,18571,789562
385009000,3,True,False,True,True,False,True,0,0,0,0,18571,799562
385019000,3,True,False,True,True,False,True,0,0,0,0,18571,809562
385029000,3,True,False,True,True,False,True,0,0,0,0,18571,819562
385039000,3,True,False,True,True,False,True,0,0,0,0,18571,829562
385049000,3,True,False,True,True,False,True,0,0,0,0,18571,839561
385059000,3,True,False,True,True,False,True,0,0,0,0,18571,849561
385069000,3,True,False,True,True,False,True,0,0,0,0,18571,859561
385079000,3,True,False,True,True,False,True,0,0,0,0,18571,869561
385089000,3,True,False,True,True,False,True,0,0,0,0,18571,879561
