nBlocks,blockId,jammingState,antStatus,antPower,postStatus,noisePerMS,agcCnt,cwSuppression,ofsI,magI,ofsQ,magQ,rfBlockGnssBand
3,0,0,2,1,16908288,0,0,3,8,227,252,241,1
3,1,0,2,1,16908288,0,0,2,250,150,254,155,4
3,2,0,2,1,16908288,0,0,8,249,197,1,222,2
3,0,0,2,1,16908288,0,0,3,9,225,252,241,1
3,1,0,2,1,16908288,0,0,3,250,168,254,176,4
3,2,0,2,1,16908288,0,0,6,249,197,1,221,2
3,0,0,2,1,16908288,0,0,4,9,234,252,249,1
3,1,0,2,1,16908288,0,0,2,250,146,253,153,4
3,2,0,2,1,16908288,0,0,7,248,199,0,224,2
3,0,0,2,1,16908288,0,0,6,8,236,253,249,1
3,1,0,2,1,16908288,0,0,3,250,237,255,253,4
3,2,0,2,1,16908288,0,0,7,249,210,1,235,2
3,0,0,2,1,16908288,0,0,4,9,240,253,253,1
3,1,0,2,1,16908288,0,0,3,250,158,254,165,4
3,2,0,2,1,16908288,0,0,7,250,218,0,242,2
3,0,0,2,1,16908288,0,0,4,8,234,253,249,1
3,1,0,2,1,16908288,0,0,3,250,179,254,189,4
3,2,0,2,1,16908288,0,0,7,248,218,0,241,2
3,0,0,2,1,16908288,0,0,4,8,237,252,254,1
3,1,0,2,1,16908288,0,0,2,250,150,254,154,4
3,2,0,2,1,16908288,0,0,11,249,212,0,236,2
3,0,0,2,1,16908288,0,0,4,9,238,254,249,1
3,1,0,2,1,16908288,0,0,3,250,236,255,253,4
3,2,0,2,1,16908288,0,0,9,249,212,0,234,2
3,0,0,2,1,16908288,0,0,4,8,240,253,254,1
3,1,0,2,1,16908288,0,0,2,250,160,255,166,4
3,2,0,2,1,16908288,0,0,7,249,218,1,243,2
3,0,0,2,1,16908288,0,0,4,8,237,253,254,1
3,1,0,2,1,16908288,0,0,3,250,227,254,244,4
3,2,0,2,1,16908288,0,0,9,249,215,1,239,2
3,0,0,2,1,16908288,0,0,5,8,244,253,255,1
3,1,0,2,1,16908288,0,0,3,250,156,255,163,4
3,2,0,2,1,16908288,0,0,10,249,221,1,244,2
3,0,0,2,1,16908288,0,0,3,9,236,253,249,1
3,1,0,2,1,16908288,0,0,2,250,235,255,249,4
3,2,0,2,1,16908288,0,0,10,249,215,1,235,2
3,0,0,2,1,16908288,0,0,5,8,237,252,253,1
3,1,0,2,1,16908288,0,0,3,250,148,254,155,4
3,2,0,2,1,16908288,0,0,10,249,207,0,229,2
3,0,0,2,1,16908288,0,0,5,8,241,252,255,1
3,1,0,2,1,16908288,0,0,2,250,176,254,184,4
3,2,0,2,1,16908288,0,0,12,249,219,0,243,2
3,0,0,2,1,16908288,0,0,6,8,239,252,252,1
3,1,0,2,1,16908288,0,0,3,250,152,254,157,4
3,2,0,2,1,16908288,0,0,6,249,209,0,231,2
3,0,0,2,1,16908288,0,0,3,9,242,253,255,1
3,1,0,2,1,16908288,0,0,3,250,248,254,255,4
3,2,0,2,1,16908288,0,0,7,248,234,1,255,2
3,0,0,2,1,16908288,0,0,3,10,238,253,251,1
3,1,0,2,1,16908288,0,0,2,250,147,254,155,4
3,2,0,2,1,16908288,0,0,13,249,206,0,230,2
3,0,0,2,1,16908288,0,0,4,9,236,253,251,1
3,1,0,2,1,16908288,0,0,3,250,173,255,182,4
3,2,0,2,1,16908288,0,0,7,249,215,1,238,2
3,0,0,2,1,16908288,0,0,3,8,242,253,255,1
3,1,0,2,1,16908288,0,0,2,250,149,254,155,4
3,2,0,2,1,16908288,0,0,7,249,208,1,230,2
3,0,0,2,1,16908288,0,0,4,8,242,253,254,1
3,1,0,2,1,16908288,0,0,3,250,237,254,250,4
3,2,0,2,1,16908288,0,0,10,249,212,0,231,2
3,0,0,2,1,16908288,0,0,8,9,238,253,252,1
3,1,0,2,1,16908288,0,0,3,250,147,255,154,4
3,2,0,2,1,16908288,0,0,15,249,207,1,230,2
3,0,0,2,1,16908288,0,0,3,8,238,254,253,1
3,1,0,2,1,16908288,0,0,3,250,235,254,248,4
3,2,0,2,1,16908288,0,0,13,248,211,0,234,2
3,0,0,2,1,16908288,0,0,4,8,238,253,254,1
3,1,0,2,1,16908288,0,0,3,250,146,254,153,4
3,2,0,2,1,16908288,0,0,18,247,209,0,232,2
3,0,0,2,1,16908288,0,0,5,8,237,253,253,1
3,1,0,2,1,16908288,0,0,3,249,242,254,255,4
3,2,0,2,1,16908288,0,0,13,249,222,1,244,2
3,0,0,2,1,16908288,0,0,5,8,236,253,250,1
3,1,0,2,1,16908288,0,0,2,249,145,254,151,4
3,2,0,2,1,16908288,0,0,10,248,203,0,227,2
3,0,0,2,1,16908288,0,0,4,8,236,253,251,1
3,1,0,2,1,16908288,0,0,3,250,242,255,255,4
3,2,0,2,1,16908288,0,0,5,248,214,1,239,2
3,0,0,2,1,16908288,0,0,4,8,235,252,249,1
3,1,0,2,1,16908288,0,0,2,250,150,254,155,4
3,2,0,2,1,16908288,0,0,6,249,208,1,232,2
3,0,0,2,1,16908288,0,0,5,8,235,253,250,1
3,1,0,2,1,16908288,0,0,2,250,167,254,175,4
3,2,0,2,1,16908288,0,0,5,248,217,1,240,2
3,0,0,2,1,16908288,0,0,5,8,238,252,252,1
3,1,0,2,1,16908288,0,0,3,250,150,253,157,4
3,2,0,2,1,16908288,0,0,5,250,204,1,229,2
3,0,0,2,1,16908288,0,0,4,7,234,253,249,1
