iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
386279000,168,148,81,128,73,60,42
386289000,168,148,81,128,73,60,42
386299000,168,147,81,128,73,60,42
386309000,168,147,81,128,73,60,42
386319000,168,147,81,128,73,60,42
386329000,171,151,81,128,80,68,42
386339000,171,151,81,128,80,68,42
386349000,167,147,80,128,71,57,42
386359000,167,146,80,128,71,57,42
386369000,165,144,80,128,67,53,42
386379000,171,151,81,128,80,68,42
386389000,167,146,80,128,71,57,42
386399000,168,147,80,128,73,60,42
386409000,167,146,80,128,71,57,42
386419000,166,146,79,128,71,57,42
386429000,166,146,79,128,71,57,42
386439000,166,146,79,128,71,58,42
386449000,166,146,79,128,71,58,42
386459000,166,146,79,128,71,58,42
386469000,166,146,79,127,71,58,42
386479000,166,146,79,127,71,58,42
386489000,166,146,79,127,71,58,42
386499000,171,150,80,127,80,68,42
386509000,166,146,79,127,71,58,42
386519000,166,146,79,127,71,58,42
386529000,166,146,79,127,71,58,42
386539000,164,144,79,127,67,53,42
386549000,164,144,79,127,67,53,42
386559000,166,146,79,127,72,58,42
386569000,166,146,79,127,72,58,42
386579000,166,146,79,127,72,58,42
386589000,166,146,79,127,72,58,42
386599000,166,146,79,127,72,58,42
386609000,168,147,81,128,74,59,44
386619000,163,143,79,126,67,53,42
386629000,165,145,79,126,72,58,42
386639000,171,149,82,128,76,62,44
386649000,173,152,82,127,83,71,43
386659000,173,152,82,127,83,71,43
386669000,175,154,84,128,85,72,46
386679000,188,167,86,127,108,98,45
386689000,188,167,86,127,108,98,45
386699000,172,152,82,127,83,71,43
386709000,167,147,80,127,74,61,42
386719000,172,152,82,127,83,71,43
386729000,187,166,86,127,108,98,45
386739000,172,152,81,126,84,72,42
386749000,187,166,85,126,107,98,45
386759000,186,166,85,126,107,98,45
386769000,186,166,85,126,107,98,45
386779000,186,166,85,126,107,97,45
386789000,186,165,85,126,107,97,45
386799000,171,151,81,126,83,71,44
386809000,203,178,97,135,116,102,53
386819000,202,178,97,135,115,102,53
386829000,185,165,84,126,107,97,45
386839000,185,165,84,126,107,97,45
386849000,163,144,77,119,80,67,43
386859000,163,143,77,119,80,67,43
386869000,163,143,77,119,80,67,43
386879000,176,153,87,127,85,69,50
386889000,176,153,87,127,85,69,50
386899000,170,149,84,127,77,57,52
386909000,159,140,75,119,73,57,47
386919000,155,137,73,118,70,56,42
386929000,155,137,73,118,70,56,42
386939000,163,143,77,119,80,67,43
386949000,163,143,77,119,80,67,43
386959000,162,143,77,119,80,67,43
386969000,165,145,78,120,81,68,45
386979000,165,145,78,120,81,68,45
386989000,165,145,78,120,81,68,45
386999000,157,139,75,118,72,57,44
387009000,157,139,75,118,72,57,44
387019000,162,143,77,119,80,67,43
387029000,156,137,74,118,71,57,42
387039000,156,137,74,118,71,57,42
387049000,156,137,73,118,71,57,41
387059000,162,143,77,118,79,67,43
387069000,162,143,77,118,79,67,43
387079000,155,137,73,117,70,56,42
387089000,155,137,73,117,70,56,42
387099000,166,145,80,124,74,57,48
387109000,152,134,71,117,65,51,41
387119000,155,136,73,117,70,56,42
387129000,155,136,73,117,70,56,42
387139000,166,145,80,124,74,57,48
387149000,155,136,73,117,70,56,42
387159000,155,136,73,117,70,56,42
387169000,155,136,73,117,70,56,42
387179000,158,140,73,117,77,64,42
387189000,157,138,74,118,72,57,44
387199000,158,140,74,119,74,57,46
387209000,157,138,74,118,72,57,44
387219000,160,142,75,118,79,65,44
387229000,160,142,75,118,79,65,44
387239000,160,142,75,118,79,65,44
387249000,160,142,75,118,79,65,44
387259000,157,138,74,118,72,57,44
387269000,158,139,74,118,74,57,46
387279000,167,147,80,126,76,57,49
387289000,154,136,72,116,70,56,42
387299000,154,136,72,116,70,56,42
387309000,150,133,70,116,65,51,41
387319000,150,133,70,115,65,51,41
387329000,150,132,70,115,65,51,41
387339000,150,132,70,115,65,50,41
387349000,150,132,70,115,65,50,41
387359000,150,132,70,115,65,50,41
387369000,153,135,72,116,70,56,42
387379000,153,135,72,116,70,56,42
387389000,151,134,70,116,68,55,41
387399000,157,139,72,116,76,64,42
387409000,156,138,72,118,71,57,43
387419000,159,141,73,118,77,64,43
387429000,154,137,70,118,69,55,42
387439000,154,137,70,118,69,55,42
387449000,156,139,72,116,76,64,42
387459000,153,136,70,118,69,55,42
387469000,153,136,70,118,69,55,42
387479000,153,136,70,118,69,55,42
387489000,153,136,70,118,69,55,42
387499000,153,136,70,118,69,54,42
387509000,156,138,72,115,76,64,42
387519000,156,138,72,115,76,64,42
387529000,156,138,72,115,76,64,42
387539000,156,138,72,115,76,64,42
387549000,155,138,72,115,76,64,42
387559000,155,138,72,115,76,64,42
387569000,152,134,71,114,70,57,42
387579000,157,140,72,117,77,64,43
387589000,155,138,71,115,76,63,42
387599000,155,138,71,115,76,63,42
387609000,152,134,71,114,70,57,42
387619000,154,136,71,116,71,57,43
387629000,153,136,71,116,71,57,43
387639000,157,140,71,117,76,63,43
387649000,151,134,71,114,70,57,42
387659000,151,134,71,114,70,57,42
387669000,153,136,71,116,71,57,43
387679000,153,136,71,115,71,57,43
387689000,151,133,71,113,70,57,42
387699000,151,133,71,113,70,57,42
387709000,154,137,71,114,76,63,42
387719000,151,133,70,113,70,57,42
387729000,151,133,70,113,70,57,42
387739000,167,146,80,126,74,58,46
387749000,166,146,80,126,74,58,46
387759000,154,137,70,114,76,63,42
387769000,150,133,70,113,70,57,42
