iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
386279000,386279,79645,1377,18,True,True,True,6
386289000,386289,84368,1377,18,True,True,True,6
386299000,386299,89094,1377,18,True,True,True,6
386309000,386309,93823,1377,18,True,True,True,6
386319000,386319,98554,1377,18,True,True,True,6
386329000,386329,103287,1377,18,True,True,True,7
386339000,386339,108021,1377,18,True,True,True,7
386349000,386349,112755,1377,18,True,True,True,8
386359000,386359,117490,1377,18,True,True,True,8
386369000,386369,122225,1377,18,True,True,True,9
386379000,386379,126962,1377,18,True,True,True,9
386389000,386389,131700,1377,18,True,True,True,9
386399000,386399,136439,1377,18,True,True,True,9
386409000,386409,141178,1377,18,True,True,True,9
386419000,386419,145918,1377,18,True,True,True,9
386429000,386429,150658,1377,18,True,True,True,9
386439000,386439,155397,1377,18,True,True,True,9
386449000,386449,160137,1377,18,True,True,True,9
386459000,386459,164879,1377,18,True,True,True,9
386469000,386469,169621,1377,18,True,True,True,9
386479000,386479,174365,1377,18,True,True,True,9
386489000,386489,179110,1377,18,True,True,True,9
386499000,386499,183855,1377,18,True,True,True,9
386509000,386509,188601,1377,18,True,True,True,9
386519000,386519,193347,1377,18,True,True,True,9
386529000,386529,198091,1377,18,True,True,True,9
386539000,386539,202837,1377,18,True,True,True,9
386549000,386549,207584,1377,18,True,True,True,9
386559000,386559,212331,1377,18,True,True,True,10
386569000,386569,217079,1377,18,True,True,True,10
386579000,386579,221826,1377,18,True,True,True,10
386589000,386589,226576,1377,18,True,True,True,10
386599000,386599,231325,1377,18,True,True,True,10
386609000,386609,236073,1377,18,True,True,True,10
386619000,386619,240822,1377,18,True,True,True,10
386629000,386629,245570,1377,18,True,True,True,10
386639000,386639,250319,1377,18,True,True,True,10
386649000,386649,255068,1377,18,True,True,True,11
386659000,386659,259816,1377,18,True,True,True,12
386669000,386669,264564,1377,18,True,True,True,12
386679000,386679,269313,1377,18,True,True,True,11
386689000,386689,274063,1377,18,True,True,True,11
386699000,386699,278813,1377,18,True,True,True,11
386709000,386709,283562,1377,18,True,True,True,11
386719000,386719,288314,1377,18,True,True,True,10
386729000,386729,293065,1377,18,True,True,True,10
386739000,386739,297817,1377,18,True,True,True,11
386749000,386749,302568,1377,18,True,True,True,11
386759000,386759,307320,1377,18,True,True,True,11
386769000,386769,312076,1377,18,True,True,True,11
386779000,386779,316831,1377,18,True,True,True,11
386789000,386789,321587,1377,18,True,True,True,10
386799000,386799,326344,1377,18,True,True,True,10
386809000,386809,331101,1377,18,True,True,True,10
386819000,386819,335857,1377,18,True,True,True,10
386829000,386829,340614,1377,18,True,True,True,10
386839000,386839,345372,1377,18,True,True,True,11
386849000,386849,350125,1377,18,True,True,True,11
386859000,386859,354876,1377,18,True,True,True,10
386869000,386869,359631,1377,18,True,True,True,10
386879000,386879,364387,1377,18,True,True,True,11
386889000,386889,369143,1377,18,True,True,True,11
386899000,386899,373898,1377,18,True,True,True,11
386909000,386909,378656,1377,18,True,True,True,10
386919000,386919,383416,1377,18,True,True,True,10
386929000,386929,388175,1377,18,True,True,True,10
386939000,386939,392936,1377,18,True,True,True,10
386949000,386949,397697,1377,18,True,True,True,10
386959000,386959,402459,1377,18,True,True,True,10
386969000,386969,407218,1377,18,True,True,True,10
386979000,386979,411978,1377,18,True,True,True,10
386989000,386989,416739,1377,18,True,True,True,10
386999000,386999,421499,1377,18,True,True,True,10
387009000,387009,426259,1377,18,True,True,True,10
387019000,387019,431020,1377,18,True,True,True,10
387029000,387029,435780,1377,18,True,True,True,10
387039000,387039,440541,1377,18,True,True,True,10
387049000,387049,445302,1377,18,True,True,True,10
387059000,387059,450063,1377,18,True,True,True,10
387069000,387069,454825,1377,18,True,True,True,10
387079000,387079,459587,1377,18,True,True,True,10
387089000,387089,464348,1377,18,True,True,True,10
387099000,387099,469112,1377,18,True,True,True,10
387109000,387109,473875,1377,18,True,True,True,10
387119000,387119,478640,1377,18,True,True,True,10
387129000,387129,483406,1377,18,True,True,True,11
387139000,387139,488171,1377,18,True,True,True,11
387149000,387149,492936,1377,18,True,True,True,11
387159000,387159,497700,1377,18,True,True,True,11
387169000,387169,-497536,1377,18,True,True,True,11
387179000,387179,-492770,1377,18,True,True,True,12
387189000,387189,-488002,1377,18,True,True,True,12
387199000,387199,-483233,1377,18,True,True,True,12
387209000,387209,-478467,1377,18,True,True,True,12
387219000,387219,-473700,1377,18,True,True,True,12
387229000,387229,-468934,1377,18,True,True,True,12
387239000,387239,-464169,1377,18,True,True,True,12
387249000,387249,-459402,1377,18,True,True,True,11
387259000,387259,-454635,1377,18,True,True,True,11
387269000,387269,-449868,1377,18,True,True,True,11
387279000,387279,-445101,1377,18,True,True,True,10
387289000,387289,-440333,1377,18,True,True,True,10
387299000,387299,-435565,1377,18,True,True,True,10
387309000,387309,-430797,1377,18,True,True,True,10
387319000,387319,-426030,1377,18,True,True,True,10
387329000,387329,-421262,1377,18,True,True,True,10
387339000,387339,-416494,1377,18,True,True,True,10
387349000,387349,-411727,1377,18,True,True,True,10
387359000,387359,-406959,1377,18,True,True,True,10
387369000,387369,-402189,1377,18,True,True,True,10
387379000,387379,-397420,1377,18,True,True,True,10
387389000,387389,-392648,1377,18,True,True,True,10
387399000,387399,-387877,1377,18,True,True,True,9
387409000,387409,-383105,1377,18,True,True,True,9
387419000,387419,-378334,1377,18,True,True,True,9
387429000,387429,-373563,1377,18,True,True,True,9
387439000,387439,-368792,1377,18,True,True,True,9
387449000,387449,-364022,1377,18,True,True,True,9
387459000,387459,-359252,1377,18,True,True,True,10
387469000,387469,-354482,1377,18,True,True,True,10
387479000,387479,-349713,1377,18,True,True,True,9
387489000,387489,-344941,1377,18,True,True,True,9
387499000,387499,-340169,1377,18,True,True,True,9
