iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
386279000,79654,2401,18,True,True,True,6
386289000,84376,2401,18,True,True,True,5
386299000,89102,2401,18,True,True,True,5
386309000,93831,2401,18,True,True,True,6
386319000,98563,2401,18,True,True,True,6
386329000,103295,2401,18,True,True,True,7
386339000,108029,2401,18,True,True,True,7
386349000,112763,2401,18,True,True,True,8
386359000,117499,2401,18,True,True,True,8
386369000,122233,2401,18,True,True,True,8
386379000,126970,2401,18,True,True,True,8
386389000,131708,2401,18,True,True,True,8
386399000,136447,2401,18,True,True,True,8
386409000,141186,2401,18,True,True,True,8
386419000,145926,2401,18,True,True,True,8
386429000,150666,2401,18,True,True,True,8
386439000,155405,2401,18,True,True,True,8
386449000,160145,2401,18,True,True,True,8
386459000,164887,2401,18,True,True,True,8
386469000,169629,2401,18,True,True,True,9
386479000,174373,2401,18,True,True,True,9
386489000,179118,2401,18,True,True,True,9
386499000,183863,2401,18,True,True,True,9
386509000,188609,2401,18,True,True,True,9
386519000,193355,2401,18,True,True,True,9
386529000,198099,2401,18,True,True,True,9
386539000,202846,2401,18,True,True,True,9
386549000,207592,2401,18,True,True,True,9
386559000,212339,2401,18,True,True,True,9
386569000,217087,2401,18,True,True,True,10
386579000,221835,2401,18,True,True,True,10
386589000,226584,2401,18,True,True,True,10
386599000,231333,2401,18,True,True,True,10
386609000,236081,2401,18,True,True,True,10
386619000,240830,2401,18,True,True,True,10
386629000,245579,2401,18,True,True,True,10
386639000,250327,2401,18,True,True,True,10
386649000,255076,2401,18,True,True,True,11
386659000,259824,2401,18,True,True,True,11
386669000,264572,2401,18,True,True,True,11
386679000,269321,2401,18,True,True,True,11
386689000,274071,2401,18,True,True,True,11
386699000,278821,2401,18,True,True,True,11
386709000,283570,2401,18,True,True,True,10
386719000,288322,2401,18,True,True,True,10
386729000,293073,2401,18,True,True,True,10
386739000,297825,2401,18,True,True,True,10
386749000,302576,2401,18,True,True,True,10
386759000,307328,2401,18,True,True,True,11
386769000,312084,2401,18,True,True,True,11
386779000,316839,2401,18,True,True,True,10
386789000,321595,2401,18,True,True,True,10
386799000,326352,2401,18,True,True,True,10
386809000,331110,2401,18,True,True,True,10
386819000,335865,2401,18,True,True,True,10
386829000,340622,2401,18,True,True,True,10
386839000,345380,2401,18,True,True,True,10
386849000,350133,2401,18,True,True,True,10
386859000,354884,2401,18,True,True,True,10
386869000,359639,2401,18,True,True,True,10
386879000,364395,2401,18,True,True,True,10
