iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
386279000,6,386279,79645,1377,18,True,True,True
386289000,6,386289,84368,1377,18,True,True,True
386299000,6,386299,89094,1377,18,True,True,True
386309000,6,386309,93823,1377,18,True,True,True
386319000,6,386319,98554,1377,18,True,True,True
386329000,7,386329,103287,1377,18,True,True,True
386339000,7,386339,108021,1377,18,True,True,True
386349000,8,386349,112755,1377,18,True,True,True
386359000,8,386359,117490,1377,18,True,True,True
386369000,9,386369,122225,1377,18,True,True,True
386379000,9,386379,126962,1377,18,True,True,True
386389000,9,386389,131700,1377,18,True,True,True
386399000,9,386399,136439,1377,18,True,True,True
386409000,9,386409,141178,1377,18,True,True,True
386419000,9,386419,145918,1377,18,True,True,True
386429000,9,386429,150658,1377,18,True,True,True
386439000,9,386439,155397,1377,18,True,True,True
386449000,9,386449,160137,1377,18,True,True,True
386459000,9,386459,164879,1377,18,True,True,True
386469000,9,386469,169621,1377,18,True,True,True
386479000,9,386479,174365,1377,18,True,True,True
386489000,9,386489,179110,1377,18,True,True,True
386499000,9,386499,183855,1377,18,True,True,True
386509000,9,386509,188601,1377,18,True,True,True
386519000,9,386519,193347,1377,18,True,True,True
386529000,9,386529,198091,1377,18,True,True,True
386539000,9,386539,202837,1377,18,True,True,True
386549000,9,386549,207584,1377,18,True,True,True
386559000,10,386559,212331,1377,18,True,True,True
386569000,10,386569,217079,1377,18,True,True,True
386579000,10,386579,221826,1377,18,True,True,True
386589000,10,386589,226576,1377,18,True,True,True
386599000,10,386599,231325,1377,18,True,True,True
386609000,10,386609,236073,1377,18,True,True,True
386619000,10,386619,240822,1377,18,True,True,True
386629000,10,386629,245570,1377,18,True,True,True
386639000,10,386639,250319,1377,18,True,True,True
386649000,11,386649,255068,1377,18,True,True,True
386659000,12,386659,259816,1377,18,True,True,True
386669000,12,386669,264564,1377,18,True,True,True
386679000,11,386679,269313,1377,18,True,True,True
386689000,11,386689,274063,1377,18,True,True,True
386699000,11,386699,278813,1377,18,True,True,True
386709000,11,386709,283562,1377,18,True,True,True
386719000,10,386719,288314,1377,18,True,True,True
386729000,10,386729,293065,1377,18,True,True,True
386739000,11,386739,297817,1377,18,True,True,True
386749000,11,386749,302568,1377,18,True,True,True
386759000,11,386759,307320,1377,18,True,True,True
386769000,11,386769,312076,1377,18,True,True,True
386779000,11,386779,316831,1377,18,True,True,True
386789000,10,386789,321587,1377,18,True,True,True
386799000,10,386799,326344,1377,18,True,True,True
386809000,10,386809,331101,1377,18,True,True,True
386819000,10,386819,335857,1377,18,True,True,True
386829000,10,386829,340614,1377,18,True,True,True
386839000,11,386839,345372,1377,18,True,True,True
386849000,11,386849,350125,1377,18,True,True,True
386859000,10,386859,354876,1377,18,True,True,True
386869000,10,386869,359631,1377,18,True,True,True
386879000,11,386879,364387,1377,18,True,True,True
386889000,11,386889,369143,1377,18,True,True,True
386899000,11,386899,373898,1377,18,True,True,True
386909000,10,386909,378656,1377,18,True,True,True
386919000,10,386919,383416,1377,18,True,True,True
386929000,10,386929,388175,1377,18,True,True,True
386939000,10,386939,392936,1377,18,True,True,True
386949000,10,386949,397697,1377,18,True,True,True
386959000,10,386959,402459,1377,18,True,True,True
386969000,10,386969,407218,1377,18,True,True,True
386979000,10,386979,411978,1377,18,True,True,True
386989000,10,386989,416739,1377,18,True,True,True
386999000,10,386999,421499,1377,18,True,True,True
387009000,10,387009,426259,1377,18,True,True,True
387019000,10,387019,431020,1377,18,True,True,True
387029000,10,387029,435780,1377,18,True,True,True
387039000,10,387039,440541,1377,18,True,True,True
387049000,10,387049,445302,1377,18,True,True,True
387059000,10,387059,450063,1377,18,True,True,True
387069000,10,387069,454825,1377,18,True,True,True
387079000,10,387079,459587,1377,18,True,True,True
387089000,10,387089,464348,1377,18,True,True,True
387099000,10,387099,469112,1377,18,True,True,True
387109000,10,387109,473875,1377,18,True,True,True
387119000,10,387119,478640,1377,18,True,True,True
387129000,11,387129,483406,1377,18,True,True,True
387139000,11,387139,488171,1377,18,True,True,True
387149000,11,387149,492936,1377,18,True,True,True
387159000,11,387159,497700,1377,18,True,True,True
387169000,11,387169,-497536,1377,18,True,True,True
387179000,12,387179,-492770,1377,18,True,True,True
387189000,12,387189,-488002,1377,18,True,True,True
387199000,12,387199,-483233,1377,18,True,True,True
387209000,12,387209,-478467,1377,18,True,True,True
387219000,12,387219,-473700,1377,18,True,True,True
387229000,12,387229,-468934,1377,18,True,True,True
387239000,12,387239,-464169,1377,18,True,True,True
387249000,11,387249,-459402,1377,18,True,True,True
387259000,11,387259,-454635,1377,18,True,True,True
387269000,11,387269,-449868,1377,18,True,True,True
