epoch,constellation,prn,sat_id,C1,C2,C5,C6,C7,C8,D1,D2,D5# /,D6,D7,D8,L1,L1_LLI,L1_SSI,L2,L2_LLI,L2_SSI,L5,L5_LLI,L5_SSI,L6,L7,L8# /,P2,S1,S2,S5,S6,S7,S8
2025-11-25 15:00:00.000000,G,1,G01,23918365.84,23918368.08,23918374.44,,,,-107.953,-84.119,-80.524,,,,125691850.035,0,7,97941695.45,0,6,93860813.059,0,7,,,,23918367.88,42.35,40.75,46.05,,,
2025-11-25 15:00:00.000000,G,2,G02,24409931.04,,,,,,-1403.102,-1093.328,,,,,128274967.46,0,7,99954501.696,0,6,,,,,,,24409931.44,42.25,41.95,,,,
2025-11-25 15:00:00.000000,G,3,G03,24193888.52,24193893.72,24193894.8,,,,3487.423,2717.472,2604.334,,,,127139741.646,0,6,99069950.95,0,6,94942049.335,0,7,,,,24193893.3,39,39.6,45.05,,,
2025-11-25 15:00:00.000000,G,10,G10,22011045.14,22011048.54,22011049.02,,,,-2949.95,-2298.665,-2202.802,,,,115668790.385,0,8,90131517.891,0,8,86376048.217,0,8,,,,22011048.76,50.75,50.7,51.7,,,
2025-11-25 15:00:00.000000,G,25,G25,22539734.28,22539738.9,22539741.06,,,,-2413.22,-1880.435,-1802.015,,,,118447088.487,0,7,92296451.542,0,7,88450768.064,0,7,,,,22539738.38,46.55,46.3,46.4,,,
2025-11-25 15:00:00.000000,G,26,G26,21682760.08,21682764.5,21682764.8,,,,3058.526,2383.271,2283.908,,,,113943729.022,0,8,88787363.884,0,8,85087903.332,0,9,,,,21682764.4,51.7,51.75,55.4,,,
2025-11-25 15:00:00.000000,G,28,G28,20830512.06,20830512.02,20830517.22,,,,-1040.328,-810.646,-776.871,,,,109465071.495,0,8,85297456.107,0,8,81743417.74,0,9,,,,20830511.8,52.05,51.85,57.9,,,
2025-11-25 15:00:00.000000,G,31,G31,20601385.2,20601384.5,,,,,840.021,654.562,,,,,108261038.583,0,8,84359267.486,0,8,,,,,,,20601384.08,52.55,52.45,,,,
2025-11-25 15:00:00.000000,G,32,G32,21464725.04,21464727.44,21464727.94,,,,-564.224,-439.656,-421.335,,,,112797863.922,0,9,87894438.691,0,9,84232173.078,0,8,,,,21464727.1,54.95,54.95,53.45,,,
2025-11-25 15:00:10.000000,G,1,G01,23918576.04,23918578.3,23918584.66,,,,-112.891,-87.97,-84.374,,,,125692954.675,0,7,97942556.182,0,6,93861637.933,0,7,,,,23918578.1,42.65,40.1,46.05,,,
2025-11-25 15:00:10.000000,G,2,G02,24412603.34,,,,,,-1405.296,-1095.038,,,,,128289010.37,0,7,99965444.201,0,6,,,,,,,24412603.74,42.85,40.7,,,,
2025-11-25 15:00:10.000000,G,3,G03,24187253.56,24187258.78,24187259.82,,,,3486.211,2716.529,2603.073,,,,127104874.704,0,6,99042781.906,0,6,94916012.352,0,7,,,,24187258.34,39,38.2,45.25,,,
2025-11-25 15:00:10.000000,G,10,G10,22016662.48,22016665.88,22016666.36,,,,-2953.954,-2301.785,-2205.841,,,,115698309.585,0,8,90154519.841,0,8,86398091.744,0,8,,,,22016666.1,50.75,50.35,51.55,,,
2025-11-25 15:00:10.000000,G,25,G25,22544331.16,22544335.76,22544337.92,,,,-2418.186,-1884.304,-1805.757,,,,118471245.068,0,7,92315274.813,0,7,88468807.028,0,7,,,,22544335.24,46.05,46.25,46.35,,,
2025-11-25 15:00:10.000000,G,26,G26,21676943.46,21676947.88,21676948.18,,,,3054.796,2380.365,2281.183,,,,113913162.712,0,8,88763546.025,0,8,85065077.893,0,9,,,,21676947.78,51.55,51.4,55.1,,,
2025-11-25 15:00:10.000000,G,28,G28,20832494.48,20832494.44,20832499.66,,,,-1043.119,-812.82,-778.976,,,,109475489.191,0,8,85305573.788,0,8,81751197.18,0,9,,,,20832494.22,52.25,52.15,57.7,,,
2025-11-25 15:00:10.000000,G,31,G31,20599790.82,20599790.12,,,,,835.726,651.215,,,,,108252660.01,0,8,84352738.727,0,8,,,,,,,20599789.7,52.3,52.35,,,,
2025-11-25 15:00:10.000000,G,32,G32,21465800.58,21465803,21465803.48,,,,-566.166,-441.171,-422.791,,,,112803515.86,0,9,87898842.782,0,9,84236393.657,0,8,,,,21465802.64,54.8,54.8,53.2,,,
2025-11-25 15:00:20.000000,G,1,G01,23918796.02,23918798.28,23918804.64,,,,-118.058,-91.996,-88.221,,,,125694110.539,0,7,97943456.834,0,6,93862501.046,0,7,,,,23918798.08,43.1,39.8,46.65,,,
2025-11-25 15:00:20.000000,G,2,G02,24415280.1,,,,,,-1407.903,-1097.069,,,,,128303076.771,0,7,99976405.014,0,6,,,,,,,24415280.52,43.4,40.9,,,,
2025-11-25 15:00:20.000000,G,3,G03,24180621.58,24180626.82,24180627.86,,,,3484.669,2715.327,2601.943,,,,127070023.44,0,6,99015625.083,0,6,94889987.058,0,7,,,,24180626.38,40,40.4,45.9,,,
2025-11-25 15:00:20.000000,G,10,G10,22022287.64,22022291.04,22022291.54,,,,-2958.112,-2305.024,-2209.019,,,,115727869.945,0,8,90177553.867,0,8,86420166.021,0,8,,,,22022291.26,51.25,51.2,52,,,
2025-11-25 15:00:20.000000,G,25,G25,22548937.76,22548942.34,22548944.5,,,,-2423.251,-1888.251,-1809.621,,,,118495452.801,0,7,92334137.951,0,7,88486884.21,0,7,,,,22548941.82,46.2,45.95,47.05,,,
2025-11-25 15:00:20.000000,G,26,G26,21671133.86,21671138.28,21671138.56,,,,3051.185,2377.551,2278.476,,,,113882633.186,0,8,88739756.825,0,8,85042279.918,0,9,,,,21671138.16,51.7,51.55,55.35,,,
2025-11-25 15:00:20.000000,G,28,G28,20834482.28,20834482.26,20834487.48,,,,-1046.056,-815.108,-781.099,,,,109485935.161,0,8,85313713.494,0,8,81758997.735,0,9,,,,20834482.04,52.4,52.45,58.15,,,
2025-11-25 15:00:20.000000,G,31,G31,20598204.58,20598203.88,,,,,831.372,647.823,,,,,108244324.362,0,8,84346243.419,0,8,,,,,,,20598203.46,52.35,52.4,,,,
2025-11-25 15:00:20.000000,G,32,G32,21466880.02,21466882.44,21466882.92,,,,-568.257,-442.8,-424.324,,,,112809188.216,0,9,87903262.777,0,9,84240629.482,0,8,,,,21466882.08,54.95,55,53.65,,,
2025-11-25 15:00:30.000000,G,1,G01,23919026.36,23919028.62,23919034.98,,,,-123.362,-96.128,-92.247,,,,125695320.994,0,7,97944400.022,0,6,93863404.936,0,7,,,,23919028.42,43.25,41.2,46.95,,,
2025-11-25 15:00:30.000000,G,2,G02,24417962,,,,,,-1410.188,-1098.852,,,,,128317170.064,0,7,99987386.764,0,6,,,,,,,24417962.42,43.2,40.9,,,,
2025-11-25 15:00:30.000000,G,3,G03,24173993.26,24173998.54,24173999.56,,,,3482.485,2713.625,2600.569,,,,127035191.41,0,6,98988483.246,0,6,94863976.116,0,7,,,,24173998.12,40.55,40.2,46.45,,,
2025-11-25 15:00:30.000000,G,10,G10,22027921.28,22027924.7,22027925.18,,,,-2962.379,-2308.351,-2212.169,,,,115757474.839,0,8,90200622.589,0,8,86442273.538,0,8,,,,22027924.92,50.8,50.8,52.2,,,
2025-11-25 15:00:30.000000,G,25,G25,22553554.74,22553559.28,22553561.48,,,,-2428.488,-1892.331,-1813.65,,,,118519715.085,0,7,92353043.602,0,7,88505002.123,0,7,,,,22553558.78,45.7,45.6,47.55,,,
2025-11-25 15:00:30.000000,G,26,G26,21665331.94,21665336.34,21665336.62,,,,3047.242,2374.479,2275.535,,,,113852143.996,0,8,88715999.051,0,8,85019512.062,0,9,,,,21665336.22,51.45,51.55,55.45,,,
2025-11-25 15:00:30.000000,G,28,G28,20836476.12,20836476.08,20836481.32,,,,-1049.023,-817.422,-783.382,,,,109496412.787,0,8,85321877.874,0,8,81766821.926,0,9,,,,20836475.88,52.35,52.2,58.35,,,
2025-11-25 15:00:30.000000,G,31,G31,20596627.18,20596626.48,,,,,826.914,644.349,,,,,108236035.117,0,8,84339784.271,0,8,,,,,,,20596626.06,52.4,52.55,,,,
2025-11-25 15:00:30.000000,G,32,G32,21467963.98,21467966.4,21467966.9,,,,-570.511,-444.556,-426.085,,,,112814884.49,0,9,87907701.418,0,9,84244883.18,0,8,,,,21467966.06,54.45,54.5,53.85,,,
2025-11-25 15:00:40.000000,G,1,G01,23919266.38,23919268.66,23919275.02,,,,-129.118,-100.612,-96.227,,,,125696582.171,0,7,97945382.751,0,6,93864346.685,0,7,,,,23919268.46,43.7,40.15,46.5,,,
2025-11-25 15:00:40.000000,G,2,G02,24420648.26,,,,,,-1412.92,-1100.979,,,,,128331286.282,0,7,99998386.378,0,6,,,,,,,24420648.7,42.85,41.25,,,,
2025-11-25 15:00:40.000000,G,3,G03,24167367.88,24167373.18,24167374.2,,,,3480.309,2711.929,2599.121,,,,127000374.777,0,6,98961353.402,0,6,94837976.679,0,7,,,,24167372.76,40.55,41.05,45.75,,,
2025-11-25 15:00:40.000000,G,10,G10,22033562.66,22033566.06,22033566.56,,,,-2966.769,-2311.771,-2215.431,,,,115787120.281,0,8,90223722.892,0,8,86464411.327,0,8,,,,22033566.28,50.85,50.65,51.6,,,
2025-11-25 15:00:40.000000,G,25,G25,22558181.36,22558185.9,22558188.08,,,,-2434.12,-1896.719,-1817.69,,,,118544027.966,0,7,92371988.682,0,7,88523157.811,0,7,,,,22558185.38,45.6,45.25,47.3,,,
2025-11-25 15:00:40.000000,G,26,G26,21659536.96,21659541.34,21659541.62,,,,3043.264,2371.379,2272.475,,,,113821691.368,0,8,88692269.774,0,8,84996771.519,0,9,,,,21659541.24,51.55,51.6,54.9,,,
2025-11-25 15:00:40.000000,G,28,G28,20838475.22,20838475.2,20838480.42,,,,-1052.135,-819.846,-785.721,,,,109506918.107,0,8,85330063.826,0,8,81774666.797,0,9,,,,20838474.98,52.6,52.6,57.9,,,
2025-11-25 15:00:40.000000,G,31,G31,20595057.86,20595057.16,,,,,822.271,640.729,,,,,108227788.282,0,8,84333358.164,0,8,,,,,,,20595056.74,52.65,52.55,,,,
2025-11-25 15:00:40.000000,G,32,G32,21469051.78,21469054.2,21469054.7,,,,-572.914,-446.428,-427.826,,,,112820600.81,0,9,87912155.675,0,9,84249151.84,0,8,,,,21469053.86,54.85,54.95,53.4,,,
2025-11-25 15:00:50.000000,G,1,G01,23919517.02,23919519.28,23919525.64,,,,-134.686,-104.951,-100.493,,,,125697899.235,0,7,97946409.016,0,6,93865330.193,0,7,,,,23919519.08,43.1,40.1,47,,,
2025-11-25 15:00:50.000000,G,2,G02,24423339.84,,,,,,-1415.877,-1103.282,,,,,128345430.543,0,7,100009407.87,0,6,,,,,,,24423340.28,43.65,40.95,,,,
2025-11-25 15:00:50.000000,G,3,G03,24160746.44,24160751.74,24160752.76,,,,3478.686,2710.664,2597.54,,,,126965578.893,0,6,98934239.736,0,6,94811992.765,0,7,,,,24160751.32,40.7,41.15,46.05,,,
2025-11-25 15:00:50.000000,G,10,G10,22039212.72,22039216.12,22039216.62,,,,-2971.345,-2315.336,-2218.99,,,,115816811.444,0,8,90246858.835,0,8,86486583.28,0,8,,,,22039216.34,50.8,51.05,51.8,,,
2025-11-25 15:00:50.000000,G,25,G25,22562818.58,22562823.1,22562825.3,,,,-2439.735,-1901.095,-1821.885,,,,118568396.561,0,7,92390977.169,0,7,88541355.105,0,7,,,,22562822.6,46.05,46.25,47.85,,,
2025-11-25 15:00:50.000000,G,26,G26,21653749.96,21653754.34,21653754.62,,,,3038.839,2367.932,2269.296,,,,113791280.656,0,8,88668573.156,0,8,84974062.263,0,9,,,,21653754.24,51.65,51.65,55.2,,,
2025-11-25 15:00:50.000000,G,28,G28,20840480.58,20840480.56,20840485.8,,,,-1055.591,-822.539,-788.261,,,,109517456.338,0,8,85338275.426,0,8,81782536.242,0,9,,,,20840480.34,52.9,52.85,58.2,,,
2025-11-25 15:00:50.000000,G,31,G31,20593497.6,20593496.9,,,,,817.363,636.906,,,,,108219589.092,0,8,84326969.185,0,8,,,,,,,20593496.48,52.9,52.85,,,,
2025-11-25 15:00:50.000000,G,32,G32,21470144.4,21470146.82,21470147.32,,,,-575.54,-448.475,-429.755,,,,112826342.488,0,9,87916629.698,0,9,84253439.44,0,8,,,,21470146.48,54.9,54.9,53.75,,,
2025-11-25 15:01:00.000000,G,1,G01,23919777.08,23919779.36,23919785.72,,,,-139.107,-108.396,-104.057,,,,125699265.873,0,7,97947473.904,0,6,93866350.717,0,7,,,,23919779.16,42.6,40.3,45.85,,,
2025-11-25 15:01:00.000000,G,2,G02,24426035.54,,,,,,-1418,-1104.938,,,,,128359596.477,0,7,100020446.246,0,6,,,,,,,24426035.98,44.1,40.35,,,,
2025-11-25 15:01:00.000000,G,3,G03,24154127.78,24154133.1,24154134.14,,,,3477.419,2709.679,2596.607,,,,126930797.634,0,6,98907137.469,0,6,94786019.749,0,7,,,,24154132.68,40.8,40.1,44.8,,,
2025-11-25 15:01:00.000000,G,10,G10,22044870.26,22044873.66,22044874.18,,,,-2975.282,-2318.404,-2221.736,,,,115846541.936,0,8,90270025.428,0,8,86508784.59,0,8,,,,22044873.88,50.9,50.75,50.5,,,
2025-11-25 15:01:00.000000,G,25,G25,22567465.18,22567469.72,22567471.9,,,,-2444.282,-1904.637,-1825.322,,,,118592814.504,0,7,92410004.125,0,7,88559589.254,0,7,,,,22567469.2,46.4,46.8,46.85,,,
