message_type,timestamp,iTOW,year,month,day,hour,min,sec,nano,valid,tAcc,fixType,flags,numSV,lon,lat,height,hMSL,hAcc,vAcc
PVT,2025-09-21T13:24:45+00:00,48285.000000000,2025,9,21,13,24,0,98452,0,1099,3,0,6,-0.000008108,0.000002923,-2.002000000,28.430000000,11.607000000,40.363000000
PVT,2025-09-21T13:24:50+00:00,48290.000000000,2025,9,21,13,24,0,97664,0,1070,3,0,6,-0.000008108,0.000002923,-9.473000000,20.958000000,11.060000000,34.042000000
PVT,2025-09-21T13:24:55+00:00,48295.000000000,2025,9,21,13,24,0,96860,0,1059,3,0,6,-0.000008108,0.000002923,-11.279000000,19.153000000,9.873000000,28.454000000
PVT,2025-09-21T13:25:00+00:00,48300.000000000,2025,9,21,13,24,0,96049,0,1051,3,0,7,-0.000008108,0.000002923,-11.169000000,19.262000000,8.843000000,24.098000000
PVT,2025-09-21T13:25:05+00:00,48305.000000000,2025,9,21,13,24,0,95237,0,1046,3,0,7,-0.000008108,0.000002923,-12.013000000,18.418000000,8.097000000,21.056000000
PVT,2025-09-21T13:25:10+00:00,48310.000000000,2025,9,21,13,24,0,94419,0,1042,3,0,8,-0.000008108,0.000002923,-12.270000000,18.161000000,7.553000000,18.967000000
PVT,2025-09-21T13:25:15+00:00,48315.000000000,2025,9,21,13,24,0,93598,0,1039,3,0,8,-0.000008108,0.000002923,-12.638000000,17.793000000,7.102000000,17.526000000
PVT,2025-09-21T13:25:20+00:00,48320.000000000,2025,9,21,13,25,0,92776,0,1035,3,0,9,-0.000008108,0.000002923,-13.494000000,16.938000000,6.582000000,14.946000000
PVT,2025-09-21T13:25:25+00:00,48325.000000000,2025,9,21,13,25,0,91950,0,1034,3,0,9,-0.000008108,0.000002923,-14.166000000,16.265000000,6.358000000,13.992000000
PVT,2025-09-21T13:25:30+00:00,48330.000000000,2025,9,21,13,25,0,91122,0,1033,3,0,9,-0.000008108,0.000002923,-14.897000000,15.534000000,6.285000000,13.851000000
PVT,2025-09-21T13:25:35+00:00,48335.000000000,2025,9,21,13,25,0,90284,0,1032,3,0,9,-0.000008108,0.000002923,-13.816000000,16.615000000,6.032000000,13.254000000
PVT,2025-09-21T13:25:40+00:00,48340.000000000,2025,9,21,13,25,0,89442,0,1031,3,0,9,-0.000008108,0.000002923,-13.190000000,17.242000000,5.830000000,12.788000000
PVT,2025-09-21T13:25:45+00:00,48345.000000000,2025,9,21,13,25,0,88598,0,1030,3,0,9,-0.000008108,0.000002923,-13.003000000,17.428000000,5.721000000,12.399000000
PVT,2025-09-21T13:25:50+00:00,48350.000000000,2025,9,21,13,25,0,87753,0,1029,3,0,9,-0.000008108,0.000002923,-13.419000000,17.013000000,5.458000000,11.701000000
PVT,2025-09-21T13:25:55+00:00,48355.000000000,2025,9,21,13,25,0,86904,0,1028,3,0,9,-0.000008108,0.000002923,-14.008000000,16.423000000,5.354000000,11.387000000
PVT,2025-09-21T13:26:00+00:00,48360.000000000,2025,9,21,13,25,0,86051,0,1028,3,0,9,-0.000008108,0.000002923,-14.370000000,16.061000000,5.343000000,11.312000000
PVT,2025-09-21T13:26:05+00:00,48365.000000000,2025,9,21,13,25,0,85195,0,1028,3,0,9,-0.000008108,0.000002923,-15.039000000,15.392000000,5.317000000,11.244000000
PVT,2025-09-21T13:26:10+00:00,48370.000000000,2025,9,21,13,25,0,84338,0,1027,3,0,9,-0.000008108,0.000002923,-16.114000000,14.317000000,5.106000000,10.793000000
PVT,2025-09-21T13:26:15+00:00,48375.000000000,2025,9,21,13,25,0,83478,0,1024,3,0,9,-0.000008108,0.000002923,-17.357000000,13.074000000,4.706000000,9.888000000
PVT,2025-09-21T13:26:20+00:00,48380.000000000,2025,9,21,13,26,0,82612,0,1021,3,0,9,-0.000008108,0.000002923,-18.066000000,12.365000000,4.120000000,8.553000000
PVT,2025-09-21T13:26:25+00:00,48385.000000000,2025,9,21,13,26,0,81739,0,1018,3,0,9,-0.000008108,0.000002923,-17.840000000,12.591000000,3.732000000,7.661000000
PVT,2025-09-21T13:26:30+00:00,48390.000000000,2025,9,21,13,26,0,80861,0,1017,3,0,9,-0.000008108,0.000002923,-17.654000000,12.777000000,3.508000000,7.188000000
PVT,2025-09-21T13:26:35+00:00,48395.000000000,2025,9,21,13,26,0,79979,0,1017,3,0,9,-0.000008108,0.000002923,-17.645000000,12.786000000,3.388000000,6.944000000
PVT,2025-09-21T13:26:40+00:00,48400.000000000,2025,9,21,13,26,0,79091,0,1016,3,0,9,-0.000008108,0.000002923,-17.285000000,13.147000000,3.320000000,6.812000000
PVT,2025-09-21T13:26:45+00:00,48405.000000000,2025,9,21,13,26,0,78198,0,1016,3,0,9,-0.000008108,0.000002923,-16.582000000,13.849000000,3.312000000,6.748000000
PVT,2025-09-21T13:26:50+00:00,48410.000000000,2025,9,21,13,26,0,77300,0,1016,3,0,9,-0.000008108,0.000002923,-15.881000000,14.551000000,3.325000000,6.706000000
PVT,2025-09-21T13:26:55+00:00,48415.000000000,2025,9,21,13,26,0,76399,0,1016,3,0,9,-0.000008108,0.000002923,-15.371000000,15.061000000,3.350000000,6.696000000
PVT,2025-09-21T13:27:00+00:00,48420.000000000,2025,9,21,13,26,0,75494,0,1016,3,0,9,-0.000008108,0.000002923,-15.444000000,14.987000000,3.371000000,6.722000000
PVT,2025-09-21T13:27:05+00:00,48425.000000000,2025,9,21,13,26,0,74585,0,1016,3,0,9,-0.000008108,0.000002923,-15.689000000,14.743000000,3.370000000,6.732000000
PVT,2025-09-21T13:27:10+00:00,48430.000000000,2025,9,21,13,26,0,73672,0,1016,3,0,9,-0.000008108,0.000002923,-16.045000000,14.386000000,3.410000000,6.838000000
PVT,2025-09-21T13:27:15+00:00,48435.000000000,2025,9,21,13,26,0,72755,0,1016,3,0,9,-0.000008108,0.000002923,-16.379000000,14.052000000,3.362000000,6.783000000
PVT,2025-09-21T13:27:20+00:00,48440.000000000,2025,9,21,13,27,0,71833,0,1016,3,0,9,-0.000008108,0.000002923,-16.659000000,13.772000000,3.327000000,6.716000000
PVT,2025-09-21T13:27:25+00:00,48445.000000000,2025,9,21,13,27,0,70909,0,1016,3,0,9,-0.000008108,0.000002923,-16.937000000,13.494000000,3.282000000,6.643000000
PVT,2025-09-21T13:27:30+00:00,48450.000000000,2025,9,21,13,27,0,69981,0,1016,3,0,9,-0.000008108,0.000002923,-17.139000000,13.292000000,3.266000000,6.596000000
PVT,2025-09-21T13:27:35+00:00,48455.000000000,2025,9,21,13,27,0,69049,0,1016,3,0,9,-0.000008108,0.000002923,-17.141000000,13.290000000,3.280000000,6.580000000
PVT,2025-09-21T13:27:40+00:00,48460.000000000,2025,9,21,13,27,0,68110,0,1016,3,0,9,-0.000008108,0.000002923,-17.048000000,13.383000000,3.311000000,6.568000000
PVT,2025-09-21T13:27:45+00:00,48465.000000000,2025,9,21,13,27,0,67167,0,1016,3,0,9,-0.000008108,0.000002923,-17.219000000,13.212000000,3.323000000,6.556000000
PVT,2025-09-21T13:27:50+00:00,48470.000000000,2025,9,21,13,27,0,66221,0,1016,3,0,9,-0.000008108,0.000002923,-17.373000000,13.059000000,3.305000000,6.501000000
PVT,2025-09-21T13:27:55+00:00,48475.000000000,2025,9,21,13,27,0,65271,0,1016,3,0,9,-0.000008108,0.000002923,-17.509000000,12.922000000,3.295000000,6.492000000
PVT,2025-09-21T13:28:00+00:00,48480.000000000,2025,9,21,13,27,0,64317,0,1016,3,0,9,-0.000008108,0.000002923,-17.549000000,12.882000000,3.285000000,6.568000000
PVT,2025-09-21T13:28:05+00:00,48485.000000000,2025,9,21,13,27,0,63359,0,1016,3,0,9,-0.000008108,0.000002923,-17.575000000,12.856000000,3.313000000,6.697000000
PVT,2025-09-21T13:28:10+00:00,48490.000000000,2025,9,21,13,27,0,62399,0,1016,3,0,9,-0.000008108,0.000002923,-17.547000000,12.884000000,3.326000000,6.700000000
PVT,2025-09-21T13:28:15+00:00,48495.000000000,2025,9,21,13,27,0,61436,0,1016,3,0,9,-0.000008108,0.000002923,-17.679000000,12.752000000,3.300000000,6.635000000
PVT,2025-09-21T13:28:20+00:00,48500.000000000,2025,9,21,13,28,0,60469,0,1016,3,0,9,-0.000008108,0.000002923,-18.183000000,12.249000000,3.292000000,6.600000000
PVT,2025-09-21T13:28:25+00:00,48505.000000000,2025,9,21,13,28,0,59500,0,1016,3,0,9,-0.000008108,0.000002923,-18.599000000,11.833000000,3.349000000,6.825000000
PVT,2025-09-21T13:28:30+00:00,48510.000000000,2025,9,21,13,28,0,58530,0,1017,3,0,9,-0.000008108,0.000002923,-18.927000000,11.504000000,3.388000000,6.967000000
PVT,2025-09-21T13:28:35+00:00,48515.000000000,2025,9,21,13,28,0,57557,0,1017,3,0,9,-0.000008108,0.000002923,-19.313000000,11.118000000,3.487000000,7.192000000
PVT,2025-09-21T13:28:40+00:00,48520.000000000,2025,9,21,13,28,0,56582,0,1019,3,0,9,-0.000008108,0.000002923,-19.442000000,10.989000000,3.701000000,7.647000000
PVT,2025-09-21T13:28:45+00:00,48525.000000000,2025,9,21,13,28,0,55605,0,1020,3,0,9,-0.000008108,0.000002923,-19.252000000,11.180000000,3.897000000,8.116000000
PVT,2025-09-21T13:28:50+00:00,48530.000000000,2025,9,21,13,28,0,54625,0,1021,3,0,9,-0.000008108,0.000002923,-18.695000000,11.736000000,4.083000000,8.601000000
PVT,2025-09-21T13:28:55+00:00,48535.000000000,2025,9,21,13,28,0,53646,0,42,3,0,9,-0.000008108,0.000002923,-18.848000000,11.583000000,4.276000000,9.075000000
PVT,2025-09-21T13:29:00+00:00,48540.000000000,2025,9,21,13,28,0,52664,0,43,3,0,9,-0.000008108,0.000002923,-18.490000000,11.941000000,4.438000000,9.503000000
PVT,2025-09-21T13:29:05+00:00,48545.000000000,2025,9,21,13,28,0,51680,0,44,3,0,9,-0.000008108,0.000002923,-18.341000000,12.090000000,4.581000000,9.867000000
PVT,2025-09-21T13:29:10+00:00,48550.000000000,2025,9,21,13,28,0,50695,0,44,3,0,9,-0.000008108,0.000002923,-18.231000000,12.200000000,4.699000000,10.149000000
PVT,2025-09-21T13:29:15+00:00,48555.000000000,2025,9,21,13,28,0,49708,0,45,3,0,9,-0.000008108,0.000002923,-18.074000000,12.358000000,4.855000000,10.511000000
PVT,2025-09-21T13:29:20+00:00,48560.000000000,2025,9,21,13,29,0,48718,0,46,3,0,9,-0.000008108,0.000002923,-17.465000000,12.966000000,5.025000000,10.844000000
PVT,2025-09-21T13:29:25+00:00,48565.000000000,2025,9,21,13,29,0,47728,0,47,3,0,9,-0.000008108,0.000002923,-17.274000000,13.157000000,5.159000000,11.166000000
PVT,2025-09-21T13:29:30+00:00,48570.000000000,2025,9,21,13,29,0,46739,0,48,3,0,10,-0.000008108,0.000002923,-17.549000000,12.882000000,5.265000000,11.426000000
PVT,2025-09-21T13:29:35+00:00,48575.000000000,2025,9,21,13,29,0,45749,0,48,3,0,10,-0.000008108,0.000002923,-17.449000000,12.982000000,5.367000000,11.647000000
PVT,2025-09-21T13:29:40+00:00,48580.000000000,2025,9,21,13,29,0,44758,0,49,3,0,10,-0.000008108,0.000002923,-17.309000000,13.122000000,5.456000000,11.781000000
PVT,2025-09-21T13:29:45+00:00,48585.000000000,2025,9,21,13,29,0,43766,0,49,3,0,10,-0.000008108,0.000002923,-17.561000000,12.870000000,5.457000000,11.730000000
PVT,2025-09-21T13:29:50+00:00,48590.000000000,2025,9,21,13,29,0,42773,0,48,3,0,10,-0.000008108,0.000002923,-18.374000000,12.058000000,5.334000000,11.378000000
PVT,2025-09-21T13:29:55+00:00,48595.000000000,2025,9,21,13,29,0,41780,0,47,3,0,10,-0.000008108,0.000002923,-19.087000000,11.345000000,5.205000000,11.070000000
PVT,2025-09-21T13:30:00+00:00,48600.000000000,2025,9,21,13,29,0,40785,0,46,3,0,10,-0.000008108,0.000002923,-19.406000000,11.025000000,5.092000000,10.808000000
PVT,2025-09-21T13:30:05+00:00,48605.000000000,2025,9,21,13,29,0,39789,0,46,3,0,10,-0.000008108,0.000002923,-19.286000000,11.146000000,5.000000000,10.574000000
PVT,2025-09-21T13:30:10+00:00,48610.000000000,2025,9,21,13,29,0,38791,0,45,3,0,10,-0.000008108,0.000002923,-18.884000000,11.547000000,4.943000000,10.389000000
PVT,2025-09-21T13:30:15+00:00,48615.000000000,2025,9,21,13,29,0,37793,0,45,3,0,10,-0.000008108,0.000002923,-18.920000000,11.511000000,4.921000000,10.311000000
PVT,2025-09-21T13:30:20+00:00,48620.000000000,2025,9,21,13,30,0,36795,0,45,3,0,10,-0.000008108,0.000002923,-18.847000000,11.584000000,4.938000000,10.327000000
PVT,2025-09-21T13:30:25+00:00,48625.000000000,2025,9,21,13,30,0,35796,0,45,3,0,10,-0.000008108,0.000002923,-19.058000000,11.374000000,4.947000000,10.277000000
PVT,2025-09-21T13:30:30+00:00,48630.000000000,2025,9,21,13,30,0,34797,0,45,3,0,10,-0.000008108,0.000002923,-19.267000000,11.165000000,5.006000000,10.321000000
PVT,2025-09-21T13:30:35+00:00,48635.000000000,2025,9,21,13,30,0,33797,0,45,3,0,10,-0.000008108,0.000002923,-19.656000000,10.775000000,5.068000000,10.415000000
PVT,2025-09-21T13:30:40+00:00,48640.000000000,2025,9,21,13,30,0,32798,0,45,3,0,10,-0.000008108,0.000002923,-20.309000000,10.123000000,5.011000000,10.289000000
PVT,2025-09-21T13:30:45+00:00,48645.000000000,2025,9,21,13,30,0,31795,0,45,3,0,10,-0.000008108,0.000002923,-20.477000000,9.955000000,5.015000000,10.347000000
PVT,2025-09-21T13:30:50+00:00,48650.000000000,2025,9,21,13,30,0,30793,0,46,3,0,10,-0.000008108,0.000002923,-20.688000000,9.744000000,5.043000000,10.437000000
PVT,2025-09-21T13:30:55+00:00,48655.000000000,2025,9,21,13,30,0,29790,0,45,3,0,10,-0.000008108,0.000002923,-20.520000000,9.911000000,4.925000000,10.101000000
PVT,2025-09-21T13:31:00+00:00,48660.000000000,2025,9,21,13,30,0,28783,0,43,3,0,10,-0.000008108,0.000002923,-20.151000000,10.280000000,4.775000000,9.624000000
PVT,2025-09-21T13:31:05+00:00,48665.000000000,2025,9,21,13,30,0,27777,0,43,3,0,10,-0.000008108,0.000002923,-19.917000000,10.514000000,4.688000000,9.298000000
PVT,2025-09-21T13:31:10+00:00,48670.000000000,2025,9,21,13,30,0,26769,0,42,3,0,10,-0.000008108,0.000002923,-19.487000000,10.945000000,4.610000000,9.013000000
PVT,2025-09-21T13:31:15+00:00,48675.000000000,2025,9,21,13,30,0,25761,0,41,3,0,10,-0.000008108,0.000002923,-19.110000000,11.321000000,4.554000000,8.798000000
PVT,2025-09-21T13:31:20+00:00,48680.000000000,2025,9,21,13,31,0,24752,0,41,3,0,10,-0.000008108,0.000002923,-18.887000000,11.544000000,4.451000000,8.578000000
PVT,2025-09-21T13:31:25+00:00,48685.000000000,2025,9,21,13,31,0,23743,0,40,3,0,10,-0.000008108,0.000002923,-18.827000000,11.605000000,4.340000000,8.382000000
PVT,2025-09-21T13:31:30+00:00,48690.000000000,2025,9,21,13,31,0,22733,0,40,3,0,10,-0.000008108,0.000002923,-18.772000000,11.659000000,4.325000000,8.258000000
PVT,2025-09-21T13:31:35+00:00,48695.000000000,2025,9,21,13,31,0,21722,0,40,3,0,10,-0.000008108,0.000002923,-18.833000000,11.599000000,4.343000000,8.168000000
PVT,2025-09-21T13:31:40+00:00,48700.000000000,2025,9,21,13,31,0,20712,0,40,3,0,10,-0.000008108,0.000002923,-18.997000000,11.434000000,4.344000000,8.090000000
PVT,2025-09-21T13:31:45+00:00,48705.000000000,2025,9,21,13,31,0,19701,0,40,3,0,10,-0.000008108,0.000002923,-19.329000000,11.103000000,4.392000000,8.050000000
PVT,2025-09-21T13:31:50+00:00,48710.000000000,2025,9,21,13,31,0,18690,0,40,3,0,10,-0.000008108,0.000002923,-19.479000000,10.953000000,4.451000000,8.063000000
PVT,2025-09-21T13:31:55+00:00,48715.000000000,2025,9,21,13,31,0,17677,0,40,3,0,10,-0.000008108,0.000002923,-19.380000000,11.051000000,4.523000000,8.109000000
PVT,2025-09-21T13:32:00+00:00,48720.000000000,2025,9,21,13,31,0,16666,0,40,3,0,10,-0.000008108,0.000002923,-19.360000000,11.072000000,4.600000000,8.168000000
PVT,2025-09-21T13:32:05+00:00,48725.000000000,2025,9,21,13,31,0,15656,0,40,3,0,10,-0.000008108,0.000002923,-19.300000000,11.132000000,4.649000000,8.221000000
PVT,2025-09-21T13:32:10+00:00,48730.000000000,2025,9,21,13,31,0,14646,0,40,3,0,10,-0.000008108,0.000002923,-19.207000000,11.225000000,4.692000000,8.258000000
PVT,2025-09-21T13:32:15+00:00,48735.000000000,2025,9,21,13,31,0,13636,0,40,3,0,10,-0.000008108,0.000002923,-18.960000000,11.471000000,4.736000000,8.277000000
PVT,2025-09-21T13:32:20+00:00,48740.000000000,2025,9,21,13,32,0,12626,0,40,3,0,10,-0.000008108,0.000002923,-18.853000000,11.578000000,4.790000000,8.285000000
PVT,2025-09-21T13:32:25+00:00,48745.000000000,2025,9,21,13,32,0,11617,0,40,3,0,10,-0.000008108,0.000002923,-18.854000000,11.577000000,4.829000000,8.285000000
PVT,2025-09-21T13:32:30+00:00,48750.000000000,2025,9,21,13,32,0,10609,0,40,3,0,10,-0.000008108,0.000002923,-18.714000000,11.717000000,4.858000000,8.279000000
PVT,2025-09-21T13:32:35+00:00,48755.000000000,2025,9,21,13,32,0,9601,0,40,3,0,10,-0.000008108,0.000002923,-18.395000000,12.036000000,4.897000000,8.273000000
PVT,2025-09-21T13:32:40+00:00,48760.000000000,2025,9,21,13,32,0,8592,0,40,3,0,10,-0.000008108,0.000002923,-18.422000000,12.009000000,4.939000000,8.246000000
PVT,2025-09-21T13:32:45+00:00,48765.000000000,2025,9,21,13,32,0,7584,0,40,3,0,10,-0.000008108,0.000002923,-18.380000000,12.052000000,4.985000000,8.276000000
PVT,2025-09-21T13:32:50+00:00,48770.000000000,2025,9,21,13,32,0,6574,0,40,3,0,11,-0.000008108,0.000002923,-17.903000000,12.528000000,4.998000000,8.317000000
PVT,2025-09-21T13:32:55+00:00,48775.000000000,2025,9,21,13,32,0,5564,0,40,3,0,11,-0.000008108,0.000002923,-17.373000000,13.059000000,5.024000000,8.395000000
PVT,2025-09-21T13:33:00+00:00,48780.000000000,2025,9,21,13,32,0,4557,0,40,3,0,11,-0.000008108,0.000002923,-17.338000000,13.094000000,5.062000000,8.372000000
PVT,2025-09-21T13:33:05+00:00,48785.000000000,2025,9,21,13,32,0,3549,0,40,3,0,11,-0.000008108,0.000002923,-17.252000000,13.179000000,5.139000000,8.416000000
PVT,2025-09-21T13:33:10+00:00,48790.000000000,2025,9,21,13,32,0,2539,0,40,3,0,11,-0.000008108,0.000002923,-17.108000000,13.323000000,5.192000000,8.407000000
PVT,2025-09-21T13:33:15+00:00,48795.000000000,2025,9,21,13,32,0,1528,0,40,3,0,11,-0.000008108,0.000002923,-17.251000000,13.180000000,5.218000000,8.394000000
PVT,2025-09-21T13:33:20+00:00,48800.000000000,2025,9,21,13,33,0,514,0,40,3,0,11,-0.000008108,0.000002923,-17.104000000,13.327000000,5.247000000,8.334000000
PVT,2025-09-21T13:33:25+00:00,48805.000000000,2025,9,21,13,33,0,-499,0,40,3,0,11,-0.000008108,0.000002923,-17.045000000,13.387000000,5.274000000,8.314000000
PVT,2025-09-21T13:33:30+00:00,48810.000000000,2025,9,21,13,33,0,-1515,0,40,3,0,11,-0.000008108,0.000002923,-16.509000000,13.923000000,5.292000000,8.359000000
PVT,2025-09-21T13:33:35+00:00,48815.000000000,2025,9,21,13,33,0,-2529,0,40,3,0,10,-0.000008108,0.000002923,-16.478000000,13.954000000,5.319000000,8.447000000
PVT,2025-09-21T13:33:40+00:00,48820.000000000,2025,9,21,13,33,0,-3545,0,40,3,0,11,-0.000008108,0.000002923,-15.843000000,14.588000000,5.382000000,8.493000000
PVT,2025-09-21T13:33:45+00:00,48825.000000000,2025,9,21,13,33,0,-4560,0,40,3,0,11,-0.000008108,0.000002923,-15.315000000,15.116000000,5.394000000,8.473000000
PVT,2025-09-21T13:33:50+00:00,48830.000000000,2025,9,21,13,33,0,-5576,0,40,3,0,11,-0.000008108,0.000002923,-14.654000000,15.777000000,5.418000000,8.453000000
PVT,2025-09-21T13:33:55+00:00,48835.000000000,2025,9,21,13,33,0,-6593,0,40,3,0,11,-0.000008108,0.000002923,-14.111000000,16.320000000,5.468000000,8.347000000
PVT,2025-09-21T13:34:00+00:00,48840.000000000,2025,9,21,13,33,0,-7610,0,40,3,0,11,-0.000008108,0.000002923,-13.862000000,16.570000000,5.536000000,8.238000000
PVT,2025-09-21T13:34:05+00:00,48845.000000000,2025,9,21,13,33,0,-8626,0,40,3,0,11,-0.000008108,0.000002923,-13.856000000,16.575000000,5.645000000,8.156000000
PVT,2025-09-21T13:34:10+00:00,48850.000000000,2025,9,21,13,33,0,-9643,0,40,3,0,11,-0.000008108,0.000002923,-13.758000000,16.673000000,5.758000000,8.104000000
