message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-26T10:18:37.831999+00:00,0,0,469117.832000000,-81.079561200,29.227784300,-17.980000000,12.452000000,0.000000010,-0.000000027,0.400000000,-0.200000000,15717.600000000,11114.000000000,-81.079561190,29.227784273,-17.979600000
HPPOSLLH,2025-09-26T10:18:42+00:00,0,0,469122.000000000,-81.079553600,29.227782600,-19.088000000,11.343000000,-0.000000016,0.000000038,-0.200000000,0.100000000,10093.400000000,14493.800000000,-81.079553616,29.227782638,-19.088200000
HPPOSLLH,2025-09-26T10:18:47+00:00,0,0,469127.000000000,-81.079561100,29.227793500,-16.791000000,13.641000000,0.000000028,-0.000000027,0.200000000,-0.500000000,3778.000000000,5044.500000000,-81.079561072,29.227793473,-16.790800000
HPPOSLLH,2025-09-26T10:18:52+00:00,0,0,469132.000000000,-81.079560500,29.227794100,-16.477000000,13.955000000,0.000000027,-0.000000024,0.200000000,-0.400000000,2716.100000000,3596.200000000,-81.079560473,29.227794076,-16.476800000
HPPOSLLH,2025-09-26T10:18:57+00:00,0,0,469137.000000000,-81.079559800,29.227793600,-16.313000000,14.119000000,-0.000000035,-0.000000033,0.400000000,-0.300000000,2349.000000000,3130.900000000,-81.079559835,29.227793567,-16.312600000
HPPOSLLH,2025-09-26T10:19:02+00:00,0,0,469142.000000000,-81.079560200,29.227793000,-15.989000000,14.442000000,-0.000000011,0.000000038,-0.200000000,0.100000000,2118.100000000,2858.000000000,-81.079560211,29.227793038,-15.989200000
HPPOSLLH,2025-09-26T10:19:07+00:00,0,0,469147.000000000,-81.079561800,29.227792400,-15.395000000,15.036000000,0.000000031,0.000000013,-0.300000000,0.000000000,1963.000000000,2663.900000000,-81.079561769,29.227792413,-15.395300000
HPPOSLLH,2025-09-26T10:19:12+00:00,0,0,469152.000000000,-81.079562900,29.227792400,-14.957000000,15.474000000,0.000000047,0.000000000,-0.500000000,-0.200000000,1862.100000000,2538.300000000,-81.079562853,29.227792400,-14.957500000
HPPOSLLH,2025-09-26T10:19:17+00:00,0,0,469157.000000000,-81.079564300,29.227792900,-14.583000000,15.848000000,0.000000034,-0.000000044,-0.300000000,0.100000000,1783.000000000,2445.500000000,-81.079564266,29.227792856,-14.583300000
HPPOSLLH,2025-09-26T10:19:22+00:00,0,0,469162.000000000,-81.079566000,29.227793500,-14.228000000,16.203000000,0.000000010,-0.000000013,-0.300000000,0.000000000,1713.200000000,2362.400000000,-81.079565990,29.227793487,-14.228300000
HPPOSLLH,2025-09-26T10:19:27+00:00,0,0,469167.000000000,-81.079566900,29.227793800,-14.009000000,16.422000000,-0.000000049,0.000000038,-0.400000000,0.000000000,1661.200000000,2296.100000000,-81.079566949,29.227793838,-14.009400000
HPPOSLLH,2025-09-26T10:19:32+00:00,0,0,469172.000000000,-81.079568800,29.227794800,-13.683000000,16.748000000,-0.000000016,0.000000049,0.100000000,0.400000000,1607.000000000,2223.800000000,-81.079568816,29.227794849,-13.682900000
HPPOSLLH,2025-09-26T10:19:37+00:00,0,0,469177.000000000,-81.079569700,29.227795600,-13.724000000,16.708000000,0.000000038,0.000000031,0.500000000,-0.200000000,1577.300000000,2199.300000000,-81.079569662,29.227795631,-13.723500000
HPPOSLLH,2025-09-26T10:19:42+00:00,0,0,469182.000000000,-81.079570500,29.227796700,-13.800000000,16.631000000,0.000000019,0.000000025,0.100000000,0.400000000,1561.000000000,2187.400000000,-81.079570481,29.227796725,-13.799900000
