message_type,timestamp,iTOW,week,leapS,numMeas,recStat,version,meas_index,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,0,21711915.8468339,114096887.145892,1831.400024414,0,10,0,0,1000,52,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,1,19830324.2953919,104209056.927055,203.686523438,0,23,0,0,1000,44,3,1,6,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,2,23891814.3074434,125552331.104447,-1264.733154297,0,27,0,0,1000,41,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,3,21619054.7959653,113608898.996311,1268.409423828,0,32,0,0,1000,45,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,4,22893844.486922,120307964.075672,-95.943359375,2,3,0,0,1000,44,4,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,5,22512293.1157973,118302898.071292,-2071.041259766,2,5,0,0,1000,43,4,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,6,23618092.0957975,122985602.574708,1132.150878906,3,20,0,0,1000,51,3,1,5,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,7,23760271.8651072,123725970.134561,840.773925781,3,29,0,0,1000,45,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,8,21956424.9554574,114332865.565676,-610.585449219,3,32,0,0,1000,52,3,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,9,19834604.0773016,105841247.838918,-1032.897949219,6,2,0,3,1000,51,5,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,10,21055200.5310523,112394089.082687,2577.016357422,6,18,0,4,1000,51,5,1,4,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,11,21762008.0260038,116330404.05122,-2405.106933594,6,1,0,8,0,25,9,15,10,1
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,12,20867610.4459779,111588490.201845,-4267.529785156,6,24,0,9,1000,30,7,7,9,15
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,13,18961634.0808126,101467533.284213,-869.224609375,6,17,0,11,1000,43,5,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,14,23786664.3954843,124999764.507819,1476.665283203,2,15,0,0,1000,45,3,1,5,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,15,21320195.010223,114128672.723446,1163.626708984,6,3,0,12,1000,50,5,1,4,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,16,22893847.275746,92184035.8868687,-73.446289062,2,3,6,0,1000,43,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,17,22512300.0410907,90647703.3956769,-1586.905273438,2,5,6,0,1000,44,3,1,6,7
RAWX,2025-09-28T15:18:20+00:00,0,2386,18,23,0,0,18,23786671.2720567,95779067.9919898,1131.491210938,2,15,6,0,1000,50,3,1,4,7
