timestamp_utc,iTOW,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,pAcc,invalidEcef,ecefX_full_m,ecefY_full_m,ecefZ_full_m
,82835000,86378001,-550317333,309597619,4,48,-1,174053,False,863780.0104,-5503173.3252,3095976.1899
2025-09-28T23:00:17.000278+00:00,82840000,86378042,-550317318,309597351,21,3,44,156658,False,863780.4221000001,-5503173.179699999,3095973.5143999998
2025-09-28T23:00:22.000279+00:00,82845000,86378095,-550317343,309597096,27,26,-45,132346,False,863780.9526999999,-5503173.427399999,3095970.9555
2025-09-28T23:00:27.000280+00:00,82850000,86378095,-550317374,309597076,-20,-49,26,115170,False,863780.948,-5503173.7449,3095970.7625999996
2025-09-28T23:00:32.000281+00:00,82855000,86378090,-550317396,309597078,9,37,-40,103420,False,863780.9009,-5503173.9563,3095970.7759999996
2025-09-28T23:00:37.000282+00:00,82860000,86378108,-550317419,309596993,22,-16,-18,96023,False,863781.0822,-5503174.1916000005,3095969.9282
2025-09-28T23:00:42.000283+00:00,82865000,86378133,-550317432,309596909,42,22,-26,89344,False,863781.3341999999,-5503174.3178,3095969.0874
2025-09-28T23:00:47.000284+00:00,82870000,86378165,-550317434,309596819,29,30,13,83495,False,863781.6529,-5503174.337,3095968.1913
2025-09-28T23:00:52.000285+00:00,82875000,86378164,-550317455,309596861,42,-14,26,78964,False,863781.6442,-5503174.5514,3095968.6125999996
2025-09-28T23:00:57.000286+00:00,82880000,86378207,-550317459,309596730,28,32,21,75946,False,863782.0728,-5503174.5868,3095967.3021
2025-09-28T23:01:02.000287+00:00,82885000,86378236,-550317472,309596634,19,-5,24,72656,False,863782.3619,-5503174.7205,3095966.3424
2025-09-28T23:01:07.000288+00:00,82890000,86378262,-550317484,309596554,36,8,-28,69567,False,863782.6236,-5503174.8392,3095965.5372
2025-09-28T23:01:12.000289+00:00,82895000,86378289,-550317491,309596465,26,-50,-18,66538,False,863782.8926,-5503174.915,3095964.6481999997
2025-09-28T23:01:17.000290+00:00,82900000,86378304,-550317499,309596424,-8,-33,-20,64427,False,863783.0392,-5503174.9933,3095964.2380000004
2025-09-28T23:01:22.000291+00:00,82905000,86378308,-550317512,309596411,-48,-27,50,62652,False,863783.0752,-5503175.1227,3095964.1149999998
2025-09-28T23:01:27.000292+00:00,82910000,86378315,-550317521,309596369,-45,-17,38,61055,False,863783.1455,-5503175.2117,3095963.6938
2025-09-28T23:01:32.000293+00:00,82915000,86378317,-550317540,309596344,-44,29,32,60253,False,863783.1656000001,-5503175.397100001,3095963.4432
2025-09-28T23:01:37.000294+00:00,82920000,86378314,-550317549,309596320,17,28,5,60103,False,863783.1417,-5503175.4872,3095963.2005000003
2025-09-28T23:01:42.000295+00:00,82925000,86378309,-550317566,309596318,12,-21,32,60090,False,863783.0912,-5503175.6621,3095963.1832000003
2025-09-28T23:01:47.000295+00:00,82930000,86378313,-550317565,309596287,26,23,-2,60360,False,863783.1326,-5503175.647700001,3095962.8698
2025-09-28T23:01:52.000296+00:00,82935000,86378315,-550317569,309596272,-38,-39,12,60804,False,863783.1462000001,-5503175.6939,3095962.7212
2025-09-28T23:01:57.000297+00:00,82940000,86378319,-550317574,309596257,4,-10,-22,61308,False,863783.1904,-5503175.741,3095962.5678
2025-09-28T23:02:02.000298+00:00,82945000,86378322,-550317582,309596243,-23,-15,23,61412,False,863783.2176999999,-5503175.821500001,3095962.4323
2025-09-28T23:02:07.000299+00:00,82950000,86378328,-550317578,309596217,-19,-32,48,61446,False,863783.2781,-5503175.7832,3095962.1748
2025-09-28T23:02:12.000300+00:00,82955000,86378326,-550317585,309596224,45,29,-21,61363,False,863783.2645,-5503175.8471,3095962.2379
2025-09-28T23:02:17.000301+00:00,82960000,86378323,-550317596,309596240,40,-36,-48,60494,False,863783.2339999999,-5503175.9636,3095962.3951999997
2025-09-28T23:02:22.000302+00:00,82965000,86378317,-550317611,309596252,6,48,-42,59146,False,863783.1706000001,-5503176.1052,3095962.5158
2025-09-28T23:02:27.000303+00:00,82970000,86378311,-550317620,309596256,25,48,-29,57633,False,863783.1124999999,-5503176.1952,3095962.5571
2025-09-28T23:02:32.000304+00:00,82975000,86378312,-550317616,309596234,20,-16,16,56450,False,863783.122,-5503176.1616,3095962.3416
2025-09-28T23:02:37.000305+00:00,82980000,86378313,-550317616,309596209,-33,31,-46,55750,False,863783.1267,-5503176.1569,3095962.0853999997
2025-09-28T23:02:42.000306+00:00,82985000,86378314,-550317615,309596184,44,-46,-15,54449,False,863783.1444,-5503176.1546,3095961.8385
2025-09-28T23:02:47.000307+00:00,82990000,86378309,-550317622,309596197,-39,11,47,54099,False,863783.0861,-5503176.2189,3095961.9747
2025-09-28T23:02:52.000308+00:00,82995000,86378305,-550317624,309596201,31,1,-32,53582,False,863783.0531,-5503176.2399,3095962.0067999996
2025-09-28T23:02:57.000309+00:00,83000000,86378303,-550317623,309596203,36,42,-10,53146,False,863783.0336000001,-5503176.2258,3095962.0289999996
