timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-09-29T00:49:56.000388+00:00,89414000,388672,189,49,1009
2025-09-29T00:49:58.000389+00:00,89416000,389053,188,40,1016
2025-09-29T00:50:00.000389+00:00,89418000,389426,188,26,983
2025-09-29T00:50:02.000389+00:00,89420000,389796,188,22,987
2025-09-29T00:50:04.000390+00:00,89422000,390166,188,20,1008
2025-09-29T00:50:06.000390+00:00,89424000,390538,188,18,1009
2025-09-29T00:50:08.000390+00:00,89426000,390910,188,17,1005
2025-09-29T00:50:10.000391+00:00,89428000,391282,188,16,766
2025-09-29T00:50:12.000391+00:00,89430000,391655,188,15,744
2025-09-29T00:50:14.000392+00:00,89432000,392029,188,14,746
2025-09-29T00:50:16.000392+00:00,89434000,392403,188,14,745
2025-09-29T00:50:18.000392+00:00,89436000,392777,188,13,742
2025-09-29T00:50:20.000393+00:00,89438000,393152,188,13,746
2025-09-29T00:50:22.000393+00:00,89440000,393526,188,12,752
2025-09-29T00:50:24.000393+00:00,89442000,393901,188,12,755
2025-09-29T00:50:26.000394+00:00,89444000,394275,188,12,786
2025-09-29T00:50:28.000394+00:00,89446000,394650,188,12,791
2025-09-29T00:50:30.000395+00:00,89448000,395026,188,11,777
2025-09-29T00:50:32.000395+00:00,89450000,395401,188,11,763
2025-09-29T00:50:34.000395+00:00,89452000,395776,188,11,758
2025-09-29T00:50:36.000396+00:00,89454000,396152,188,10,749
2025-09-29T00:50:38.000396+00:00,89456000,396528,188,10,746
2025-09-29T00:50:40.000396+00:00,89458000,396905,188,10,740
2025-09-29T00:50:42.000397+00:00,89460000,397282,188,10,741
2025-09-29T00:50:44.000397+00:00,89462000,397658,188,9,740
2025-09-29T00:50:46.000398+00:00,89464000,398035,188,9,728
2025-09-29T00:50:48.000398+00:00,89466000,398412,188,9,729
2025-09-29T00:50:50.000398+00:00,89468000,398789,188,9,719
2025-09-29T00:50:52.000399+00:00,89470000,399166,188,8,718
2025-09-29T00:50:54.000399+00:00,89472000,399543,188,8,726
2025-09-29T00:50:56.000399+00:00,89474000,399920,189,8,725
2025-09-29T00:50:58.000400+00:00,89476000,400298,189,8,720
2025-09-29T00:51:00.000400+00:00,89478000,400675,189,8,735
2025-09-29T00:51:02.000401+00:00,89480000,401052,188,8,741
2025-09-29T00:51:04.000401+00:00,89482000,401429,188,8,750
2025-09-29T00:51:06.000401+00:00,89484000,401806,188,8,755
2025-09-29T00:51:08.000402+00:00,89486000,402183,189,8,758
2025-09-29T00:51:10.000402+00:00,89488000,402560,189,8,759
2025-09-29T00:51:12.000402+00:00,89490000,402937,189,8,758
2025-09-29T00:51:14.000403+00:00,89492000,403314,188,8,731
2025-09-29T00:51:16.000403+00:00,89494000,403691,188,8,716
2025-09-29T00:51:18.000404+00:00,89496000,404068,188,8,715
2025-09-29T00:51:20.000404+00:00,89498000,404444,188,8,721
2025-09-29T00:51:22.000404+00:00,89500000,404821,188,8,721
2025-09-29T00:51:24.000405+00:00,89502000,405198,188,8,720
2025-09-29T00:51:26.000405+00:00,89504000,405575,189,8,719
2025-09-29T00:51:28.000405+00:00,89506000,405953,189,8,723
2025-09-29T00:51:30.000406+00:00,89508000,406330,189,8,750
2025-09-29T00:51:32.000406+00:00,89510000,406708,189,8,750
2025-09-29T00:51:34.000407+00:00,89512000,407086,189,8,741
2025-09-29T00:51:36.000407+00:00,89514000,407465,189,8,748
2025-09-29T00:51:38.000407+00:00,89516000,407843,189,8,754
2025-09-29T00:51:40.000408+00:00,89518000,408222,189,8,756
2025-09-29T00:51:42.000408+00:00,89520000,408600,189,8,773
2025-09-29T00:51:44.000408+00:00,89522000,408979,189,8,731
2025-09-29T00:51:46.000409+00:00,89524000,409357,189,8,727
2025-09-29T00:51:48.000409+00:00,89526000,409735,189,8,687
2025-09-29T00:51:50.000410+00:00,89528000,410114,189,8,685
2025-09-29T00:51:52.000410+00:00,89530000,410492,189,8,678
2025-09-29T00:51:54.000410+00:00,89532000,410870,189,7,677
2025-09-29T00:51:56.000411+00:00,89534000,411248,189,7,681
2025-09-29T00:51:58.000411+00:00,89536000,411626,189,7,687
2025-09-29T00:52:00.000412+00:00,89538000,412004,189,7,703
2025-09-29T00:52:02.000412+00:00,89540000,412382,189,7,704
2025-09-29T00:52:04.000412+00:00,89542000,412761,189,7,705
2025-09-29T00:52:06.000413+00:00,89544000,413140,189,7,711
2025-09-29T00:52:08.000413+00:00,89546000,413519,190,7,704
2025-09-29T00:52:10.000413+00:00,89548000,413898,190,7,659
2025-09-29T00:52:12.000414+00:00,89550000,414278,190,7,677
2025-09-29T00:52:14.000414+00:00,89552000,414657,190,7,678
2025-09-29T00:52:16.000415+00:00,89554000,415036,190,7,661
2025-09-29T00:52:18.000415+00:00,89556000,415416,190,7,681
2025-09-29T00:52:20.000415+00:00,89558000,415795,190,7,692
2025-09-29T00:52:22.000416+00:00,89560000,416175,190,7,670
2025-09-29T00:52:24.000416+00:00,89562000,416554,190,7,658
2025-09-29T00:52:26.000416+00:00,89564000,416934,190,7,659
2025-09-29T00:52:28.000417+00:00,89566000,417315,190,7,663
2025-09-29T00:52:30.000417+00:00,89568000,417695,190,7,653
2025-09-29T00:52:32.000418+00:00,89570000,418076,190,7,656
2025-09-29T00:52:34.000418+00:00,89572000,418458,190,7,657
2025-09-29T00:52:36.000418+00:00,89574000,418839,190,7,677
2025-09-29T00:52:38.000419+00:00,89576000,419220,190,7,659
2025-09-29T00:52:40.000419+00:00,89578000,419601,191,7,657
2025-09-29T00:52:42.000419+00:00,89580000,419983,191,7,669
2025-09-29T00:52:44.000420+00:00,89582000,420365,191,7,668
2025-09-29T00:52:46.000420+00:00,89584000,420746,191,7,672
2025-09-29T00:52:48.000421+00:00,89586000,421128,191,7,707
2025-09-29T00:52:50.000421+00:00,89588000,421510,191,7,714
2025-09-29T00:52:52.000421+00:00,89590000,421893,191,7,716
2025-09-29T00:52:54.000422+00:00,89592000,422274,191,7,710
2025-09-29T00:52:56.000422+00:00,89594000,422656,191,7,713
2025-09-29T00:52:58.000423+00:00,89596000,423038,191,7,730
2025-09-29T00:53:00.000423+00:00,89598000,423420,191,7,736
2025-09-29T00:53:02.000423+00:00,89600000,423802,191,7,735
2025-09-29T00:53:04.000424+00:00,89602000,424183,191,7,738
2025-09-29T00:53:06.000424+00:00,89604000,424565,191,7,731
2025-09-29T00:53:08.000424+00:00,89606000,424945,190,7,738
