timestamp_utc,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,invalidLlh,lon_full_deg,lat_full_deg,height_full_m,hMSL_full_m
,89780000,-810796841,292278414,13299,43730,-27,-40,-4,0,178022,159801,False,-81.079684127,29.22784136,13.298599999999999,43.73
2025-09-29T00:56:02.000333+00:00,89785000,-810797373,292279015,10479,40910,-48,-34,-2,2,161811,143205,False,-81.079737348,29.227901466,10.4788,40.910199999999996
2025-09-29T00:56:07.000332+00:00,89790000,-810797283,292279092,7122,37553,32,6,-1,3,147756,127581,False,-81.079728268,29.227909206,7.1219,37.5533
2025-09-29T00:56:12.000331+00:00,89795000,-810796945,292278890,1718,32149,-47,-4,-2,2,131802,111827,False,-81.079694547,29.227888995999997,1.7178,32.1492
2025-09-29T00:56:17.000330+00:00,89800000,-810796718,292278570,-557,29875,30,25,4,-3,118586,101037,False,-81.07967177,29.227857025,-0.5566000000000001,29.8747
2025-09-29T00:56:22.000329+00:00,89805000,-810796605,292278388,-2720,27711,6,39,-4,-1,109204,93127,False,-81.07966049400001,29.227838838999997,-2.7204,27.7109
2025-09-29T00:56:27.000328+00:00,89810000,-810796514,292278261,-4806,25625,38,-34,0,4,102032,85970,False,-81.079651362,29.227826066,-4.806,25.6254
2025-09-29T00:56:32.000327+00:00,89815000,-810796448,292278182,-6358,24074,-29,21,3,-4,96409,80327,False,-81.079644829,29.227818221,-6.3576999999999995,24.073600000000003
2025-09-29T00:56:37.000326+00:00,89820000,-810796408,292278107,-7683,22748,23,12,-4,-1,92565,76114,False,-81.079640777,29.227810712,-7.6834,22.7479
2025-09-29T00:56:42.000325+00:00,89825000,-810796377,292278063,-8620,21812,-6,42,3,-3,89254,72958,False,-81.07963770599999,29.227806341999997,-8.6197,21.811700000000002
2025-09-29T00:56:47.000325+00:00,89830000,-810796354,292278146,-9728,20704,-14,13,3,-4,84572,70300,False,-81.079635414,29.227814613,-9.7277,20.7036
