timestamp_utc,iTOW,ecefX,ecefY,ecefZ,ecefXHp,ecefYHp,ecefZHp,pAcc,invalidEcef,ecefX_full_m,ecefY_full_m,ecefZ_full_m
,511144000,86378030,-550315862,309594875,23,-40,-9,83226,False,863780.3023000001,-5503158.624,3095948.7491
2025-10-03T21:58:50.000104+00:00,511149000,86378022,-550315867,309594883,-37,43,-25,82973,False,863780.2163,-5503158.6657,3095948.8275
2025-10-03T21:58:55.000107+00:00,511154000,86378015,-550315872,309594890,7,-25,41,82842,False,863780.1507,-5503158.7225,3095948.9041
2025-10-03T21:59:00.000109+00:00,511159000,86378011,-550315876,309594894,-11,-1,-9,82753,False,863780.1089,-5503158.7601,3095948.9391
2025-10-03T21:59:05.000112+00:00,511164000,86378011,-550315880,309594891,23,21,4,82696,False,863780.1123,-5503158.7979,3095948.9104
2025-10-03T21:59:10.000115+00:00,511169000,86378013,-550315882,309594896,-5,-40,14,82494,False,863780.1295,-5503158.824,3095948.9614
2025-10-03T21:59:15.000118+00:00,511174000,86378013,-550315886,309594901,41,45,-26,82067,False,863780.1341,-5503158.8555000005,3095949.0074
2025-10-03T21:59:20.000120+00:00,511179000,86378015,-550315893,309594910,45,-43,-3,81764,False,863780.1545000001,-5503158.9343,3095949.0997
2025-10-03T21:59:25.000123+00:00,511184000,86378015,-550315900,309594904,29,39,-25,81533,False,863780.1529,-5503158.9961,3095949.0375
2025-10-03T21:59:30.000126+00:00,511189000,86378018,-550315906,309594895,48,42,21,81410,False,863780.1848,-5503159.055799999,3095948.9521000003
2025-10-03T21:59:35.000129+00:00,511194000,86378022,-550315911,309594893,-49,-30,21,81417,False,863780.2150999999,-5503159.113,3095948.9321000003
2025-10-03T21:59:40.000131+00:00,511199000,86378024,-550315919,309594888,-34,-8,-4,81425,False,863780.2366,-5503159.1908,3095948.8796
2025-10-03T21:59:45.000134+00:00,511204000,86378026,-550315925,309594893,-8,48,-48,81624,False,863780.2592,-5503159.2452,3095948.9252
2025-10-03T21:59:50.000137+00:00,511209000,86378029,-550315931,309594894,-7,14,-22,81735,False,863780.2893000001,-5503159.308599999,3095948.9378
2025-10-03T21:59:55.000140+00:00,511214000,86378031,-550315938,309594899,-15,44,10,81835,False,863780.3085,-5503159.3756,3095948.9910000004
2025-10-03T22:00:00.000142+00:00,511219000,86378032,-550315944,309594900,-48,-36,24,81967,False,863780.3152,-5503159.443600001,3095949.0024
2025-10-03T22:00:05.000145+00:00,511224000,86378033,-550315946,309594898,-29,-17,-25,82072,False,863780.3271,-5503159.4617,3095948.9775
2025-10-03T22:00:10.000148+00:00,511229000,86378034,-550315950,309594897,6,49,-18,82006,False,863780.3406,-5503159.4951,3095948.9682
2025-10-03T22:00:15.000151+00:00,511234000,86378036,-550315953,309594905,-20,-47,-34,81959,False,863780.358,-5503159.534700001,3095949.0466
2025-10-03T22:00:20.000153+00:00,511239000,86378039,-550315958,309594919,-48,31,-39,81919,False,863780.3852,-5503159.5769,3095949.1861
2025-10-03T22:00:25.000156+00:00,511244000,86378040,-550315962,309594929,-31,20,-8,81749,False,863780.3969,-5503159.618,3095949.2892
2025-10-03T22:00:30.000159+00:00,511249000,86378043,-550315960,309594931,-10,-6,-39,81511,False,863780.429,-5503159.6006,3095949.3061
2025-10-03T22:00:35.000162+00:00,511254000,86378046,-550315957,309594936,-28,-9,-17,81365,False,863780.4572,-5503159.570900001,3095949.3583
2025-10-03T22:00:40.000164+00:00,511259000,86378049,-550315953,309594938,28,12,-31,81244,False,863780.4928,-5503159.5288,3095949.3769
2025-10-03T22:00:45.000167+00:00,511264000,86378052,-550315949,309594941,9,-20,-6,81214,False,863780.5209,-5503159.492000001,3095949.4094000002
2025-10-03T22:00:50.000170+00:00,511269000,86378051,-550315947,309594940,-11,-8,-40,81142,False,863780.5089,-5503159.470799999,3095949.3959999997
2025-10-03T22:00:55.000173+00:00,511274000,86378048,-550315951,309594946,8,49,-21,80815,False,863780.4808,-5503159.5051,3095949.4579
2025-10-03T22:01:00.000175+00:00,511279000,86378047,-550315952,309594953,-47,0,-11,80555,False,863780.4652999999,-5503159.52,3095949.5289
2025-10-03T22:01:05.000178+00:00,511284000,86378046,-550315950,309594946,-21,20,-41,80377,False,863780.4578999999,-5503159.498,3095949.4559
2025-10-03T22:01:10.000181+00:00,511289000,86378046,-550315948,309594948,20,-49,39,80495,False,863780.4619999999,-5503159.4849000005,3095949.4839
2025-10-03T22:01:15.000184+00:00,511294000,86378046,-550315946,309594947,-6,5,23,80594,False,863780.4593999999,-5503159.4595,3095949.4723
2025-10-03T22:01:20.000186+00:00,511299000,86378047,-550315942,309594945,25,44,11,80744,False,863780.4724999999,-5503159.4156,3095949.4511
2025-10-03T22:01:25.000189+00:00,511304000,86378046,-550315938,309594935,25,30,-9,80966,False,863780.4624999999,-5503159.377,3095949.3491
2025-10-03T22:01:30.000192+00:00,511309000,86378048,-550315930,309594931,-36,-42,-13,81079,False,863780.4763999999,-5503159.3042,3095949.3087
2025-10-03T22:01:35.000195+00:00,511314000,86378046,-550315925,309594923,-35,21,-44,81462,False,863780.4565,-5503159.2479,3095949.2256
2025-10-03T22:01:40.000197+00:00,511319000,86378048,-550315921,309594926,-41,46,44,81767,False,863780.4759,-5503159.2054,3095949.2643999998
2025-10-03T22:01:45.000200+00:00,511324000,86378050,-550315918,309594939,-24,-50,37,82062,False,863780.4976,-5503159.185,3095949.3937
2025-10-03T22:01:50.000203+00:00,511329000,86378054,-550315913,309594952,-47,49,-10,82221,False,863780.5353,-5503159.1251,3095949.519
2025-10-03T22:01:55.000206+00:00,511334000,86378058,-550315901,309594960,-17,-16,-31,82209,False,863780.5782999999,-5503159.0116,3095949.5969000002
2025-10-03T22:02:00.000208+00:00,511339000,86378061,-550315899,309594979,13,36,-24,82234,False,863780.6113,-5503158.9864,3095949.7876
2025-10-03T22:02:05.000211+00:00,511344000,86378065,-550315894,309594983,31,-17,-26,82234,False,863780.6531,-5503158.9417,3095949.8274000003
2025-10-03T22:02:10.000214+00:00,511349000,86378068,-550315897,309594996,38,31,35,82273,False,863780.6838,-5503158.966899999,3095949.9635
2025-10-03T22:02:15.000217+00:00,511354000,86378074,-550315899,309595004,32,-32,-22,82343,False,863780.7432,-5503158.9932,3095950.0378
2025-10-03T22:02:20.000219+00:00,511359000,86378082,-550315905,309595026,44,13,20,82144,False,863780.8243999999,-5503159.0487,3095950.2619999996
2025-10-03T22:02:25.000222+00:00,511364000,86378091,-550315914,309595056,-15,11,2,81948,False,863780.9085,-5503159.1389,3095950.5602
2025-10-03T22:02:30.000225+00:00,511369000,86378098,-550315920,309595080,-35,27,27,81537,False,863780.9765,-5503159.1973,3095950.8027
2025-10-03T22:02:35.000228+00:00,511374000,86378101,-550315925,309595090,-8,-29,-31,81171,False,863781.0092,-5503159.2529,3095950.8969
2025-10-03T22:02:40.000230+00:00,511379000,86378107,-550315925,309595092,-31,49,-3,80994,False,863781.0669,-5503159.2451,3095950.9197
2025-10-03T22:02:45.000233+00:00,511384000,86378113,-550315926,309595107,17,-42,2,80749,False,863781.1317,-5503159.2642,3095951.0702
2025-10-03T22:02:50.000236+00:00,511389000,86378116,-550315928,309595122,-24,-22,45,80636,False,863781.1576,-5503159.2822,3095951.2245
2025-10-03T22:02:55.000239+00:00,511394000,86378119,-550315930,309595143,-5,-7,46,80380,False,863781.1895,-5503159.3007,3095951.4346000003
2025-10-03T22:03:00.000241+00:00,511399000,86378123,-550315930,309595166,-19,-24,-11,80093,False,863781.2281,-5503159.302399999,3095951.6589
2025-10-03T22:03:05.000244+00:00,511404000,86378127,-550315933,309595195,25,45,32,79801,False,863781.2725,-5503159.3255,3095951.9532000003
2025-10-03T22:03:10.000247+00:00,511409000,86378133,-550315934,309595217,-50,-12,33,79676,False,863781.325,-5503159.3412,3095952.1733
2025-10-03T22:03:15.000250+00:00,511414000,86378137,-550315932,309595228,12,-41,-35,80001,False,863781.3712,-5503159.3241,3095952.2764999997
2025-10-03T22:03:20.000252+00:00,511419000,86378141,-550315934,309595240,-6,48,-29,80441,False,863781.4094,-5503159.3352,3095952.3970999997
2025-10-03T22:03:25.000255+00:00,511424000,86378142,-550315936,309595245,43,13,20,80803,False,863781.4243000001,-5503159.358700001,3095952.452
2025-10-03T22:03:30.000258+00:00,511429000,86378142,-550315936,309595245,21,-47,-30,81144,False,863781.4221000001,-5503159.364700001,3095952.447
2025-10-03T22:03:35.000261+00:00,511434000,86378141,-550315936,309595249,-40,-8,45,81365,False,863781.4060000001,-5503159.3608,3095952.4945
2025-10-03T22:03:40.000263+00:00,511439000,86378138,-550315937,309595246,27,25,-4,81584,False,863781.3827,-5503159.3675,3095952.4596
2025-10-03T22:03:45.000266+00:00,511444000,86378136,-550315938,309595251,32,-45,4,82240,False,863781.3632,-5503159.3845,3095952.5103999996
2025-10-03T22:03:50.000269+00:00,511449000,86378134,-550315935,309595227,25,-2,6,82499,False,863781.3424999999,-5503159.350199999,3095952.2706
2025-10-03T22:03:55.000272+00:00,511454000,86378131,-550315939,309595222,42,27,32,82643,False,863781.3142,-5503159.3873,3095952.2232000004
2025-10-03T22:04:00.000274+00:00,511459000,86378125,-550315948,309595214,-34,24,19,82692,False,863781.2466,-5503159.477600001,3095952.1419
2025-10-03T22:04:05.000277+00:00,511464000,86378119,-550315952,309595205,-40,45,48,82693,False,863781.186,-5503159.5155,3095952.0548
2025-10-03T22:04:10.000280+00:00,511469000,86378112,-550315959,309595207,9,49,42,82792,False,863781.1209,-5503159.5851,3095952.0741999997
2025-10-03T22:04:15.000283+00:00,511474000,86378108,-550315964,309595208,42,-22,-5,83085,False,863781.0841999999,-5503159.6422,3095952.0795
2025-10-03T22:04:20.000285+00:00,511479000,86378107,-550315966,309595205,-21,5,-11,83265,False,863781.0678999999,-5503159.6595,3095952.0489
2025-10-03T22:04:25.000288+00:00,511484000,86378104,-550315966,309595193,24,38,35,83670,False,863781.0424,-5503159.6562,3095951.9335000003
2025-10-03T22:04:30.000291+00:00,511489000,86378100,-550315964,309595174,-48,2,40,84338,False,863780.9952,-5503159.6398,3095951.7440000004
2025-10-03T22:04:35.000294+00:00,511494000,86378093,-550315967,309595166,4,16,-33,84888,False,863780.9304000001,-5503159.6684,3095951.6567
2025-10-03T22:04:40.000296+00:00,511499000,86378088,-550315969,309595154,-44,-48,47,85376,False,863780.8756,-5503159.694800001,3095951.5447
2025-10-03T22:04:45.000299+00:00,511504000,86378078,-550315974,309595136,17,43,44,86023,False,863780.7817,-5503159.7357,3095951.3644
2025-10-03T22:04:50.000302+00:00,511509000,86378068,-550315975,309595115,26,43,-5,86778,False,863780.6826000001,-5503159.7457,3095951.1495
2025-10-03T22:04:55.000305+00:00,511514000,86378061,-550315974,309595098,36,14,18,87489,False,863780.6136,-5503159.7386,3095950.9818
2025-10-03T22:05:00.000307+00:00,511519000,86378052,-550315976,309595077,29,-30,-48,88229,False,863780.5229,-5503159.762999999,3095950.7652
2025-10-03T22:05:05.000310+00:00,511524000,86378046,-550315978,309595065,11,-33,47,88913,False,863780.4611,-5503159.7833,3095950.6547
2025-10-03T22:05:10.000313+00:00,511529000,86378042,-550315984,309595065,-3,34,-15,89681,False,863780.4197000001,-5503159.8366,3095950.6485
2025-10-03T22:05:15.000316+00:00,511534000,86378040,-550315987,309595052,-49,1,4,89876,False,863780.3951,-5503159.8699,3095950.5204
2025-10-03T22:05:20.000318+00:00,511539000,86378039,-550315990,309595041,-20,-44,27,90151,False,863780.388,-5503159.9044,3095950.4127
2025-10-03T22:05:25.000321+00:00,511544000,86378037,-550315994,309595028,30,-15,-48,90378,False,863780.373,-5503159.941500001,3095950.2751999996
2025-10-03T22:05:30.000324+00:00,511549000,86378040,-550315996,309595022,-10,-7,-26,90734,False,863780.399,-5503159.9607,3095950.2174000004
2025-10-03T22:05:35.000327+00:00,511554000,86378041,-550315997,309595007,24,28,17,91185,False,863780.4124,-5503159.9672,3095950.0716999997
2025-10-03T22:05:40.000329+00:00,511559000,86378038,-550316000,309594986,38,-44,49,91579,False,863780.3838,-5503160.0044,3095949.8649
