iTOW,clkB,clkD,tAcc,fAcc
228560000,148824,-9,6,525
228565000,148786,-6,5,526
228570000,148760,-4,5,530
228575000,148741,-3,5,525
228580000,148728,-2,5,518
228585000,148721,-1,5,511
228590000,148718,0,4,506
228595000,148719,1,4,503
228600000,148727,2,4,512
228605000,148741,3,4,515
228610000,148757,4,4,511
228615000,148779,4,4,509
228620000,148802,5,4,511
228625000,148831,6,4,504
228630000,148864,7,4,501
228635000,148900,8,4,508
228640000,148938,8,4,512
228645000,148974,7,4,508
228650000,149011,7,4,499
228655000,149048,7,4,502
228660000,149086,8,4,499
228665000,149126,8,4,503
228670000,149167,8,4,499
228675000,149208,8,4,507
228680000,149246,7,4,506
228685000,149283,7,4,504
228690000,149316,6,4,499
228695000,149345,6,4,487
228700000,149376,7,4,480
228705000,149412,7,4,485
228710000,149447,7,4,487
228715000,149486,8,4,496
228720000,149530,9,4,514
228725000,149580,10,4,520
228730000,149632,10,4,510
228735000,149682,10,4,504
228740000,149720,6,4,537
228745000,149745,5,4,531
228750000,149760,2,4,539
228755000,149770,1,4,548
228760000,149774,1,4,534
228765000,149781,2,4,522
228770000,149792,2,4,518
228775000,149804,2,4,519
228780000,149817,2,4,526
228785000,149826,2,4,528
228790000,149833,2,4,527
228795000,149845,3,4,515
228800000,149861,4,4,514
228805000,149883,5,4,512
228810000,149907,5,4,514
228815000,149930,5,4,518
228820000,149955,5,4,522
228825000,149979,5,4,519
228830000,149995,2,4,521
228835000,150004,2,4,517
228840000,150009,1,4,520
228845000,150015,1,4,522
228850000,150021,2,4,516
228855000,150029,2,4,525
228860000,150039,2,4,525
228865000,150054,3,4,532
228870000,150069,4,4,513
228875000,150087,4,4,507
228880000,150105,4,4,512
228885000,150126,5,4,516
228890000,150151,5,4,518
228895000,150177,5,4,509
228900000,150204,5,4,502
228905000,150228,4,4,515
228910000,150248,4,4,517
228915000,150270,5,4,515
228920000,150294,5,4,517
228925000,150316,4,4,525
228930000,150339,5,4,520
228935000,150366,5,4,529
228940000,150395,6,4,525
228945000,150424,6,4,524
228950000,150447,4,4,523
228955000,150464,3,4,515
228960000,150480,3,4,508
228965000,150498,4,4,509
228970000,150521,5,4,514
228975000,150548,5,4,513
228980000,150578,6,4,513
228985000,150606,5,4,515
228990000,150628,5,4,518
228995000,150653,5,4,502
229000000,150675,4,4,500
229005000,150697,5,4,502
229010000,150722,5,4,493
229015000,150749,6,4,488
229020000,150778,6,4,489
229025000,150808,6,4,493
229030000,150840,7,4,494
229035000,150877,7,4,496
229040000,150913,7,4,498
229045000,150950,7,4,505
229050000,150988,8,4,498
229055000,151028,8,4,493
229060000,151068,8,4,481
229065000,151109,8,4,477
229070000,151151,7,4,486
229075000,151184,6,4,485
229080000,151207,3,4,494
229085000,151220,2,4,497
229090000,151228,1,4,498
229095000,151234,2,4,499
229100000,151244,2,4,501
229105000,151251,2,4,501
229110000,151265,3,4,492
229115000,151283,4,4,486
229120000,151305,5,4,485
229125000,151326,4,4,480
229130000,151347,4,4,479
229135000,151364,3,4,474
229140000,151379,3,4,478
229145000,151394,3,4,475
229150000,151411,3,4,470
229155000,151426,4,4,479
229160000,151438,2,4,493
229165000,151450,3,4,491
229170000,151461,2,4,488
229175000,151468,1,4,480
229180000,151473,1,4,484
229185000,151480,2,4,482
229190000,151487,2,4,476
229195000,151497,2,4,482
229200000,151504,1,4,487
229205000,151511,0,4,495
229210000,151509,0,4,505
229215000,151510,0,4,488
229220000,151510,0,4,492
229225000,151510,0,4,489
229230000,151511,1,4,478
229235000,151518,1,4,479
229240000,151528,2,4,477
229245000,151540,3,4,481
229250000,151555,3,4,486
229255000,151569,3,4,487
229260000,151584,3,4,488
229265000,151588,0,4,509
229270000,151586,0,4,502
229275000,151583,0,4,484
229280000,151583,0,4,484
229285000,151585,0,4,489
229290000,151585,-1,4,494
229295000,151582,-1,4,488
229300000,151579,0,4,484
229305000,151581,1,4,493
229310000,151579,0,4,489
229315000,151578,0,4,483
229320000,151579,0,4,482
229325000,151577,-1,4,480
229330000,151567,-3,4,487
229335000,151550,-5,4,491
229340000,151522,-6,4,495
229345000,151491,-7,4,500
229350000,151460,-6,4,505
229355000,151433,-5,4,483
229360000,151408,-5,4,479
229365000,151383,-5,4,476
229370000,151360,-4,4,483
229375000,151342,-4,4,482
229380000,151327,-2,4,486
229385000,151317,-2,4,484
229390000,151311,-1,4,483
229395000,151306,-1,4,477
229400000,151304,0,4,479
229405000,151304,0,4,474
229410000,151306,1,4,472
229415000,151313,2,4,470
229420000,151325,3,4,478
229425000,151341,4,4,469
229430000,151362,5,4,475
229435000,151385,4,4,465
229440000,151406,4,4,462
229445000,151430,5,4,470
229450000,151456,5,4,480
229455000,151479,5,4,476
229460000,151507,6,4,478
229465000,151539,7,4,464
229470000,151572,6,4,460
229475000,151596,4,4,477
229480000,151614,4,4,480
229485000,151634,2,4,491
229490000,151636,1,4,501
229495000,151642,2,4,497
229500000,151648,1,4,499
229505000,151655,1,4,481
229510000,151657,-1,4,482
229515000,151652,-1,4,479
229520000,151637,-3,4,486
229525000,151621,-3,4,482
229530000,151606,-3,4,471
229535000,151585,-5,4,466
229540000,151563,-4,4,471
229545000,151548,-3,4,469
229550000,151538,-2,4,467
229555000,151528,-2,4,465
229560000,151518,-1,4,469
229565000,151509,-2,4,473
