timestamp_utc,rcvTow,week,leapS,numMeas,recStat,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,trkStat,prValid,cpValid,halfCyc,subHalfCyc
,228560.00400000002,2394,18,24,1,25351975.90888838,133225540.13871911,-932.745849609375,0,1,0,0,1300,39,7,0,2,7,True,True,True,False
,228560.00400000002,2394,18,24,1,27865351.78453355,112202223.77053414,-1177.4326171875,2,36,6,0,0,27,8,0,15,10,False,True,False,True
,228560.00400000002,2394,18,24,1,29353927.230777577,118196097.17001592,360.5041198730469,2,34,6,0,1260,28,7,0,6,8,False,False,False,True
,228560.00400000002,2394,18,24,1,25224034.72354861,101566735.16671525,854.56201171875,2,31,6,0,1400,33,6,0,4,8,False,False,False,True
,228560.00400000002,2394,18,24,1,26945936.491000943,108500117.31230018,-1118.882568359375,2,23,6,0,1380,30,6,0,6,8,False,False,False,True
,228560.00400000002,2394,18,24,1,25462848.446369812,102528335.4601514,685.224853515625,2,9,6,0,1400,32,6,0,5,8,False,False,False,True
,228560.00400000002,2394,18,24,1,25212432.92995098,101520019.69094789,72.123046875,2,6,6,0,1400,33,6,0,5,8,False,False,False,True
,228560.00400000002,2394,18,24,1,27865362.842876133,146433468.40767813,-1536.713623046875,2,36,0,0,1380,40,7,0,2,7,True,True,True,False
,228560.00400000002,2394,18,24,1,25224049.775757425,132553278.06689344,1115.603515625,2,31,0,0,1380,44,7,0,1,6,False,True,True,False
,228560.00400000002,2394,18,24,1,26945950.607529085,141601915.76193035,-1460.4488525390625,2,23,0,0,1400,36,7,0,3,7,True,True,True,False
,228560.00400000002,2394,18,24,1,25462862.90869147,133808262.05725293,894.634765625,2,9,0,0,1380,41,7,0,2,6,False,True,True,False
,228560.00400000002,2394,18,24,1,25212450.156945534,132492314.01165378,94.074951171875,2,6,0,0,1400,41,6,0,2,6,False,True,True,False
,228560.00400000002,2394,18,24,1,26001739.860702287,136640064.51269844,-718.4557495117188,2,4,0,0,1380,40,7,0,2,7,True,True,True,False
,228560.00400000002,2394,18,24,1,22965592.954067163,120684996.46822453,-983.6149291992188,0,32,0,0,1320,43,7,0,2,7,True,True,True,False
,228560.00400000002,2394,18,24,1,21694679.38630424,114006310.6707806,117.666748046875,0,31,0,0,1320,45,6,0,1,6,False,True,True,False
,228560.00400000002,2394,18,24,1,26692720.107630156,140271104.59257188,1360.206787109375,0,29,0,0,1000,29,8,0,6,9,True,False,False,True
,228560.00400000002,2394,18,24,1,22505216.461918663,118265709.45001145,-1454.764404296875,0,28,0,0,1320,42,7,0,2,6,False,True,True,False
,228560.00400000002,2394,18,24,1,22025678.237047806,115745715.53313997,2239.29443359375,0,26,0,0,1320,47,6,0,1,5,True,False,True,False
,228560.00400000002,2394,18,24,1,24735435.19314513,129985565.96197884,-3181.47509765625,0,25,0,0,1320,32,7,0,5,8,False,False,False,True
,228560.00400000002,2394,18,24,1,24752952.176953502,130077623.43866606,3937.15087890625,0,16,0,0,1320,38,7,0,2,7,True,True,True,False
,228560.00400000002,2394,18,24,1,24340972.40319258,127912666.33256471,-3542.412841796875,0,10,0,0,1320,45,6,0,1,6,False,True,True,False
,228560.00400000002,2394,18,24,1,24349817.34515067,127959126.62876396,3043.427490234375,0,3,0,0,1320,37,7,0,4,8,False,False,False,True
,228560.00400000002,2394,18,24,1,26182511.093457665,137589996.08519524,-1679.609375,0,2,0,0,1300,38,7,0,3,7,True,True,True,False
,228560.00400000002,2394,18,24,1,28640121.604856044,150504822.67300066,1815.786865234375,2,5,0,0,1420,33,8,0,4,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,26957196.351002205,141661030.00543803,-1493.096923828125,2,23,0,0,17400,36,5,0,3,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25215693.340709012,132509383.45258069,1081.26708984375,2,31,0,0,17380,43,4,0,1,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,29350537.74550538,154238071.9603081,436.4538269042969,2,34,0,0,15000,28,7,0,8,9,True,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,27877176.601895418,146495561.90184373,-1565.445068359375,2,36,0,0,17380,39,5,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25211803.775193736,101517485.74777745,56.691646575927734,2,6,6,0,17400,32,5,0,4,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,27877167.213119864,112249803.10082605,-1199.84814453125,2,36,6,0,15000,27,7,0,7,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,26957185.957931723,108545412.60621567,-1144.28857421875,2,23,6,0,17380,30,5,0,6,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25215682.040855415,101533101.64035435,828.845947265625,2,31,6,0,17400,33,5,0,5,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,29350482.14485381,118182227.21007991,334.58642578125,2,34,6,0,17260,28,7,0,5,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25456128.905613173,133772885.120783,876.5126342773438,2,9,0,0,17380,41,4,0,1,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25456115.888099745,102501228.4285133,671.5908203125,2,9,6,0,17400,32,5,0,5,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25211815.86030713,132489007.08268973,73.31396484375,2,6,0,0,17400,41,4,0,2,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,26007296.161428694,136669270.56278834,-739.600341796875,2,4,0,0,17380,39,4,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,22973195.43710194,120724955.22221045,-1011.763427734375,0,32,0,0,17320,43,4,0,2,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,26195377.73118772,137657631.73748776,-1699.7008056640625,0,2,0,0,17300,37,5,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,24326777.933093946,127838065.96644674,3012.143798828125,0,3,0,0,17320,40,5,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,24368045.05343289,128054948.38067317,-3569.4697265625,0,10,0,0,17320,44,3,0,1,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,24723070.648505874,129920609.17130412,3916.19873046875,0,16,0,0,17320,38,5,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,24759778.947343722,130113487.33496554,-3212.291015625,0,25,0,0,17320,32,6,0,5,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,25359212.34079966,133263578.8145018,-965.83056640625,0,1,0,0,17300,35,6,0,4,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,22008785.026768338,115656958.49919656,2200.677490234375,0,26,0,0,17320,47,3,0,1,5,True,False,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,21693909.65789775,114002283.82974538,85.943115234375,0,31,0,0,17320,45,3,0,1,6,False,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,28626366.385216676,150432499.77080926,1801.908447265625,2,5,0,0,17420,33,6,0,5,8,False,False,False,True
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,22516390.096973833,118324437.61695229,-1478.980712890625,0,28,0,0,17320,41,4,0,2,7,True,True,True,False
2025-11-25T15:29:37.000148+00:00,228600.00400000002,2394,18,25,1,26682481.86169195,140217341.0171746,1332.29736328125,0,29,0,0,5000,27,7,0,8,8,False,False,False,True
