timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-11-30T20:45:38.000458+00:00,74757000,541889,538,11,743
2025-11-30T20:45:48.000453+00:00,74767000,547268,538,11,716
2025-11-30T20:45:58.000447+00:00,74777000,552646,538,11,710
2025-11-30T20:46:08.000442+00:00,74787000,558025,538,11,723
2025-11-30T20:46:18.000437+00:00,74797000,563403,538,11,711
2025-11-30T20:46:28.000431+00:00,74807000,568780,538,11,715
2025-11-30T20:46:38.000426+00:00,74817000,574158,538,11,694
2025-11-30T20:46:48.000420+00:00,74827000,579534,538,11,703
2025-11-30T20:46:58.000415+00:00,74837000,584910,537,10,708
2025-11-30T20:47:08.000410+00:00,74847000,590286,538,10,720
2025-11-30T20:47:18.000404+00:00,74857000,595662,538,10,713
2025-11-30T20:47:28.000399+00:00,74867000,601039,537,10,703
2025-11-30T20:47:38.000394+00:00,74877000,606416,538,10,707
2025-11-30T20:47:48.000388+00:00,74887000,611792,538,10,726
2025-11-30T20:47:58.000383+00:00,74897000,617168,537,10,721
2025-11-30T20:48:08.000377+00:00,74907000,622543,538,10,718
2025-11-30T20:48:18.000372+00:00,74917000,627919,538,10,651
2025-11-30T20:48:28.000367+00:00,74927000,633296,538,10,663
2025-11-30T20:48:38.000361+00:00,74937000,638670,538,10,710
2025-11-30T20:48:48.000356+00:00,74947000,644046,537,10,719
2025-11-30T20:48:58.000351+00:00,74957000,649422,538,11,745
2025-11-30T20:49:08.000345+00:00,74967000,654795,537,11,720
2025-11-30T20:49:18.000340+00:00,74977000,660168,537,10,728
2025-11-30T20:49:28.000334+00:00,74987000,665541,537,10,743
2025-11-30T20:49:38.000329+00:00,74997000,670912,537,11,752
2025-11-30T20:49:48.000324+00:00,75007000,676286,537,11,759
2025-11-30T20:49:58.000318+00:00,75017000,681659,537,11,771
2025-11-30T20:50:08.000313+00:00,75027000,687029,537,11,806
2025-11-30T20:50:18.000308+00:00,75037000,692401,537,11,818
2025-11-30T20:50:28.000302+00:00,75047000,697772,537,12,830
2025-11-30T20:50:38.000297+00:00,75057000,703143,537,12,844
2025-11-30T20:50:48.000292+00:00,75067000,708514,537,12,833
2025-11-30T20:50:58.000286+00:00,75077000,713885,537,12,815
2025-11-30T20:51:08.000281+00:00,75087000,719255,537,12,819
2025-11-30T20:51:18.000275+00:00,75097000,724626,537,13,816
2025-11-30T20:51:28.000270+00:00,75107000,729995,537,13,806
2025-11-30T20:51:38.000265+00:00,75117000,735365,537,13,834
2025-11-30T20:51:48.000259+00:00,75127000,740736,537,13,650
2025-11-30T20:51:58.000254+00:00,75137000,746106,537,13,657
2025-11-30T20:52:08.000249+00:00,75147000,751476,537,13,651
2025-11-30T20:52:18.000243+00:00,75157000,756846,537,12,649
2025-11-30T20:52:28.000238+00:00,75167000,762215,537,12,652
2025-11-30T20:52:38.000232+00:00,75177000,767586,537,11,726
2025-11-30T20:52:48.000227+00:00,75187000,772956,537,11,626
2025-11-30T20:52:58.000222+00:00,75197000,778326,537,10,614
2025-11-30T20:53:08.000216+00:00,75207000,783697,537,10,619
2025-11-30T20:53:18.000211+00:00,75217000,789067,537,10,636
2025-11-30T20:53:28.000206+00:00,75227000,794438,537,10,659
2025-11-30T20:53:38.000200+00:00,75237000,799807,537,10,729
2025-11-30T20:53:48.000195+00:00,75247000,805178,537,10,742
2025-11-30T20:53:58.000189+00:00,75257000,810549,537,10,769
2025-11-30T20:54:08.000184+00:00,75267000,815920,537,10,635
2025-11-30T20:54:18.000179+00:00,75277000,821291,537,10,658
2025-11-30T20:54:28.000173+00:00,75287000,826663,537,10,744
2025-11-30T20:54:38.000168+00:00,75297000,832035,537,11,760
2025-11-30T20:54:48.000163+00:00,75307000,837407,537,11,659
2025-11-30T20:54:58.000157+00:00,75317000,842780,537,11,746
2025-11-30T20:55:08.000152+00:00,75327000,848152,537,10,691
2025-11-30T20:55:18.000147+00:00,75337000,853525,537,10,799
2025-11-30T20:55:28.000141+00:00,75347000,858898,537,11,760
2025-11-30T20:55:38.000136+00:00,75357000,864271,537,11,783
2025-11-30T20:55:48.000130+00:00,75367000,869645,538,12,799
2025-11-30T20:55:58.000125+00:00,75377000,875019,538,12,792
2025-11-30T20:56:08.000120+00:00,75387000,880393,537,12,764
2025-11-30T20:56:18.000114+00:00,75397000,885768,538,12,726
2025-11-30T20:56:28.000109+00:00,75407000,891143,538,12,781
2025-11-30T20:56:38.000104+00:00,75417000,896517,537,12,790
2025-11-30T20:56:48.000098+00:00,75427000,901890,538,12,752
2025-11-30T20:56:58.000093+00:00,75437000,907264,538,12,774
2025-11-30T20:57:08.000087+00:00,75447000,912639,537,12,782
2025-11-30T20:57:18.000082+00:00,75457000,918013,538,12,798
2025-11-30T20:57:28.000077+00:00,75467000,923389,538,12,794
2025-11-30T20:57:38.000071+00:00,75477000,928764,537,12,798
2025-11-30T20:57:48.000066+00:00,75487000,934139,538,12,821
2025-11-30T20:57:58.000061+00:00,75497000,939516,538,12,825
2025-11-30T20:58:08.000055+00:00,75507000,944893,537,12,721
2025-11-30T20:58:18.000050+00:00,75517000,950270,538,12,851
2025-11-30T20:58:28.000044+00:00,75527000,955647,538,12,839
2025-11-30T20:58:38.000039+00:00,75537000,961024,538,12,818
2025-11-30T20:58:48.000034+00:00,75547000,966402,538,12,776
2025-11-30T20:58:58.000028+00:00,75557000,971781,538,12,775
2025-11-30T20:59:08.000023+00:00,75567000,977159,538,11,747
2025-11-30T20:59:18.000017+00:00,75577000,982537,538,11,743
2025-11-30T20:59:28.000012+00:00,75587000,987917,538,11,717
2025-11-30T20:59:38.000007+00:00,75597000,993296,538,11,718
2025-11-30T20:59:48.000001+00:00,75607000,998672,538,10,672
2025-11-30T20:59:58.000003+00:00,75617000,4052,538,10,686
2025-11-30T21:00:08.000008+00:00,75627000,9431,538,10,677
2025-11-30T21:00:18.000014+00:00,75637000,14810,538,10,637
2025-11-30T21:00:28.000019+00:00,75647000,20190,538,10,680
2025-11-30T21:00:38.000025+00:00,75657000,25569,538,10,634
2025-11-30T21:00:48.000030+00:00,75667000,30949,538,10,738
2025-11-30T21:00:58.000035+00:00,75677000,36327,538,10,610
2025-11-30T21:01:08.000041+00:00,75687000,41704,538,10,664
2025-11-30T21:01:18.000046+00:00,75697000,47083,538,10,652
2025-11-30T21:01:28.000051+00:00,75707000,52462,538,10,664
2025-11-30T21:01:38.000057+00:00,75717000,57840,538,10,700
2025-11-30T21:01:48.000062+00:00,75727000,63217,538,10,715
2025-11-30T21:01:58.000068+00:00,75737000,68594,538,10,719
2025-11-30T21:02:08.000073+00:00,75747000,73972,538,10,705
2025-11-30T21:02:18.000078+00:00,75757000,79349,538,11,721
2025-11-30T21:02:28.000084+00:00,75767000,84726,538,11,806
2025-11-30T21:02:38.000089+00:00,75777000,90103,538,11,821
2025-11-30T21:02:48.000094+00:00,75787000,95482,538,12,821
2025-11-30T21:02:58.000100+00:00,75797000,100860,538,12,737
2025-11-30T21:03:08.000105+00:00,75807000,106237,538,12,703
2025-11-30T21:03:18.000111+00:00,75817000,111616,538,11,682
2025-11-30T21:03:28.000116+00:00,75827000,116994,538,11,757
2025-11-30T21:03:38.000121+00:00,75837000,122371,538,11,762
2025-11-30T21:03:48.000127+00:00,75847000,127750,538,11,715
2025-11-30T21:03:58.000132+00:00,75857000,133128,538,11,779
2025-11-30T21:04:08.000137+00:00,75867000,138506,538,11,787
2025-11-30T21:04:18.000143+00:00,75877000,143884,538,11,716
2025-11-30T21:04:28.000148+00:00,75887000,149261,538,11,794
2025-11-30T21:04:38.000154+00:00,75897000,154638,538,12,797
2025-11-30T21:04:48.000159+00:00,75907000,160016,538,12,792
2025-11-30T21:04:58.000164+00:00,75917000,165393,538,12,781
2025-11-30T21:05:08.000170+00:00,75927000,170770,538,12,761
2025-11-30T21:05:18.000175+00:00,75937000,176148,538,12,761
2025-11-30T21:05:28.000180+00:00,75947000,181525,538,12,663
2025-11-30T21:05:38.000186+00:00,75957000,186903,538,12,654
2025-11-30T21:05:48.000191+00:00,75967000,192280,538,12,635
2025-11-30T21:05:58.000197+00:00,75977000,197657,538,12,638
2025-11-30T21:06:08.000202+00:00,75987000,203034,538,11,640
2025-11-30T21:06:18.000207+00:00,75997000,208410,538,11,688
2025-11-30T21:06:28.000213+00:00,76007000,213788,538,12,666
2025-11-30T21:06:38.000218+00:00,76017000,219166,538,12,663
2025-11-30T21:06:48.000224+00:00,76027000,224541,538,12,668
2025-11-30T21:06:58.000229+00:00,76037000,229919,538,12,657
2025-11-30T21:07:08.000234+00:00,76047000,235296,538,12,663
2025-11-30T21:07:18.000240+00:00,76057000,240671,538,12,671
2025-11-30T21:07:28.000245+00:00,76067000,246049,538,12,675
2025-11-30T21:07:38.000250+00:00,76077000,251426,538,12,681
2025-11-30T21:07:48.000256+00:00,76087000,256804,538,12,674
2025-11-30T21:07:58.000261+00:00,76097000,262182,538,12,662
2025-11-30T21:08:08.000267+00:00,76107000,267559,538,12,651
2025-11-30T21:08:18.000272+00:00,76117000,272935,537,12,722
2025-11-30T21:08:28.000277+00:00,76127000,278311,538,12,671
2025-11-30T21:08:38.000283+00:00,76137000,283687,538,12,742
2025-11-30T21:08:48.000288+00:00,76147000,289064,537,13,716
2025-11-30T21:08:58.000293+00:00,76157000,294439,538,12,732
2025-11-30T21:09:08.000299+00:00,76167000,299816,538,13,686
2025-11-30T21:09:18.000304+00:00,76177000,305193,538,13,660
2025-11-30T21:09:28.000310+00:00,76187000,310570,538,12,608
2025-11-30T21:09:38.000315+00:00,76197000,315946,538,12,629
2025-11-30T21:09:48.000320+00:00,76207000,321324,538,12,662
2025-11-30T21:09:58.000326+00:00,76217000,326701,538,12,665
2025-11-30T21:10:08.000331+00:00,76227000,332079,538,12,698
2025-11-30T21:10:18.000336+00:00,76237000,337457,538,12,724
2025-11-30T21:10:28.000342+00:00,76247000,342834,538,11,734
2025-11-30T21:10:38.000347+00:00,76257000,348213,538,11,682
2025-11-30T21:10:48.000353+00:00,76267000,353592,538,11,700
2025-11-30T21:10:58.000358+00:00,76277000,358970,538,11,688
2025-11-30T21:11:08.000363+00:00,76287000,364348,537,11,684
2025-11-30T21:11:18.000369+00:00,76297000,369725,538,11,694
2025-11-30T21:11:28.000374+00:00,76307000,375101,538,11,690
2025-11-30T21:11:38.000379+00:00,76317000,380479,538,10,686
2025-11-30T21:11:48.000385+00:00,76327000,385855,538,10,699
2025-11-30T21:11:58.000390+00:00,76337000,391232,538,10,702
2025-11-30T21:12:08.000396+00:00,76347000,396610,538,10,712
2025-11-30T21:12:18.000401+00:00,76357000,401986,538,10,692
2025-11-30T21:12:28.000406+00:00,76367000,407362,538,11,658
2025-11-30T21:12:38.000412+00:00,76377000,412739,538,11,710
2025-11-30T21:12:48.000417+00:00,76387000,418116,538,11,722
2025-11-30T21:12:58.000422+00:00,76397000,423494,538,11,747
2025-11-30T21:13:08.000428+00:00,76407000,428873,538,11,741
2025-11-30T21:13:18.000433+00:00,76417000,434252,538,12,725
2025-11-30T21:13:28.000439+00:00,76427000,439629,538,12,716
2025-11-30T21:13:38.000444+00:00,76437000,445007,538,11,713
2025-11-30T21:13:48.000449+00:00,76447000,450385,538,11,709
