message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-18T19:22:20.051056+00:00,0,0,410891.000000000,-0.000008108,0.000002923,16.260200000,46.691700000,0.000000000,0.000000000,0.000000000,0.000000000,704.030000000,848.080000000,-0.000008108,0.000002923,16.260200000
HPPOSLLH,2025-09-18T19:22:20.051127+00:00,0,0,410892.000000000,-0.000008108,0.000002923,16.109200000,46.540800000,0.000000000,0.000000000,0.000000000,0.000000000,702.170000000,845.350000000,-0.000008108,0.000002923,16.109200000
HPPOSLLH,2025-09-18T19:22:20.051182+00:00,0,0,410893.000000000,-0.000008108,0.000002923,16.068000000,46.499600000,0.000000000,0.000000000,0.000000000,0.000000000,700.140000000,842.390000000,-0.000008108,0.000002923,16.068000000
HPPOSLLH,2025-09-18T19:22:20.051231+00:00,0,0,410894.000000000,-0.000008108,0.000002923,15.911300000,46.342900000,0.000000000,0.000000000,0.000000000,0.000000000,697.990000000,839.100000000,-0.000008108,0.000002923,15.911300000
HPPOSLLH,2025-09-18T19:22:20.051278+00:00,0,0,410895.000000000,-0.000008108,0.000002923,15.821100000,46.252600000,0.000000000,0.000000000,0.000000000,0.000000000,696.450000000,836.490000000,-0.000008108,0.000002923,15.821100000
HPPOSLLH,2025-09-18T19:22:20.051324+00:00,0,0,410896.000000000,-0.000008108,0.000002923,15.640400000,46.071900000,0.000000000,0.000000000,0.000000000,0.000000000,694.440000000,833.030000000,-0.000008108,0.000002923,15.640400000
HPPOSLLH,2025-09-18T19:22:20.051371+00:00,0,0,410897.000000000,-0.000008108,0.000002923,15.540500000,45.972100000,0.000000000,0.000000000,0.000000000,0.000000000,693.550000000,830.880000000,-0.000008108,0.000002923,15.540500000
HPPOSLLH,2025-09-18T19:22:20.051415+00:00,0,0,410898.000000000,-0.000008108,0.000002923,15.412700000,45.844200000,0.000000000,0.000000000,0.000000000,0.000000000,691.350000000,826.810000000,-0.000008108,0.000002923,15.412700000
HPPOSLLH,2025-09-18T19:22:20.051461+00:00,0,0,410899.000000000,-0.000008108,0.000002923,15.306000000,45.737600000,0.000000000,0.000000000,0.000000000,0.000000000,688.650000000,822.390000000,-0.000008108,0.000002923,15.306000000
HPPOSLLH,2025-09-18T19:22:20.051505+00:00,0,0,410900.000000000,-0.000008108,0.000002923,15.234100000,45.665700000,0.000000000,0.000000000,0.000000000,0.000000000,684.540000000,815.500000000,-0.000008108,0.000002923,15.234100000
HPPOSLLH,2025-09-18T19:22:20.051549+00:00,0,0,410901.000000000,-0.000008108,0.000002923,15.195000000,45.626600000,0.000000000,0.000000000,0.000000000,0.000000000,680.890000000,809.490000000,-0.000008108,0.000002923,15.195000000
HPPOSLLH,2025-09-18T19:22:20.051593+00:00,0,0,410902.000000000,-0.000008108,0.000002923,15.198100000,45.629700000,0.000000000,0.000000000,0.000000000,0.000000000,677.290000000,803.480000000,-0.000008108,0.000002923,15.198100000
HPPOSLLH,2025-09-18T19:22:20.051639+00:00,0,0,410903.000000000,-0.000008108,0.000002923,15.222200000,45.653800000,0.000000000,0.000000000,0.000000000,0.000000000,673.800000000,797.780000000,-0.000008108,0.000002923,15.222200000
HPPOSLLH,2025-09-18T19:22:20.051683+00:00,0,0,410904.000000000,-0.000008108,0.000002923,15.210300000,45.641800000,0.000000000,0.000000000,0.000000000,0.000000000,670.620000000,792.600000000,-0.000008108,0.000002923,15.210300000
HPPOSLLH,2025-09-18T19:22:20.051726+00:00,0,0,410905.000000000,-0.000008108,0.000002923,15.214400000,45.645900000,0.000000000,0.000000000,0.000000000,0.000000000,667.320000000,787.160000000,-0.000008108,0.000002923,15.214400000
HPPOSLLH,2025-09-18T19:22:20.051768+00:00,0,0,410906.000000000,-0.000008108,0.000002923,15.315600000,45.747200000,0.000000000,0.000000000,0.000000000,0.000000000,664.000000000,781.750000000,-0.000008108,0.000002923,15.315600000
HPPOSLLH,2025-09-18T19:22:20.051813+00:00,0,0,410907.000000000,-0.000008108,0.000002923,15.431200000,45.862800000,0.000000000,0.000000000,0.000000000,0.000000000,661.020000000,776.620000000,-0.000008108,0.000002923,15.431200000
HPPOSLLH,2025-09-18T19:22:20.051858+00:00,0,0,410908.000000000,-0.000008108,0.000002923,15.517700000,45.949200000,0.000000000,0.000000000,0.000000000,0.000000000,658.280000000,771.760000000,-0.000008108,0.000002923,15.517700000
HPPOSLLH,2025-09-18T19:22:20.051901+00:00,0,0,410909.000000000,-0.000008108,0.000002923,15.633200000,46.064700000,0.000000000,0.000000000,0.000000000,0.000000000,655.690000000,767.010000000,-0.000008108,0.000002923,15.633200000
HPPOSLLH,2025-09-18T19:22:20.051943+00:00,0,0,410910.000000000,-0.000008108,0.000002923,15.697400000,46.128900000,0.000000000,0.000000000,0.000000000,0.000000000,653.660000000,762.940000000,-0.000008108,0.000002923,15.697400000
HPPOSLLH,2025-09-18T19:22:20.051985+00:00,0,0,410911.000000000,-0.000008108,0.000002923,15.807300000,46.238900000,0.000000000,0.000000000,0.000000000,0.000000000,652.040000000,759.290000000,-0.000008108,0.000002923,15.807300000
HPPOSLLH,2025-09-18T19:22:20.052028+00:00,0,0,410912.000000000,-0.000008108,0.000002923,15.887300000,46.318900000,0.000000000,0.000000000,0.000000000,0.000000000,650.300000000,755.570000000,-0.000008108,0.000002923,15.887300000
HPPOSLLH,2025-09-18T19:22:20.052071+00:00,0,0,410913.000000000,-0.000008108,0.000002923,15.948800000,46.380400000,0.000000000,0.000000000,0.000000000,0.000000000,648.690000000,752.000000000,-0.000008108,0.000002923,15.948800000
HPPOSLLH,2025-09-18T19:22:20.052155+00:00,0,0,410914.000000000,-0.000008108,0.000002923,16.040200000,46.471800000,0.000000000,0.000000000,0.000000000,0.000000000,647.240000000,748.730000000,-0.000008108,0.000002923,16.040200000
HPPOSLLH,2025-09-18T19:22:20.052203+00:00,0,0,410915.000000000,-0.000008108,0.000002923,16.165300000,46.596800000,0.000000000,0.000000000,0.000000000,0.000000000,645.820000000,745.600000000,-0.000008108,0.000002923,16.165300000
HPPOSLLH,2025-09-18T19:22:20.052247+00:00,0,0,410916.000000000,-0.000008108,0.000002923,16.292700000,46.724200000,0.000000000,0.000000000,0.000000000,0.000000000,644.860000000,742.360000000,-0.000008108,0.000002923,16.292700000
HPPOSLLH,2025-09-18T19:22:20.052294+00:00,0,0,410917.000000000,-0.000008108,0.000002923,16.438200000,46.869800000,0.000000000,0.000000000,0.000000000,0.000000000,644.450000000,739.470000000,-0.000008108,0.000002923,16.438200000
HPPOSLLH,2025-09-18T19:22:20.052340+00:00,0,0,410918.000000000,-0.000008108,0.000002923,16.567000000,46.998500000,0.000000000,0.000000000,0.000000000,0.000000000,644.010000000,736.670000000,-0.000008108,0.000002923,16.567000000
HPPOSLLH,2025-09-18T19:22:20.052382+00:00,0,0,410919.000000000,-0.000008108,0.000002923,16.774200000,47.205700000,0.000000000,0.000000000,0.000000000,0.000000000,643.590000000,734.480000000,-0.000008108,0.000002923,16.774200000
HPPOSLLH,2025-09-18T19:22:20.052424+00:00,0,0,410920.000000000,-0.000008108,0.000002923,17.028800000,47.460400000,0.000000000,0.000000000,0.000000000,0.000000000,642.980000000,732.270000000,-0.000008108,0.000002923,17.028800000
HPPOSLLH,2025-09-18T19:22:20.052467+00:00,0,0,410921.000000000,-0.000008108,0.000002923,17.349900000,47.781400000,0.000000000,0.000000000,0.000000000,0.000000000,642.410000000,730.360000000,-0.000008108,0.000002923,17.349900000
