message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-18T19:58:27.426361+00:00,0,0,417302.000000000,-0.000008108,0.000002923,-6.223600000,24.207900000,0.000000000,0.000000000,0.000000000,0.000000000,313.580000000,262.490000000,-0.000008108,0.000002923,-6.223600000
HPPOSLLH,2025-09-18T19:58:27.426433+00:00,0,0,417303.000000000,-0.000008108,0.000002923,-6.242700000,24.188700000,0.000000000,0.000000000,0.000000000,0.000000000,313.080000000,261.940000000,-0.000008108,0.000002923,-6.242700000
HPPOSLLH,2025-09-18T19:58:27.426488+00:00,0,0,417304.000000000,-0.000008108,0.000002923,-6.233500000,24.198000000,0.000000000,0.000000000,0.000000000,0.000000000,312.620000000,261.450000000,-0.000008108,0.000002923,-6.233500000
HPPOSLLH,2025-09-18T19:58:27.426538+00:00,0,0,417305.000000000,-0.000008108,0.000002923,-6.231800000,24.199700000,0.000000000,0.000000000,0.000000000,0.000000000,312.230000000,261.110000000,-0.000008108,0.000002923,-6.231800000
HPPOSLLH,2025-09-18T19:58:27.426586+00:00,0,0,417306.000000000,-0.000008108,0.000002923,-6.217300000,24.214100000,0.000000000,0.000000000,0.000000000,0.000000000,312.000000000,260.820000000,-0.000008108,0.000002923,-6.217300000
HPPOSLLH,2025-09-18T19:58:27.426632+00:00,0,0,417307.000000000,-0.000008108,0.000002923,-6.216600000,24.214800000,0.000000000,0.000000000,0.000000000,0.000000000,311.910000000,260.640000000,-0.000008108,0.000002923,-6.216600000
HPPOSLLH,2025-09-18T19:58:27.426680+00:00,0,0,417308.000000000,-0.000008108,0.000002923,-6.225700000,24.205700000,0.000000000,0.000000000,0.000000000,0.000000000,311.850000000,260.480000000,-0.000008108,0.000002923,-6.225700000
HPPOSLLH,2025-09-18T19:58:27.426724+00:00,0,0,417309.000000000,-0.000008108,0.000002923,-6.235900000,24.195500000,0.000000000,0.000000000,0.000000000,0.000000000,311.820000000,260.380000000,-0.000008108,0.000002923,-6.235900000
HPPOSLLH,2025-09-18T19:58:27.426768+00:00,0,0,417310.000000000,-0.000008108,0.000002923,-6.238200000,24.193200000,0.000000000,0.000000000,0.000000000,0.000000000,311.820000000,260.300000000,-0.000008108,0.000002923,-6.238200000
HPPOSLLH,2025-09-18T19:58:27.426815+00:00,0,0,417311.000000000,-0.000008108,0.000002923,-6.228500000,24.203000000,0.000000000,0.000000000,0.000000000,0.000000000,311.830000000,260.220000000,-0.000008108,0.000002923,-6.228500000
HPPOSLLH,2025-09-18T19:58:27.426857+00:00,0,0,417312.000000000,-0.000008108,0.000002923,-6.235400000,24.196100000,0.000000000,0.000000000,0.000000000,0.000000000,312.020000000,260.210000000,-0.000008108,0.000002923,-6.235400000
HPPOSLLH,2025-09-18T19:58:27.426904+00:00,0,0,417313.000000000,-0.000008108,0.000002923,-6.250700000,24.180700000,0.000000000,0.000000000,0.000000000,0.000000000,312.360000000,260.260000000,-0.000008108,0.000002923,-6.250700000
HPPOSLLH,2025-09-18T19:58:27.426947+00:00,0,0,417314.000000000,-0.000008108,0.000002923,-6.248300000,24.183100000,0.000000000,0.000000000,0.000000000,0.000000000,312.560000000,260.090000000,-0.000008108,0.000002923,-6.248300000
HPPOSLLH,2025-09-18T19:58:27.426991+00:00,0,0,417315.000000000,-0.000008108,0.000002923,-6.279200000,24.152300000,0.000000000,0.000000000,0.000000000,0.000000000,312.800000000,259.950000000,-0.000008108,0.000002923,-6.279200000
HPPOSLLH,2025-09-18T19:58:27.427034+00:00,0,0,417316.000000000,-0.000008108,0.000002923,-6.289500000,24.141900000,0.000000000,0.000000000,0.000000000,0.000000000,313.080000000,259.890000000,-0.000008108,0.000002923,-6.289500000
HPPOSLLH,2025-09-18T19:58:27.427077+00:00,0,0,417317.000000000,-0.000008108,0.000002923,-6.305100000,24.126400000,0.000000000,0.000000000,0.000000000,0.000000000,313.340000000,259.830000000,-0.000008108,0.000002923,-6.305100000
HPPOSLLH,2025-09-18T19:58:27.427121+00:00,0,0,417318.000000000,-0.000008108,0.000002923,-6.319500000,24.112000000,0.000000000,0.000000000,0.000000000,0.000000000,313.450000000,259.690000000,-0.000008108,0.000002923,-6.319500000
HPPOSLLH,2025-09-18T19:58:27.427164+00:00,0,0,417319.000000000,-0.000008108,0.000002923,-6.215900000,24.215500000,0.000000000,0.000000000,0.000000000,0.000000000,312.220000000,258.780000000,-0.000008108,0.000002923,-6.215900000
HPPOSLLH,2025-09-18T19:58:27.427209+00:00,0,0,417320.000000000,-0.000008108,0.000002923,-6.064000000,24.367500000,0.000000000,0.000000000,0.000000000,0.000000000,310.590000000,257.760000000,-0.000008108,0.000002923,-6.064000000
HPPOSLLH,2025-09-18T19:58:27.427255+00:00,0,0,417321.000000000,-0.000008108,0.000002923,-5.986000000,24.445400000,0.000000000,0.000000000,0.000000000,0.000000000,309.320000000,256.910000000,-0.000008108,0.000002923,-5.986000000
HPPOSLLH,2025-09-18T19:58:27.427299+00:00,0,0,417322.000000000,-0.000008108,0.000002923,-5.911300000,24.520200000,0.000000000,0.000000000,0.000000000,0.000000000,308.080000000,256.080000000,-0.000008108,0.000002923,-5.911300000
HPPOSLLH,2025-09-18T19:58:27.427341+00:00,0,0,417323.000000000,-0.000008108,0.000002923,-5.817800000,24.613600000,0.000000000,0.000000000,0.000000000,0.000000000,306.890000000,255.240000000,-0.000008108,0.000002923,-5.817800000
HPPOSLLH,2025-09-18T19:58:27.427383+00:00,0,0,417324.000000000,-0.000008108,0.000002923,-5.693400000,24.738100000,0.000000000,0.000000000,0.000000000,0.000000000,305.570000000,254.280000000,-0.000008108,0.000002923,-5.693400000
HPPOSLLH,2025-09-18T19:58:27.427424+00:00,0,0,417325.000000000,-0.000008108,0.000002923,-5.693000000,24.738400000,0.000000000,0.000000000,0.000000000,0.000000000,304.720000000,253.560000000,-0.000008108,0.000002923,-5.693000000
HPPOSLLH,2025-09-18T19:58:27.427466+00:00,0,0,417326.000000000,-0.000008108,0.000002923,-5.601200000,24.830200000,0.000000000,0.000000000,0.000000000,0.000000000,303.530000000,252.650000000,-0.000008108,0.000002923,-5.601200000
HPPOSLLH,2025-09-18T19:58:27.427507+00:00,0,0,417327.000000000,-0.000008108,0.000002923,-5.491900000,24.939600000,0.000000000,0.000000000,0.000000000,0.000000000,302.230000000,251.710000000,-0.000008108,0.000002923,-5.491900000
HPPOSLLH,2025-09-18T19:58:27.427552+00:00,0,0,417328.000000000,-0.000008108,0.000002923,-5.529900000,24.901600000,0.000000000,0.000000000,0.000000000,0.000000000,301.860000000,251.270000000,-0.000008108,0.000002923,-5.529900000
HPPOSLLH,2025-09-18T19:58:27.427596+00:00,0,0,417329.000000000,-0.000008108,0.000002923,-5.489500000,24.941900000,0.000000000,0.000000000,0.000000000,0.000000000,301.340000000,250.730000000,-0.000008108,0.000002923,-5.489500000
HPPOSLLH,2025-09-18T19:58:27.427638+00:00,0,0,417330.000000000,-0.000008108,0.000002923,-5.417900000,25.013500000,0.000000000,0.000000000,0.000000000,0.000000000,300.750000000,250.160000000,-0.000008108,0.000002923,-5.417900000
HPPOSLLH,2025-09-18T19:58:27.427680+00:00,0,0,417331.000000000,-0.000008108,0.000002923,-5.449100000,24.982300000,0.000000000,0.000000000,0.000000000,0.000000000,300.730000000,249.860000000,-0.000008108,0.000002923,-5.449100000
HPPOSLLH,2025-09-18T19:58:27.427722+00:00,0,0,417332.000000000,-0.000008108,0.000002923,-5.421600000,25.009800000,0.000000000,0.000000000,0.000000000,0.000000000,300.510000000,249.430000000,-0.000008108,0.000002923,-5.421600000
HPPOSLLH,2025-09-18T19:58:27.427762+00:00,0,0,417333.000000000,-0.000008108,0.000002923,-5.357600000,25.073800000,0.000000000,0.000000000,0.000000000,0.000000000,300.250000000,248.980000000,-0.000008108,0.000002923,-5.357600000
HPPOSLLH,2025-09-18T19:58:27.427803+00:00,0,0,417334.000000000,-0.000008108,0.000002923,-5.390900000,25.040500000,0.000000000,0.000000000,0.000000000,0.000000000,300.450000000,248.800000000,-0.000008108,0.000002923,-5.390900000
HPPOSLLH,2025-09-18T19:58:27.427844+00:00,0,0,417335.000000000,-0.000008108,0.000002923,-5.372500000,25.058900000,0.000000000,0.000000000,0.000000000,0.000000000,300.220000000,248.280000000,-0.000008108,0.000002923,-5.372500000
HPPOSLLH,2025-09-18T19:58:27.427885+00:00,0,0,417336.000000000,-0.000008108,0.000002923,-5.328900000,25.102500000,0.000000000,0.000000000,0.000000000,0.000000000,300.000000000,247.870000000,-0.000008108,0.000002923,-5.328900000
HPPOSLLH,2025-09-18T19:58:27.427926+00:00,0,0,417337.000000000,-0.000008108,0.000002923,-5.363000000,25.068400000,0.000000000,0.000000000,0.000000000,0.000000000,300.290000000,247.730000000,-0.000008108,0.000002923,-5.363000000
HPPOSLLH,2025-09-18T19:58:27.427971+00:00,0,0,417338.000000000,-0.000008108,0.000002923,-5.315000000,25.116500000,0.000000000,0.000000000,0.000000000,0.000000000,300.320000000,247.520000000,-0.000008108,0.000002923,-5.315000000
HPPOSLLH,2025-09-18T19:58:27.428012+00:00,0,0,417339.000000000,-0.000008108,0.000002923,-5.279200000,25.152200000,0.000000000,0.000000000,0.000000000,0.000000000,300.280000000,247.250000000,-0.000008108,0.000002923,-5.279200000
HPPOSLLH,2025-09-18T19:58:27.428053+00:00,0,0,417340.000000000,-0.000008108,0.000002923,-5.344800000,25.086600000,0.000000000,0.000000000,0.000000000,0.000000000,300.560000000,247.130000000,-0.000008108,0.000002923,-5.344800000
HPPOSLLH,2025-09-18T19:58:27.428103+00:00,0,0,417341.000000000,-0.000008108,0.000002923,-5.314300000,25.117200000,0.000000000,0.000000000,0.000000000,0.000000000,300.640000000,246.950000000,-0.000008108,0.000002923,-5.314300000
HPPOSLLH,2025-09-18T19:58:27.428144+00:00,0,0,417342.000000000,-0.000008108,0.000002923,-5.345400000,25.086000000,0.000000000,0.000000000,0.000000000,0.000000000,300.980000000,246.780000000,-0.000008108,0.000002923,-5.345400000
HPPOSLLH,2025-09-18T19:58:27.428189+00:00,0,0,417343.000000000,-0.000008108,0.000002923,-5.278800000,25.152600000,0.000000000,0.000000000,0.000000000,0.000000000,300.810000000,246.520000000,-0.000008108,0.000002923,-5.278800000
HPPOSLLH,2025-09-18T19:58:27.428230+00:00,0,0,417344.000000000,-0.000008108,0.000002923,-5.298700000,25.132800000,0.000000000,0.000000000,0.000000000,0.000000000,301.140000000,246.520000000,-0.000008108,0.000002923,-5.298700000
HPPOSLLH,2025-09-18T19:58:27.428270+00:00,0,0,417345.000000000,-0.000008108,0.000002923,-5.369600000,25.061800000,0.000000000,0.000000000,0.000000000,0.000000000,301.420000000,246.500000000,-0.000008108,0.000002923,-5.369600000
HPPOSLLH,2025-09-18T19:58:27.428311+00:00,0,0,417346.000000000,-0.000008108,0.000002923,-5.436600000,24.994800000,0.000000000,0.000000000,0.000000000,0.000000000,301.670000000,246.460000000,-0.000008108,0.000002923,-5.436600000
HPPOSLLH,2025-09-18T19:58:27.428355+00:00,0,0,417347.000000000,-0.000008108,0.000002923,-5.484600000,24.946800000,0.000000000,0.000000000,0.000000000,0.000000000,301.950000000,246.450000000,-0.000008108,0.000002923,-5.484600000
HPPOSLLH,2025-09-18T19:58:27.428397+00:00,0,0,417348.000000000,-0.000008108,0.000002923,-5.527400000,24.904000000,0.000000000,0.000000000,0.000000000,0.000000000,302.250000000,246.450000000,-0.000008108,0.000002923,-5.527400000
HPPOSLLH,2025-09-18T19:58:27.428437+00:00,0,0,417349.000000000,-0.000008108,0.000002923,-5.571200000,24.860300000,0.000000000,0.000000000,0.000000000,0.000000000,302.550000000,246.510000000,-0.000008108,0.000002923,-5.571200000
HPPOSLLH,2025-09-18T19:58:27.428477+00:00,0,0,417350.000000000,-0.000008108,0.000002923,-5.628600000,24.802800000,0.000000000,0.000000000,0.000000000,0.000000000,302.740000000,246.500000000,-0.000008108,0.000002923,-5.628600000
HPPOSLLH,2025-09-18T19:58:27.428519+00:00,0,0,417351.000000000,-0.000008108,0.000002923,-5.665600000,24.765900000,0.000000000,0.000000000,0.000000000,0.000000000,303.000000000,246.580000000,-0.000008108,0.000002923,-5.665600000
HPPOSLLH,2025-09-18T19:58:27.428559+00:00,0,0,417352.000000000,-0.000008108,0.000002923,-5.716800000,24.714600000,0.000000000,0.000000000,0.000000000,0.000000000,303.330000000,246.710000000,-0.000008108,0.000002923,-5.716800000
HPPOSLLH,2025-09-18T19:58:27.428600+00:00,0,0,417353.000000000,-0.000008108,0.000002923,-5.767500000,24.663900000,0.000000000,0.000000000,0.000000000,0.000000000,303.820000000,246.920000000,-0.000008108,0.000002923,-5.767500000
