message_type,timestamp,version,invalidLlh,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,lon_full,lat_full,height_full
HPPOSLLH,2025-09-21T13:24:45+00:00,0,0,48285.000000000,-81.079610600,29.227827300,-2.002000000,28.430000000,0.000000039,-0.000000002,0.300000000,-0.300000000,11606.800000000,40362.700000000,-81.079610561,29.227827298,-2.001700000
HPPOSLLH,2025-09-21T13:24:50+00:00,0,0,48290.000000000,-81.079601300,29.227809900,-9.473000000,20.958000000,-0.000000025,-0.000000002,0.000000000,0.400000000,11060.200000000,34042.400000000,-81.079601325,29.227809898,-9.473000000
HPPOSLLH,2025-09-21T13:24:55+00:00,0,0,48295.000000000,-81.079600300,29.227806500,-11.279000000,19.153000000,-0.000000026,0.000000031,0.300000000,-0.300000000,9873.300000000,28454.500000000,-81.079600326,29.227806531,-11.278700000
HPPOSLLH,2025-09-21T13:25:00+00:00,0,0,48300.000000000,-81.079596300,29.227799000,-11.169000000,19.262000000,0.000000049,0.000000026,-0.300000000,0.000000000,8842.600000000,24097.800000000,-81.079596251,29.227799026,-11.169300000
HPPOSLLH,2025-09-21T13:25:05+00:00,0,0,48305.000000000,-81.079590500,29.227792600,-12.013000000,18.418000000,-0.000000035,-0.000000023,-0.100000000,0.200000000,8097.300000000,21056.200000000,-81.079590535,29.227792577,-12.013100000
HPPOSLLH,2025-09-21T13:25:10+00:00,0,0,48310.000000000,-81.079588700,29.227788800,-12.270000000,18.161000000,-0.000000002,0.000000045,-0.400000000,-0.100000000,7553.300000000,18967.100000000,-81.079588702,29.227788845,-12.270400000
HPPOSLLH,2025-09-21T13:25:15+00:00,0,0,48315.000000000,-81.079585700,29.227786100,-12.638000000,17.793000000,-0.000000023,-0.000000009,-0.500000000,-0.100000000,7102.400000000,17526.300000000,-81.079585723,29.227786091,-12.638500000
HPPOSLLH,2025-09-21T13:25:20+00:00,0,0,48320.000000000,-81.079579900,29.227783500,-13.494000000,16.938000000,0.000000030,-0.000000019,0.300000000,-0.400000000,6581.700000000,14945.900000000,-81.079579870,29.227783481,-13.493700000
HPPOSLLH,2025-09-21T13:25:25+00:00,0,0,48325.000000000,-81.079575400,29.227781500,-14.166000000,16.265000000,-0.000000040,-0.000000040,-0.200000000,0.100000000,6358.100000000,13991.500000000,-81.079575440,29.227781460,-14.166200000
HPPOSLLH,2025-09-21T13:25:30+00:00,0,0,48330.000000000,-81.079570900,29.227780100,-14.897000000,15.534000000,0.000000008,-0.000000018,0.100000000,0.400000000,6284.900000000,13850.600000000,-81.079570892,29.227780082,-14.896900000
HPPOSLLH,2025-09-21T13:25:35+00:00,0,0,48335.000000000,-81.079575000,29.227779800,-13.816000000,16.615000000,-0.000000041,0.000000024,-0.300000000,0.000000000,6031.900000000,13253.900000000,-81.079575041,29.227779824,-13.816300000
HPPOSLLH,2025-09-21T13:25:40+00:00,0,0,48340.000000000,-81.079577400,29.227779800,-13.190000000,17.242000000,0.000000019,-0.000000030,0.500000000,-0.200000000,5829.700000000,12787.600000000,-81.079577381,29.227779770,-13.189500000
