timestamp_utc,iTOW,tAcc,nano,year,month,day,hour,min,sec,valid,validTOW,validWKN,validUTC,authStatus,utcStandard
2025-09-28T23:00:17.000278+00:00,82835000,1042,-278604,2025,9,28,23,0,17,247,True,True,True,3,15
2025-09-28T23:00:22.000279+00:00,82840000,1032,-279560,2025,9,28,23,0,22,247,True,True,True,3,15
2025-09-28T23:00:27.000280+00:00,82845000,1027,-280518,2025,9,28,23,0,27,247,True,True,True,3,15
2025-09-28T23:00:32.000281+00:00,82850000,1023,-281484,2025,9,28,23,0,32,247,True,True,True,3,15
2025-09-28T23:00:37.000282+00:00,82855000,1021,-282451,2025,9,28,23,0,37,247,True,True,True,3,15
2025-09-28T23:00:42.000283+00:00,82860000,1020,-283419,2025,9,28,23,0,42,247,True,True,True,3,15
2025-09-28T23:00:47.000284+00:00,82865000,1018,-284386,2025,9,28,23,0,47,247,True,True,True,3,15
2025-09-28T23:00:52.000285+00:00,82870000,1017,-285353,2025,9,28,23,0,52,247,True,True,True,3,15
2025-09-28T23:00:57.000286+00:00,82875000,1016,-286323,2025,9,28,23,0,57,247,True,True,True,3,15
2025-09-28T23:01:02.000287+00:00,82880000,1016,-287289,2025,9,28,23,1,2,247,True,True,True,3,15
2025-09-28T23:01:07.000288+00:00,82885000,1015,-288255,2025,9,28,23,1,7,247,True,True,True,3,15
2025-09-28T23:01:12.000289+00:00,82890000,1014,-289221,2025,9,28,23,1,12,247,True,True,True,3,15
2025-09-28T23:01:17.000290+00:00,82895000,1014,-290187,2025,9,28,23,1,17,247,True,True,True,3,15
2025-09-28T23:01:22.000291+00:00,82900000,1013,-291153,2025,9,28,23,1,22,247,True,True,True,3,15
2025-09-28T23:01:27.000292+00:00,82905000,1013,-292117,2025,9,28,23,1,27,247,True,True,True,3,15
2025-09-28T23:01:32.000293+00:00,82910000,1012,-293079,2025,9,28,23,1,32,247,True,True,True,3,15
2025-09-28T23:01:37.000294+00:00,82915000,1012,-294041,2025,9,28,23,1,37,247,True,True,True,3,15
