timestamp_utc,iTOW,clkB,clkD,tAcc,fAcc
2025-09-29T01:00:22.108125+00:00,90040108,-125260,192,108,545
2025-09-29T01:00:37.000122+00:00,90055000,-122375,191,149,1568
2025-09-29T01:01:02.000117+00:00,90080000,-117610,190,16,802
2025-09-29T01:01:27.000112+00:00,90105000,-112869,190,13,923
2025-09-29T01:01:52.000108+00:00,90130000,-108137,189,13,932
2025-09-29T01:02:17.000103+00:00,90155000,-103391,190,13,740
2025-09-29T01:02:42.000098+00:00,90180000,-98642,190,11,895
2025-09-29T01:03:07.000093+00:00,90205000,-93886,191,11,929
2025-09-29T01:03:32.000089+00:00,90230000,-89122,191,11,799
2025-09-29T01:03:57.000084+00:00,90255000,-84365,190,10,867
