timestamp_utc,iTOW,lon,lat,height,hMSL,lonHp,latHp,heightHp,hMSLHp,hAcc,vAcc,invalidLlh,lon_full_deg,lat_full_deg,height_full_m,hMSL_full_m
,92470000,-810796187,292278211,-11329,19102,-26,49,-4,-1,194037,132560,False,-81.07961872599999,29.227821149,-11.329400000000001,19.1019
2025-09-29T01:40:52.000182+00:00,92475000,-810796158,292278575,-8421,22011,35,-11,4,-2,172824,92363,False,-81.079615765,29.227857488999998,-8.420599999999999,22.0108
2025-09-29T01:40:57.000183+00:00,92480000,-810796021,292278383,-11037,19394,7,19,-1,3,169328,76074,False,-81.079602093,29.227838319,-11.0371,19.394299999999998
2025-09-29T01:41:02.000184+00:00,92485000,-810795873,292278028,-13435,16996,-21,25,2,5,171387,67385,False,-81.079587321,29.227802824999998,-13.434800000000001,16.996499999999997
2025-09-29T01:41:07.000185+00:00,92490000,-810795861,292278094,-14530,15902,-37,-5,5,-2,80895,44921,False,-81.079586137,29.227809394999998,-14.529499999999999,15.9018
2025-09-29T01:41:12.000185+00:00,92495000,-810795874,292278097,-14352,16080,-41,-14,3,-4,53378,33699,False,-81.079587441,29.227809685999997,-14.351700000000001,16.0796
2025-09-29T01:41:17.000186+00:00,92500000,-810795874,292278125,-13691,16741,45,4,3,-4,44474,29583,False,-81.079587355,29.227812504,-13.690700000000001,16.7406
2025-09-29T01:41:22.000187+00:00,92505000,-810795868,292278141,-13198,17233,49,-26,-2,1,39444,27106,False,-81.07958675100001,29.227814074,-13.1982,17.2331
2025-09-29T01:41:27.000188+00:00,92510000,-810795866,292278158,-12835,17596,44,-4,-5,-1,36232,25442,False,-81.079586556,29.227815795999998,-12.835500000000001,17.5959
2025-09-29T01:41:32.000189+00:00,92515000,-810795859,292278162,-12632,17800,-22,-9,2,-4,34060,24234,False,-81.07958592199999,29.227816191,-12.6318,17.7996
2025-09-29T01:41:37.000190+00:00,92520000,-810795852,292278167,-12513,17918,41,8,1,5,32522,23282,False,-81.07958515899999,29.227816708,-12.5129,17.918499999999998
2025-09-29T01:41:42.000191+00:00,92525000,-810795837,292278153,-12550,17881,16,4,1,4,31441,22597,False,-81.079583684,29.227815304,-12.549900000000001,17.8814
2025-09-29T01:41:47.000191+00:00,92530000,-810795824,292278146,-12593,17839,-28,24,4,-3,30114,21915,False,-81.079582428,29.227814623999997,-12.5926,17.8387
2025-09-29T01:41:52.000192+00:00,92535000,-810795819,292278162,-12558,17873,-8,2,-1,2,29429,21465,False,-81.079581908,29.227816202,-12.5581,17.8732
2025-09-29T01:41:57.000193+00:00,92540000,-810795809,292278155,-12629,17802,36,5,-2,1,29062,21182,False,-81.079580864,29.227815505,-12.629199999999999,17.8021
2025-09-29T01:42:02.000194+00:00,92545000,-810795808,292278183,-12587,17844,0,-39,-1,3,28680,20772,False,-81.0795808,29.227818261,-12.5871,17.8443
2025-09-29T01:42:07.000195+00:00,92550000,-810795807,292278212,-12559,17873,14,31,3,-3,28156,20382,False,-81.079580686,29.227821230999997,-12.5587,17.872700000000002
2025-09-29T01:42:12.000196+00:00,92555000,-810795800,292278228,-12660,17772,-16,49,2,-4,28000,20130,False,-81.079580016,29.227822849,-12.6598,17.7716
2025-09-29T01:42:17.000197+00:00,92560000,-810795803,292278269,-12518,17914,10,10,3,-3,27879,19900,False,-81.07958029,29.22782691,-12.517700000000001,17.913700000000002
2025-09-29T01:42:22.000197+00:00,92565000,-810795795,292278279,-12498,17934,-38,-2,4,-3,27851,19765,False,-81.07957953799999,29.227827897999997,-12.497599999999998,17.9337
2025-09-29T01:42:27.000198+00:00,92570000,-810795791,292278292,-12449,17982,11,-9,-5,-1,27790,19644,False,-81.07957908899999,29.227829190999998,-12.4495,17.9819
2025-09-29T01:42:32.000199+00:00,92575000,-810795786,292278289,-12428,18003,-23,18,0,3,27126,19630,False,-81.07957862299999,29.227828918,-12.428,18.0033
2025-09-29T01:42:37.000200+00:00,92580000,-810795783,292278290,-12374,18058,3,42,3,-3,26466,19582,False,-81.079578297,29.227829042,-12.373700000000001,18.0577
2025-09-29T01:42:42.000201+00:00,92585000,-810795779,292278280,-12300,18131,-20,17,-1,3,26328,19611,False,-81.07957791999999,29.227828017,-12.3001,18.1313
2025-09-29T01:42:47.000202+00:00,92590000,-810795799,292278317,-11691,18741,37,-16,3,-3,25613,18709,False,-81.07957986299999,29.227831683999998,-11.690700000000001,18.7407
