rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84158.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84159.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84160.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84161.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84162.004,2384,18,9,,,,,,,,,,,
84163.004,2384,18,9,,,,,,,,,,,
84163.004,2384,18,9,,,,,,,,,,,
84163.004,2384,18,9,,,,,,,,,,,
84163.004,2384,18,9,,,,,,,,,,,
84163.004,2384,18,9,,,,,,,,,,,
