rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
391541.991,2383,18,1,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,,,,,,,,,,,
391542.991,2383,18,23,16973249.537575997,90604358.03456008,858.6669921875,6,22,4,140,50,,,
391542.991,2383,18,23,19145702.719136637,102416599.43320687,2929.027587890625,6,23,10,80,50,,,
391542.991,2383,18,23,16769519.40066966,89768549.60612297,-1927.0234375,6,7,12,120,46,,,
391542.991,2383,18,23,17440110.673658546,93390999.88760981,1969.8892822265625,6,8,13,80,45,,,
391542.991,2383,18,23,20960015.193755258,111807329.84074312,-4470.4443359375,6,255,2,100,45,,,
391542.991,2383,18,23,18040705.099203564,94804545.11957797,406.54296875,0,29,0,80,48,,,
391542.991,2383,18,23,18497532.165620573,97205187.48926169,-1914.4052734375,0,5,0,80,53,,,
391542.991,2383,18,23,25391448.788904816,102240842.36981933,-339.719970703125,2,27,0,120,44,,,
391542.991,2383,18,23,21247985.1350999,87006946.53934152,1401.171875,0,23,0,80,40,,,
391542.991,2383,18,23,21441684.28963322,87800111.92293108,1817.2247314453125,0,18,0,80,49,,,
391542.991,2383,18,23,20960020.422049895,86961278.26518543,-3476.9541015625,6,255,2,100,44,,,
391542.991,2383,18,23,16973253.802618615,70470074.33066033,668.114013671875,6,22,4,80,44,,,
391542.991,2383,18,23,16769525.392027419,69820008.40620084,-1499.3013916015625,6,7,12,120,45,,,
391542.991,2383,18,23,17440110.65467271,72637444.8236674,1532.5308837890625,6,8,13,80,41,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
391543.991,2383,18,27,,,,,,,,,,,
